miliseconds,C,I
0,1.0014563260958504,100.00045765039326
100,1.025125147683142,100.00080313907975
200,1.045784923415184,100.00281353275439
300,1.0665309339804665,100.00758945705589
400,1.0665734927491306,100.00854930999618
500,1.1144867737375956,100.01139150322395
600,1.1003426817519368,100.01182821671603
700,1.1317002014719078,100.01467070559288
800,1.1745987185958795,100.0169844305183
900,1.1834418661946835,100.01656210122242
1000,1.1952481306795941,100.01892529370402
1100,1.2146996618405694,100.02046616575231
1200,1.2615748292594615,100.02390373297665
1300,1.2924388855011542,100.02469098218354
1400,1.2913474115616097,100.02785175590702
1500,1.3189543031550726,100.03005074546807
1600,1.3357208206578877,100.03292102682413
1700,1.378566903659665,100.03285943599136
1800,1.4072988867720506,100.03560375144528
1900,1.4494515770917218,100.04001609936077
2000,1.458392237163351,100.03927396941535
2100,1.4828436452852,100.04380890609129
2200,1.514985282287971,100.04607495500898
2300,1.523238326731722,100.0465630634663
2400,1.5804266454770648,100.049694856088
2500,1.6164450638039785,100.05150714383886
2600,1.6331705187647434,100.05506454420521
2700,1.6706203012506404,100.05674529644142
2800,1.7192147663807067,100.05954020201617
2900,1.738818906773074,100.059117129144
3000,1.7826405716839118,100.06094911937453
3100,1.7957220890002628,100.06389903881153
3200,1.8240076887587149,100.06763387107523
3300,1.8663383001280598,100.06981107522651
3400,1.9098947014248473,100.07159334425135
3500,1.9650464268724666,100.07440046565789
3600,1.9987563832773982,100.07783799800517
3700,1.9966960128103313,100.07839606684306
3800,2.0692347904908863,100.08149303700644
3900,2.0917125472839277,100.08412605435927
4000,2.1173386429267977,100.08608739172948
4100,2.1733356282320537,100.08781080786812
4200,2.202722420894989,100.0905973006577
4300,2.243806229400679,100.09457242729306
4400,2.2943147741566587,100.09824333545554
4500,2.3420644811028315,100.10037173655165
4600,2.380428637277581,100.10092522554278
4700,2.4553510443671023,100.10499600033825
4800,2.47903660027861,100.1085552800196
4900,2.520236175953143,100.11017101430195
5000,2.5940949585449586,100.1123153188659
