miliseconds,GLCi,G6P,F6P,F16P,TRIO,BPG,P3G,P2G,PEP,PYR,ACE,P,NAD,NADH,SUM_P,F26BP,ATP,ADP,AMP
0,0.0868633684804423,2.46617354013279,0.6253219203552324,5.520863852667563,0.9651850206276786,1.502314198467724e-05,0.9058690835797278,0.11992271040944291,0.06863703976994438,1.812139047073986,0.1699776939100332,6.324459934782814,1.1983188453063558,0.39171170842590924,4.1,0.02,2.5106683769603046,1.2918279164541027,0.2996004098892622
100,0.07375311319733105,2.7628874058602264,0.47909901851910325,3.154763760493728,1.8762374322413473,0.001642316147028418,0.642944443514834,0.08828293935204706,0.21146558118847592,6.637196159687215,0.050269122358501665,7.538255695982155,1.4426077901742171,0.14974068811651037,4.1,0.02,3.496557635293006,0.5769088281548362,0.04355598681832371
200,0.07496505166411976,3.0968332135395356,0.4676421286509993,1.75961796108936,1.40203048053119,0.0018925607743839608,0.7870884407820967,0.1083321217301434,0.25340332312191877,8.502606631419532,0.10941691599720257,7.514043349463334,1.5180984441389325,0.07120399772964336,4.1,0.02,3.4410307333113277,0.6078394178696908,0.04497167473975348
300,0.07614969261978999,2.6597050660310257,0.3810716370532288,1.391390193153094,1.2086686273420615,0.0015382895610214155,0.7292673507121398,0.09887893266445702,0.22256166015717382,9.884744883860995,0.13859257008717357,7.397271795806086,1.5357693427628254,0.0567182051239162,4.1,0.02,3.361754864981466,0.6731522715278087,0.05975793844026524
400,0.07747159444196351,2.2454938060935623,0.3128399368238377,1.1188041653074479,1.0667530979956508,0.0011628139713525986,0.6397236930020012,0.08654072723047815,0.18430183439930503,10.627502728394731,0.1606594158923456,7.285296530891624,1.5420706478760293,0.04827639251589909,4.1,0.02,3.2625781352356995,0.7542548408893296,0.07789157502296061
500,0.08032438353778791,1.862495839703726,0.2554077012068548,0.9311909751162912,0.974686848223785,0.0008808057734720072,0.5579817758162561,0.074816159433021,0.15276066008772804,10.905960276175632,0.17807845095603705,7.13398943540641,1.5481506298523808,0.04550896364215755,4.1,0.02,3.124288792336495,0.8684683341926502,0.10452432691640348
600,0.08308819657506512,1.5560501208102704,0.19842111589141773,0.8264373969729062,0.9130747820278645,0.0006845722488352909,0.4986631986456141,0.0644947034247029,0.12593297332461875,10.978166724039585,0.1899932277028272,6.941597248208553,1.548030492048324,0.0430423518109138,4.1,0.02,2.9836221542140526,0.9736525942772617,0.14519260530070632
700,0.08714904157260886,1.362149035425387,0.1630918701995285,0.7012583950774157,0.8567191031723764,0.0005402335385296087,0.44976119066697784,0.057620374621562186,0.10696721814944288,10.710808385396117,0.19692449761754702,6.757331219947467,1.552542059388521,0.037673431983749645,4.1,0.02,2.8432422137685895,1.069226904924595,0.18145584496568626
800,0.0903217931485996,1.2134634491548908,0.14951305759570338,0.6937825166190468,0.8244850240538029,0.0004697775028309121,0.4171733919472157,0.05393088941337159,0.09495216133082854,10.332164940454355,0.19945049080557764,6.618597671872985,1.5489477372061555,0.03939036834167135,4.1,0.02,2.7301824885291768,1.143588443578041,0.21553398306681656
900,0.09269858605964458,1.1654103250543453,0.13569305426414074,0.6178984926819494,0.8044030776979828,0.00041507787223723754,0.398090362810591,0.0512150404366143,0.08762160330088557,9.990702022299205,0.19804640441716456,6.519409659611204,1.5527519010967272,0.038792985780252476,4.1,0.02,2.6668691065219923,1.2032210121832239,0.23878350276790766
