milliseconds,EpoRJAK2,EpoRpJAK2,p1EpoRpJAK2,p2EpoRpJAK2,p12EpoRpJAK2,EpoRJAK2_CIS,SHP1,SHP1Act,STAT5,pSTAT5,npSTAT5,CISnRNA1,CISnRNA2,CISnRNA3,CISnRNA4,CISnRNA5,CISRNA,CIS,SOCS3nRNA1,SOCS3nRNA2,SOCS3nRNA3,SOCS3nRNA4,SOCS3nRNA5,SOCS3RNA,SOCS3,Epo
0,3.97622,0.0,0.0,0.0,0.0,0.0,26.7251,0.0,79.7535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24997e-07
100,3.9448706204085298,0.029729466262271003,0.0003942667061010008,0.0012040795768146957,2.1567046560954736e-05,0.0,26.72508945364277,1.0546357237745155e-05,79.75104078778445,0.002457012449853156,3.19965919431182e-06,1.0009997328408775e-06,2.89677265284789e-09,7.003081710503704e-12,1.457372703135489e-14,2.6711317490359313e-17,2.4627540646113275e-21,1.0095793060132745e-22,8.166142789143572e-12,1.7165821243542968e-13,3.0245948304343725e-15,4.5968107469109464e-17,6.160844723757158e-19,5.151921072692317e-21,8.868775105268499e-19,1.24997e-07
200,3.9137690196690533,0.056209274273109136,0.0014787606873987904,0.0045974120512975464,0.00016553334418411585,0.0,26.725057937169314,4.2062830697895235e-05,79.74367085118634,0.009811613556127438,2.5505829118257527e-05,1.5919645552641116e-05,9.196619162662283e-08,4.4374131218710644e-10,1.8413914697294444e-12,6.719187275969534e-15,6.432335808743692e-19,5.265788890285686e-20,1.275574951506894e-10,5.287710010115143e-12,1.8431346942386685e-13,5.5481775077987584e-15,1.4724533406633586e-16,2.4612674587222725e-18,4.2554255687739635e-16,1.24997e-07
300,3.882914802493381,0.07976956375830994,0.003121136179850587,0.009878282944549604,0.0005362146523666458,0.0,26.725005634045587,9.436595441856224e-05,79.73133310707571,0.022107830034278988,8.590965815749342e-05,8.018665756408633e-05,6.932815130969558e-07,5.003604257753937e-09,3.100013648729024e-11,1.6835668869041113e-13,1.6322840930902454e-17,1.9853125693995037e-18,6.312419003313773e-10,3.8693002909186935e-11,2.000090151907582e-12,8.932008036421616e-14,3.511282773240943e-15,8.755484156810608e-17,1.5159659274811356e-14,1.24997e-07
400,3.8523085816208904,0.10070639082262367,0.005207198199445101,0.016777421279036645,0.0012204081038181343,0.0,26.72493272771075,0.00016727228925862727,79.71382435244057,0.039535606160664635,0.00020369658001420077,0.0002524888037128736,2.9036559618046183e-06,2.789420337976763e-08,2.3007727042342027e-10,1.6632179511792529e-12,1.6230973986288058e-16,2.632154986908096e-17,1.9533905826617255e-09,1.573556313361661e-10,1.0731971166684215e-11,6.338277175254208e-13,3.299461627875629e-14,1.1016651865956434e-15,1.9088905762692055e-13,1.24997e-07
500,3.821951941343221,0.11928534324959086,0.007638657327242277,0.02505451010090736,0.002289548005483848,0.0,26.72483940224045,0.0002605977595634727,79.69073416777482,0.0624914279616589,0.00039913347417691385,0.0006152055949982568,8.817261673531625e-06,1.0567393060191963e-07,1.0879070712926744e-09,9.816600275760099e-12,9.61752092614778e-16,1.9498700680958572e-16,4.679185364783165e-09,4.6414880174611704e-10,3.914637206503699e-11,2.8664377258741364e-12,1.8528690332286572e-13,7.769974628033327e-15,1.3469290615883067e-12,1.24997e-07
600,3.791847401177971,0.13574476350181422,0.010331153420467953,0.03449508233543979,0.0038015995903617596,0.0,26.724725842985524,0.00037415701448425973,79.66139191589863,0.09163070403339138,0.0006943710079103576,0.0012758324789056918,2.1860748889204455e-05,3.1366091523710104e-07,3.868440910686165e-09,4.182677847772115e-11,4.108627946709856e-15,9.996820270821401e-16,9.543638029706205e-09,1.1183242840396258e-09,1.1192367390698149e-10,9.752156161893982e-12,7.514082200745429e-13,3.79950960852007e-14,6.588429304079864e-12,1.24997e-07
700,3.761998379504599,0.15029862170072184,0.013212517033236665,0.04490776009107134,0.005802721696470151,0.0,26.724592237185767,0.0005077628142456505,79.62482152893449,0.1279122330762119,0.0011145279843825906,0.0023696251719726416,4.715258694356461e-05,7.870807904006906e-07,1.1303405869630276e-08,1.4237583830860379e-10,1.4011820395988865e-14,3.9784636618851595e-15,1.7440398196227978e-08,2.345315986753835e-09,2.706539405678479e-10,2.7274152238850343e-11,2.4351274865824423e-12,1.4437302690900116e-13,2.503991199524033e-11,1.24997e-07
800,3.732409156977719,0.16313907813275402,0.01622123972709337,0.05612179825740947,0.008328726931149789,0.0,26.724438774558568,0.0006612254414513415,79.57970382183912,0.17263504174376623,0.0016889256975747946,0.00406365107188712,9.19051447049834e-05,1.747353558945877e-06,2.8615015307888092e-08,4.1125813758561517e-10,4.0530767556505245e-14,1.3155235073774373e-14,2.9441155622652482e-08,4.4469841545610515e-09,5.793310828143388e-10,6.611464342517053e-11,6.699023565526173e-12,4.561537969331594e-13,7.912747359313616e-11,1.24997e-07
900,3.703084839546538,0.1744387694977755,0.01930512853678459,0.06798489860716936,0.011406363837841474,0.0,26.724265647862413,0.0008343521376122767,79.52434619578011,0.2274677502392185,0.0024524421536374964,0.0065623975791256955,0.00016589030030416784,3.5342161751970917e-06,6.49429904170578e-08,1.0481339284922372e-09,1.0341005921265878e-13,3.7764226501788235e-14,4.6825913990742616e-08,7.813342111342125e-09,1.1303948113186568e-09,1.437484193546708e-10,1.6266491604554062e-11,1.2520318491811454e-12,2.172126846946936e-10,1.24997e-07
