milliseconds,L,T,I2
0,240000.0,200000.0,36000000.0
100,248600.25417654484,209479.1747711682,36448805.46741519
200,257334.66487190683,219110.821701581,36874880.298095636
300,266205.3831283715,228881.661832446,37277108.135868736
400,275213.6649394112,238777.20441644403,37654500.70775342
500,284360.0637005605,248781.94643393313,38006159.15999364
600,293644.2890332841,258880.04988225165,38331332.995366216
700,303065.32603634836,269055.3216184727,38629391.49259039
800,312621.3909942944,279291.2102588398,38899828.36070265
900,322309.8450101308,289570.8266485325,39142275.06294222
1000,332127.2108121692,299877.03187675163,39356497.59577808
1100,342069.22638174257,310192.587971084,39542387.38101215
1200,352130.8144738382,320500.09897946916,39699966.25367043
1300,362306.1363094735,330782.22452808294,39829376.888378665
1400,372588.5869606258,341021.69505736465,39930884.46277998
1500,382970.81056899787,351201.3467455373,40004873.55078305
1600,393444.7715912697,361304.361969944,40051835.70040257
1700,404001.7431357056,371314.1528058145,40072373.05903538
1800,414632.3741179897,381214.56301333534,40067187.127809495
1900,425326.7807414825,390989.95539671305,40037066.25545479
2000,436074.49664619425,400625.12929139496,39982892.977948114
2100,446864.63827935216,410105.55690074555,39905620.41198404
2200,457685.9641599864,419417.3969171229,39806265.20545635
2300,468526.80919963744,428547.4342102104,39685916.324829444
2400,479375.34878488554,437483.3214178821,39545700.20532368
2500,490219.53897998616,446213.4868946269,39386789.664404705
2600,501047.1938985378,454727.2056199108,39210393.68748733
2700,511846.17008910974,463014.6848216461,39017735.370422415
2800,522604.2788103563,471067.00129403954,38810062.983223446
2900,533309.4711761534,478876.1910638678,38588627.70558138
3000,543949.9249424713,486435.2419038512,38354674.41069367
3100,554513.9609893949,493738.0714136993,38109451.20712239
3200,564990.283077258,500779.56893787044,37854182.39014109
3300,575367.9697811224,507555.55383887107,37590070.072212666
3400,585636.4417022354,514062.78663158097,37318297.5373591
3500,595785.6751030135,520298.92865691934,37040006.40749765
3600,605806.1159522487,526262.528780162,36756306.08040975
3700,615688.7593417299,531953.0069562517,36468265.23307869
3800,625425.2243786317,537370.5748699344,36176904.192706
3900,635007.6965022328,542516.2632423531,35883200.87277014
4000,644429.0217937863,547391.835110517,35588081.025732264
4100,653682.7017797123,551999.722025792,35292418.64953474
4200,662762.8714259854,556343.0720949799,34997038.248848796
4300,671664.3535357922,560425.5922045608,34702708.936843626
4400,680382.6240757937,564251.5398020241,34410147.63195629
4500,688913.8204966468,567825.7375583426,34120018.33145187
4600,697254.7287138556,571153.399678682,33832932.33932883
4700,705402.769471892,574240.1878354655,33549449.7098731
4800,713355.9882607831,577092.1233008627,33270079.655631624
4900,721112.9926480146,579715.4475504464,32995285.152413502
5000,728673.043148358,582116.8599245854,32725476.44309272
