milliseconds,Rs_0,Cs_0,Ri_0,Ci_0,Li_0,Ld_0,L_0,Y_0
0,1500.8706604369065,0.6724794166647864,299.9988420577331,0.9574203958214512,0.06910795732394848,0.9986598108590952,10.00057005329242,250000000.0
100,1496.1806812746024,4.38038682252639,300.00765179439514,0.953247042086748,0.26725040428195646,1.019383498689011,10.000124881560934,250000000.0
200,1498.7187605593904,4.3041902938167915,300.0195168174675,1.1071585979807752,0.2483568648257599,0.9915044058631104,9.998483046091899,250000000.0
300,1493.2516436238495,6.585832141044029,300.0239731858964,1.148197239588617,0.3437433914804495,1.0077021864565496,9.998516025201305,250000000.0
400,1494.770147437345,9.5497887987828,300.02810550933447,0.9216944270829581,0.28613373681218407,1.008960579972786,9.996510455406352,250000000.0
500,1490.4381395602366,9.815264558407431,300.03294905184083,1.1693165943736974,0.28464295042400994,1.0296750920797768,9.996038188925302,250000000.0
600,1487.9820408047945,11.601949768555878,300.03905739683506,0.9448022982198795,0.35855571639280476,1.026558892165855,9.995538615771498,250000000.0
700,1488.9793139194196,15.020167772464369,300.0396894448884,1.1810135397913684,0.34269674222195656,1.0304588214245805,9.994840503262363,250000000.0
800,1484.7500412557376,17.6036345619031,300.04147956110313,1.1029755777613786,0.2969366483690622,1.016128184150028,9.994488786713713,250000000.0
900,1482.311180840854,18.12877134956146,300.0452412164858,1.1645411889235882,0.3581980679220896,1.0374195623426876,9.99243130193145,250000000.0
1000,1481.5161407948542,19.954405051956456,300.046883905256,1.2979680709892298,0.3345216257394118,1.0422521006710737,9.991790343970335,250000000.0
1100,1480.921112306542,19.982756269394272,300.0437311769366,1.325427502922033,0.34413063020269624,1.042931370501173,9.99162396665453,250000000.0
1200,1480.6175578175612,20.429699941459557,300.0415209281499,1.4839123418161007,0.39872982621187725,1.0481266733766446,9.990345115516089,250000000.0
1300,1478.3112345624788,24.339569483612163,300.04260378251985,1.4187792019342482,0.44402110270393425,1.0431441850796328,9.991003967093256,250000000.0
1400,1477.143259815438,24.305451714190074,300.0386623489319,1.5731772309384053,0.39229052411085896,1.0583365026071645,9.98852020871084,250000000.0
1500,1474.8590355522124,27.527653485645462,300.03982506149134,1.7437557875799228,0.45882104474590063,1.0477009797849124,9.988965461644453,250000000.0
1600,1473.8382750700673,28.992914300525953,300.03600251353805,1.8545584458710045,0.45441092271581585,1.0653636612549056,9.98794311568973,250000000.0
1700,1471.560423377116,29.277756580416863,300.0331266928911,1.9423854818243664,0.5357675815659264,1.0819085787055753,9.987848288805704,250000000.0
1800,1467.5826809828852,34.867548354246715,300.0284758815707,2.073936643540549,0.5669116163296799,1.0942350117156188,9.985808475963662,250000000.0
1900,1466.6154617256232,33.067708330686465,300.0291022194479,1.9047813832293812,0.6401077109505966,1.0831258993947308,9.985510521086994,250000000.0
2000,1462.8186456884594,34.25190994493284,300.0230404728158,2.230132394901673,0.6040957768481756,1.0953462818959778,9.985136331501463,250000000.0
2100,1461.8383703567642,38.21831080651661,300.0195335403278,2.256047835264391,0.604619842318408,1.1190744652350169,9.983751222417288,250000000.0
2200,1459.4433994924505,38.112310107100456,300.0202884789771,2.501836652795802,0.6950542814094048,1.1009775483490047,9.983723880525703,250000000.0
2300,1459.313706002073,42.347220523345555,300.01213486731166,2.360277025186312,0.6965532818889633,1.1333563266379587,9.983078849443991,250000000.0
2400,1455.8915780348639,41.047628988400525,300.01365901401573,2.724965986889327,0.7785124261019265,1.1163924704674275,9.982320321582176,250000000.0
2500,1455.5174984573493,42.728925028877896,300.0077776769595,2.8190806880115287,0.7921136776506302,1.1405656950599885,9.981620018735251,250000000.0
2600,1453.3720007429013,44.759433666161904,300.0082355751498,3.0024352432172323,0.8079543242391607,1.1387787433745071,9.980195717335574,250000000.0
2700,1452.9754453850658,46.827155722560875,300.0046324466639,3.004882299756177,0.92404455512555,1.143159839085321,9.980025284802071,250000000.0
2800,1452.8635020495144,48.65412423317449,300.00041392372447,3.2546411450033723,0.9263498230051868,1.185105935021304,9.979439605434305,250000000.0
2900,1447.837818807251,50.107713310494255,299.99942393226934,3.189228129414418,0.9898574400691816,1.1770141633054823,9.977889806800741,250000000.0
3000,1446.2910280925678,50.94983941314047,299.9995183162911,3.560799725898252,1.0870084436117513,1.1841547592475392,9.977714396879664,250000000.0
