milliseconds,U,M,E
0,1000000.0,1.0,0.0
100,1096546.9205701505,1.0,0.03941360087269422
200,1202339.3453885815,1.0,0.07844448140101916
300,1318254.6660702499,1.0,0.11708938767392689
400,1445245.6021619139,1.0,0.15534480447003715
500,1584352.1371537577,1.0,0.1932068528397776
600,1736703.5019874196,1.0,0.23067123034318773
700,1903533.6592314385,1.0,0.26773307933259183
800,2086188.1244715669,1.0,0.30438690113334627
900,2286130.067664941,1.0,0.34062647021226394
1000,2504949.470112201,1.0,0.3764447236314379
1100,2744374.5047924686,1.0,0.4118336316877102
1200,3006280.6130344504,1.0,0.4467840916949162
1300,3292704.0119790556,1.0,0.48128576249063587
1400,3605835.0575693953,1.0,0.5153271360323302
1500,3948053.3798042326,1.0,0.5488950968829773
1600,4321929.989958072,1.0,0.5819748808504409
1700,4730236.758646277,1.0,0.6145499380765654
1800,5175957.323052781,1.0,0.6466017613624978
1900,5662299.54713104,1.0,0.6781097055973538
2000,6192697.3381138425,1.0,0.7090508657874597
2100,6770826.210876324,1.0,0.7393998587885219
2200,7400605.531057623,1.0,0.7691286839585677
2300,8086203.896488411,1.0,0.7982064925678692
2400,8832043.629834387,1.0,0.8265994571587345
2500,9642797.354971632,1.0,0.8542705858844252
2600,10523379.327812145,1.0,0.8811796341623609
2700,11478944.972548485,1.0,0.9072829366538112
2800,12514863.12015005,1.0,0.9325333925726815
2900,13636696.997794794,1.0,0.9568804115274607
3000,14850184.231837323,1.0,0.9802698652972102
3100,16161179.646643193,1.0,1.0026442708919079
3200,17575622.45500592,1.0,1.023942856539883
3300,19099475.78971743,1.0,1.0441017917624604
3400,20738641.57519072,1.0,1.0630546642802265
3500,22498904.617626518,1.0,1.080732717575886
3600,24385818.64560743,1.0,1.0970655866869112
3700,26404597.12066533,1.0,1.1119820747180362
3800,28560025.03519585,1.0,1.125410693805038
3900,30856295.7182475,1.0,1.137281025812996
4000,33296887.55344938,1.0,1.147524789436283
4100,35884439.43528487,1.0,1.1560768017205048
4200,38620571.7152336,1.0,1.1628769040922249
4300,41505768.91277821,1.0,1.1678711014773666
4400,44539225.77431805,1.0,1.1710132210995277
4500,47718730.251164004,1.0,1.1722666726424693
4600,51040547.25822455,1.0,1.1716058050672022
4700,54499327.436168365,1.0,1.1690176372262655
4800,58088079.91738029,1.0,1.1645029506468298
4900,61798095.858386025,1.0,1.1580778118835984
5000,65619029.90447842,1.0,1.149774409879192
