milliseconds,Uninfected_Tumor_Cell_U,Infected_Cancer_Cell_I,Oncolytic_Adenovirus_V,Tumor_targeting_T_cells_T,Naive_T_cells_A,Dendritic_Cells_D
0,58.30827018538564,-0.0066897866885389,2.440206556155052,0.0074191085134914705,-3.663775739109514e-05,-0.0059763259163504645
100,59.35405210287193,0.16092369195141948,1.9643471451585324,0.030650254678931507,5.95243235209712e-05,-0.004170033558273426
200,61.51937288794126,0.3816204217852277,1.6851057662083204,-0.07506696273358716,1.979030152650845e-05,-0.024516613729710413
300,62.491088548779445,0.5023147259047611,1.413777238720442,-0.20507098362178078,8.576090945001957e-05,0.025108746983122914
400,64.97698679055381,0.6103329515183422,1.3621374942063478,0.5383404967076375,1.0504009052337364e-05,0.002304626817969269
500,68.46578233238642,0.6763037453570327,1.1267143665674944,0.4212770414354656,4.663610656538749e-05,0.013000977188428143
600,69.20794294213601,0.7146649315104453,1.1195787022544013,0.6990029668769644,9.83472228464763e-05,-0.02126791606824448
700,72.55582090503636,0.6642418603737856,1.170385169517989,0.6227762450137724,0.00015963646884860022,0.015901241487979497
800,75.07793482092887,0.7422103958814636,1.123437361371248,0.8085892813032363,0.00017147365922296813,-0.0040150995888047205
900,73.91069597197588,0.7571406431812365,1.0776108390891221,0.9160781670035526,0.0001839634580044522,-0.015690015483135374
1000,76.99197266563233,0.8021884829716113,1.053183052605652,0.4601090680547528,0.00028603870117937516,1.0054083759846466
1100,79.41186895790281,0.8541556781599761,0.961378505085517,1.0180815575682467,0.0002852653376789071,0.9496010120811239
1200,82.78895910826225,0.801888676987865,1.128865696897649,2.289058895208524,0.0002865897130771395,0.9203594048065703
1300,84.12842453572111,0.8356017216299482,0.9982876861482068,2.3111658489325664,0.0002943351197021022,0.9164790086905176
1400,87.57290293515734,0.8239381683047088,1.09945932517927,2.582507614062998,0.00042519099825391344,0.8389867525866107
1500,88.04261915872354,0.8839721613506388,1.152617032104901,3.2655945605634304,0.00038120541731690355,0.85492201901883
1600,90.33072066418815,0.8554187583365248,1.1147269035250353,3.3932593927747674,0.00040382985097354865,0.8260397412069235
1700,92.68567104897804,0.8513415950128796,1.1261795988219152,4.387338609150966,0.00045895722189068895,0.7768186188967781
1800,94.19914972820055,0.8679730858899424,1.1025997337458648,4.4944608309952185,0.0005226443651723496,0.7453469752862731
1900,93.40617915523873,0.8815620778958154,1.1098682330825722,4.896063976853941,0.0004686511316116213,0.7532529807081513
2000,97.93138021834234,0.9300842015318711,3.5835331973044697,5.389683766556896,0.0005724666811568424,0.7223506688538959
2100,96.0759189560221,1.1384704042049265,3.0852623300434647,5.603829424397249,0.0006135684510159628,0.7053158035630408
2200,99.29569994532142,1.2135424002484028,2.8566292972264278,5.677862202325381,0.0005872098185153963,0.6491203820238247
2300,99.38218347926158,1.3771945685850913,2.5118089865172513,5.821773423265303,0.0006222994155611149,0.6351902183930691
2400,103.24829295346889,1.387297430021272,2.4526046802043218,6.232249868684836,0.0007272945508825555,0.6039185163417473
2500,101.64260338551159,1.4457261369475787,2.327917782032981,6.881136319825055,0.0007406893640717238,0.5893418276798916
2600,103.03897565401377,1.464094144596672,2.3451443524039606,7.138555523257132,0.0008029648894008222,0.5929270305705486
2700,105.7436754229549,1.5383275691996332,2.153916214289105,7.053120402936882,0.0008520566011121324,0.5297727000796252
2800,109.32822199593723,1.583770671365192,2.2526546774183287,7.64739785850642,0.000947403425825455,0.5421858592449174
2900,107.36377895354988,1.6070918545329431,2.10475582247075,7.8674721523906825,0.0009369083862250303,0.5387910560998219
3000,111.3600993803535,1.5552781474975867,2.087785327631241,7.977910687079597,0.0010460112470083993,0.4863319314245778
3100,110.89054677621027,1.61230889745423,2.1900278267010305,8.067077661772426,0.001098829605788735,0.49469167945434267
3200,111.4924647282172,1.5901743435801903,2.185219987621127,8.680549554652728,0.0011081846121311057,0.454423003365214
3300,114.99190968393465,1.6013665514170123,2.066112093423684,8.442616775838127,0.0012005306880593495,0.46870434645536085
3400,113.59523082180185,1.6048412064915527,2.0271497392589124,8.757989028609094,0.0011508212047110112,0.4428773334520116
3500,115.12958051571361,1.630633049061938,2.0818644975549048,8.942042582549297,0.001207307320735156,0.39274152736116896
3600,116.88523169005185,1.566523206828843,2.020953797362475,8.698797234636132,0.0012930242965439843,0.3912483482673761
3700,116.3889762369479,1.6118643587633084,2.081466471356797,9.162562679743639,0.0012991392426175605,0.40069002036242096
3800,120.3508910669902,1.568103072886876,2.069447394231124,9.597994458702832,0.0013722508175110061,0.350444062039028
3900,121.43287366722747,1.6526360730529768,2.1583604081975007,9.430592892309026,0.0013299402076634476,0.37110660226954983
4000,122.03447393459892,1.6006965921819498,4.509098343011105,9.916539928187236,0.0013719623557009264,0.32053540509636086
4100,122.05562840514196,1.7898543016166566,4.03063851305419,9.528698526690578,0.0014186266047615528,0.3424697837944444
4200,121.94014646871271,1.960440009412118,3.692595750424358,10.127047374979426,0.001467813114980226,0.33252418392001654
4300,123.91417682883544,1.9934056054328193,3.6010164782877636,10.28287386281313,0.001583137651677256,0.2944073160531987
4400,122.04078349289719,2.116409981644465,3.2579108391206826,10.2501047818054,0.0016265837797242832,0.28267472581885056
4500,122.45510963836554,2.117006139521599,3.2944841025908387,10.184258381036022,0.0016737259866203323,0.3155977202914985
4600,123.05549251551139,2.1514984578696192,3.128354823716915,10.12707521736146,0.0017046405641822652,0.28301170530015507
4700,124.46344153106979,2.172269290671561,3.0284043145551642,10.763867742520587,0.0017374628002899135,0.2585149002093003
4800,128.01512322119592,2.19633880423998,3.000020576152765,10.547346553133771,0.0017715928216697188,0.295744546574403
4900,126.08570113538492,2.224945913300485,2.939167053082579,10.978066285814988,0.0018359698269773245,0.24380865788930367
5000,125.9091348347919,2.1579183006887512,2.9308404011459603,11.045347261819998,0.0018657342454634952,1.2364700670192548
