milliseconds,s51,s52,s53,s78,s85,s211,s213,s482,s483,s484,s489,s490,s491,s492,s493,s494,s495,s496,s498,s499,s500,s501,s536,s107,s108,s109,s110,s111,s112,s113,s445,s446,s447,s448,s451,s517,s518,s519,s520,s521,s522,s523,s524,s525,s526,s528,s529,s530,s531,s533,s535,s527,s1,s2,s5,s6,s7,s17,s18,s20,s21,s22,s23,s24,s25,s26,s27,s29,s30,s31,s32,s33,s35,s200,s381,s383,s385,s387,s389,s391,s393,s473,s474,s475,s476,s477,s478,s479,s502
0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,953.0,1650.0,22.0,8.0,8.0,750.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,199.97306990118898,1.1280833977738185e-05,1.4977614749007797e-07,0.022642438156066813,0.0003019111253605612,4.997655909578608e-10,3.764156455741505e-08,1.0193338062930097e-11,1.0851238203868792e-17,8.772288331223906e-24,1.7260597329879717e-42,3.346230600546023e-36,5.8242285790376365e-30,8.211954248571632e-49,3.677652200554386e-55,0.0006399235629446634,0.0006399214016990602,0.0006399214016893723,0.0006399214016893724,0.0006399214016897989,1.768820205282354e-09,0.0006399213865085705,0.00014621719429986187,1.991640809061695e-08,9.529355260075442e-11,9.529324500700435e-11,9.52932450065737e-11,9.52932450065737e-11,9.529324500660591e-11,9.529578844211312e-11,1.1352442837863521e-08,9.5295686921906e-11,9.529578844562452e-11,9.529578844570667e-11,9.529578844570793e-11,1.9026684733264942e-08,1.902668473309491e-08,1.9026684733094907e-08,1.9026776924362136e-08,5.232546170234409e-08,1.902668473310763e-08,1.902744703550456e-08,1.9059157689141335e-10,1.9027447036923816e-08,1.902744703692332e-08,1.902744703692332e-08,1.9027447036923317e-08,1.9027447036890895e-08,1.9027416608074976e-08,3.924287583218155e-06,2.2667439814973807e-06,1.587546534933508e-13,7.99999587124599,7.999995871205204,7.999970326211572,0.00013327692542492096,953.0829026083263,1649.895594435968,21.99997382932104,7.99943334242225,7.99999587124599,749.4150239222405,7.999355950009439,7.999355950223353,7.99999587124599,7.999995871246618,8.000021035694258,7.999355570969996,7.999995869461161,7.999355950025435,7.999355950009438,4.422337086092277e-05,1499.999942467182,0.5094269775643124,4.109410728823715e-06,4.109390850356329e-06,4.1093908503196936e-06,4.1093908503196936e-06,4.109390850322433e-06,4.109555219815443e-06,4.1093907528097325e-06,4.1095486589795355e-06,4.109555220114131e-06,4.109555220121117e-06,4.109555220121117e-06,4.109555220121117e-06,4.109555220121223e-06,4.109561683487836e-06,1.1359137159648246e-11
200,199.94616818781375,4.495557467405818e-05,5.96892999404619e-07,0.04525777025493619,0.0006034847036127934,3.986562952799336e-09,3.002557385298307e-07,4.0775017144262095e-11,8.680816799354631e-17,1.3964470538565376e-22,2.028662635120058e-40,2.0457487475505216e-34,1.827793788962341e-28,1.8297835342248536e-46,1.531317444188374e-52,0.0012796943310564694,0.0012796856882698834,0.0012796856881924059,0.0012796856881924056,0.0012796856881958172,7.074310216446669e-09,0.001279685627680258,0.0002924274009874436,7.93995538211313e-08,3.7990004716702367e-10,3.7989759291253025e-10,3.798975929056895e-10,3.7989759290568957e-10,3.7989759290620124e-10,3.799178859621584e-10,4.526036698760447e-08,3.799170759367867e-10,3.799178860179308e-10,3.799178860192352e-10,3.7991788601925526e-10,3.7862519051991784e-08,3.7862519050635135e-08,3.7862519050635135e-08,3.786288657879927e-08,1.041302138471147e-07,3.7862519050736594e-08,3.786555788397298e-08,7.598357720384704e-10,3.786555789529626e-08,3.786555789529227e-08,3.786555789529227e-08,3.786555789529226e-08,3.7865557895033574e-08,3.7865436581213457e-08,7.80927960021922e-06,4.511130566323363e-06,6.329468797159469e-13,7.9999917424942675,7.999991742331115,7.999940650739154,0.0002665765251826077,953.165734786751,1649.7912638513103,21.99994765708327,7.998866834150714,7.999991742494268,748.8305155542122,7.998712057466573,7.998712058322134,7.999991742494268,7.999991742496784,8.000042073584808,7.998711302987597,7.999991735355914,7.998712057530549,7.9987120574665695,8.844035981262009e-05,1499.9998849384351,1.0184566222503253,8.218378164701454e-06,8.218298654759367e-06,8.218298654466348e-06,8.218298654466346e-06,8.218298654488257e-06,8.218956069094561e-06,8.218298265664234e-06,8.218929826723114e-06,8.218956071483516e-06,8.21895607153939e-06,8.21895607153939e-06,8.21895607153939e-06,8.21895607154025e-06,8.218981925434964e-06,4.543435617928938e-11
300,199.91929482705507,0.00010077444610570851,1.3380577344886382e-06,0.06784602800808853,0.0009047211082864154,1.3417452123584137e-08,1.0105415592975296e-06,9.174754122805176e-11,2.930015352214746e-16,7.040187274991498e-22,3.2056123320485044e-39,2.2366338917705518e-33,1.3647494079790142e-27,4.121737211346532e-45,4.849036491171303e-51,0.0019193124230919459,0.0019192929817576107,0.001919292981496184,0.0019192929814961816,0.0019192929815076945,1.59150165890629e-08,0.001919292845818546,0.00043863062658506006,1.7805324470829488e-07,8.519222435098473e-10,8.519139812265201e-10,8.519139811921072e-10,8.519139811921073e-10,8.51913981194681e-10,8.519822956615943e-10,1.0150130665335049e-07,8.519795686742689e-10,8.519822959421556e-10,8.51982295948718e-10,8.51982295948819e-10,5.650940239576117e-08,5.6509402391194235e-08,5.6509402391194215e-08,5.6510226560128284e-08,1.5541943777058816e-07,5.650940239153575e-08,5.651621653375899e-08,1.703964591897436e-09,5.6516216571876204e-08,5.651621657186276e-08,5.651621657186276e-08,5.651621657186276e-08,5.6516216570991816e-08,5.651594451373642e-08,1.1655367241269524e-05,6.733382055148225e-06,1.4194918159724306e-12,7.999987613744834,7.999987613377713,7.9999109735848,0.000399898781502416,953.2484965993754,1649.68700817725,21.999921483277586,7.998300475068084,7.999987613744835,748.2464745142013,7.998068322249337,7.998068324174142,7.999987613744835,7.999987613750496,8.000063113669757,7.998067195929071,7.999987597685702,7.998068322393265,7.998068322249327,0.00013265097020681292,1499.999827413759,1.5270892517113905,1.2326902400705498e-05,1.2326723512153204e-05,1.232672351116437e-05,1.2326723511164363e-05,1.2326723511238309e-05,1.2328202551717435e-05,1.2326722639143945e-05,1.2328143508563493e-05,1.232820255977914e-05,1.2328202559967717e-05,1.232820255996772e-05,1.232820255996772e-05,1.2328202559970626e-05,1.2328260732202509e-05,1.0222237957130552e-10
400,199.89244978613047,0.0001784901785042704,2.3700105254005133e-06,0.09040724309153211,0.0012056207125204896,3.171684972505446e-08,2.388721951484107e-06,1.6311340871688166e-10,6.945855944314397e-16,2.220355400258389e-21,2.314401673085469e-38,1.2315331589426796e-32,5.701972548157723e-27,3.885764989753182e-44,5.952945613136659e-50,0.0025587779576782812,0.0025587434040736058,0.0025587434034540606,0.002558743403454055,0.0025587434034813374,2.8289486984995413e-08,0.002558743163092904,0.0005848268776111197,3.154852153013533e-07,1.509481701808827e-09,1.509462166099485e-09,1.5094621659911877e-09,1.5094621659911877e-09,1.5094621659992866e-09,1.5096236860796491e-09,1.7985499841741007e-07,1.5096172382103068e-09,1.5096236869625586e-09,1.509623686983212e-09,1.5096236869835305e-09,7.496921538568213e-08,7.496921537488443e-08,7.49692153748844e-08,7.497067566496286e-08,2.0619826347634357e-07,7.496921537569187e-08,7.498128830811913e-08,3.019247373966424e-09,7.498128839823854e-08,7.498128839820677e-08,7.498128839820677e-08,7.498128839820677e-08,7.498128839614729e-08,7.498080632886556e-08,1.5462937820860417e-05,8.933718546411975e-06,2.5153351200817073e-12,7.999983484997687,7.999983484344979,7.999881294750566,0.0005332436766249505,953.33118811024,1649.5828273450747,21.99989530789493,7.997734265057171,7.99998348499769,747.6629004207838,7.997424744235801,7.997424747657305,7.99998348499769,7.999983485007755,8.000084155947215,7.997423249670822,7.999983456451966,7.997424744491636,7.997424744235775,0.0001768552053925271,1499.9997698931527,2.0353251833703743,1.6434983529879734e-05,1.643466552145399e-05,1.64346655191103e-05,1.6434665519110286e-05,1.6434665519285547e-05,1.6437294671577383e-05,1.6434663973800507e-05,1.643718970984799e-05,1.6437294690684387e-05,1.64372946911314e-05,1.6437294691131407e-05,1.6437294691131407e-05,1.6437294691138295e-05,1.6437398110161938e-05,1.8171992974515004e-10
500,199.86563303229664,0.0002778580269503182,3.6895247842515977e-06,0.11294144714339417,0.0015061838890339442,6.177630964974105e-08,4.652527103393286e-06,2.548751140800053e-10,1.3567394742115039e-15,5.418154176334986e-21,1.0960423183563992e-37,4.679776422754531e-32,1.7369511894584416e-26,2.290018276221583e-43,4.355943877965754e-49,0.00319809105330009,0.003198037076981824,0.0031980370757720344,0.0031980370757720205,0.003198037075825297,4.4196270465665125e-08,0.003198036701525159,0.0007310161605795598,4.913071567436973e-07,2.3507189241250336e-09,2.350680863957737e-09,2.350680863694048e-09,2.3506808636940464e-09,2.3506808637137656e-09,2.3509955318017904e-09,2.8010339784803e-07,2.3509829697158997e-09,2.3509955339515195e-09,2.3509955340018138e-09,2.3509955340025897e-09,9.324381968365201e-08,9.324381966261673e-08,9.324381966261658e-08,9.324609374910988e-08,2.564717692513454e-07,9.324381966418963e-08,9.326261972561632e-08,4.7019910680036275e-09,9.326261990117729e-08,9.32626199011154e-08,9.32626199011154e-08,9.326261990111539e-08,9.326261989710272e-08,9.32618691390821e-08,1.9232374748722886e-05,1.111235791985242e-05,3.917453200710618e-12,7.999979356252828,7.999979355232892,7.999851614238503,0.0006666111928039002,953.4138093833208,1649.4787212861434,21.99986913092624,7.997168204000936,7.999979356252834,747.0797928928646,7.996781323304176,7.9967813286497025,7.999979356252834,7.999979356268561,8.000105200415296,7.996779464089404,7.9999793116561495,7.996781323703865,7.996781323304126,0.00022105306871556262,1499.9997123766157,2.543164734387052,2.0542621645203424e-05,2.0542124781510483e-05,2.054212477693338e-05,2.0542124776933348e-05,2.0542124777275623e-05,2.054623243256833e-05,2.0542122370117312e-05,2.0546068435924783e-05,2.0546232469882407e-05,2.0546232470755526e-05,2.0546232470755536e-05,2.0546232470755536e-05,2.0546232470768993e-05,2.054639406568349e-05,2.8392373085838885e-10
600,199.83884453284855,0.00039863568930682803,5.293406082288869e-06,0.13544867176482356,0.0018064110101355874,1.0645559438973514e-07,8.017275767998546e-06,3.670351479479691e-10,2.3446667596062843e-15,1.1233768420496781e-20,4.029578201858132e-37,1.411363245283262e-31,4.3313787085540324e-26,1.0363622734820272e-42,2.453993752378941e-48,0.0038372518283028194,0.003837174122102344,0.003837174120012273,0.003837174120012245,0.00383717412010429,6.363391745796836e-08,0.0038371735829930273,0.0008771984819999472,7.051345882217969e-07,3.3737927389778103e-09,3.373727135482456e-09,3.3737271349369538e-09,3.3737271349369505e-09,3.3737271349777433e-09,3.3742695024524276e-09,4.020306074061226e-07,3.374247849253293e-09,3.3742695068995623e-09,3.37426950700362e-09,3.3742695070052247e-09,1.1133505860345982e-07,1.1133505856720366e-07,1.1133505856720335e-07,1.1133832233807943e-07,3.0624498333289993e-07,1.1133505856991463e-07,1.1136203910624239e-07,6.74853901400724e-09,1.1136203940883076e-07,1.113620394087241e-07,1.113620394087241e-07,1.1136203940872409e-07,1.1136203940180691e-07,1.1136096185244416e-07,2.2964057655687942e-05,1.3269515908019338e-05,5.622852218341987e-12,7.999975227510257,7.9999752260414345,7.999821932050662,0.0008000013123057222,953.4963604825289,1649.3746899318842,21.99984295236247,7.996602291782474,7.999975227510266,746.4971515496687,7.996138059332824,7.9961380670295545,7.999975227510266,7.9999752275329135,8.000126247072116,7.996135839061515,7.999975163299689,7.996138059908297,7.996138059332738,0.0002652445635185714,1499.999654864147,3.0506082216644725,2.4649816839592806e-05,2.4649101391105727e-05,2.4649101383197204e-05,2.464910138319714e-05,2.4649101383788538e-05,2.465501583858479e-05,2.4649097928511207e-05,2.4654779692142896e-05,2.4655015903056135e-05,2.4655015904564958e-05,2.465501590456497e-05,2.465501590456497e-05,2.4655015904588234e-05,2.46552486051362e-05,4.088305087728407e-10
700,199.81208425511966,0.000540583307651479,7.178492168806139e-06,0.15792894851973907,0.0021063024477212837,1.685826586700768e-07,1.2695874045635423e-05,4.995959970870968e-10,3.723595628422348e-15,2.081204481873485e-20,1.1922827864640993e-36,3.571721679830067e-31,9.373069230803961e-26,3.578020080022315e-42,9.850948102202041e-48,0.004476260400891807,0.00447615466091039,0.004476154657592143,0.004476154657592091,0.004476154657738227,8.66009797635371e-08,0.00447615392922914,0.001023373848377441,9.565868592508155e-07,4.576880312290555e-09,4.5767763965660235e-09,4.57677639555765e-09,4.576776395557643e-09,4.576776395633048e-09,4.57763547356421e-09,5.454228777288519e-07,4.577601174648779e-09,4.577635481784668e-09,4.577635481977042e-09,4.5776354819800095e-09,1.2924475710631167e-07,1.2924475704888509e-07,1.2924475704888456e-07,1.292491846226148e-07,3.5552288389644903e-07,1.2924475705317893e-07,1.2928135656697977e-07,9.155270963954085e-09,1.2928135704624348e-07,1.2928135704607452e-07,1.2928135704607452e-07,1.2928135704607447e-07,1.292813570351168e-07,1.292798951681471e-07,2.6658362392765157e-05,1.540540609575074e-05,7.628568103060854e-12,7.999971098769971,7.9999710967705875,7.999792248189092,0.0009334140174097359,953.5788414717118,1649.2707332137963,21.9998167721946,7.9960365282850185,7.999971098769986,745.9149760107449,7.995494952200248,7.9954949626752265,7.999971098769986,7.999971098800814,8.00014729591579,7.995492374463999,7.999971011384023,7.995494952983424,7.9954949522001115,0.00030942969314103584,1499.9995973557466,3.557655961847117,2.875656920590068e-05,2.875559544895658e-05,2.8755595436399268e-05,2.8755595436399153e-05,2.8755595437338187e-05,2.8763644893521877e-05,2.8755590749332012e-05,2.8763323483852212e-05,2.8763644995888285e-05,2.8763644998284362e-05,2.8763644998284382e-05,2.8763644998284382e-05,2.876364499832132e-05,2.8763961734887914e-05,5.564369910668872e-10
800,199.78535216648203,0.0007034634621842477,9.341652891004158e-06,0.18038230893464668,0.002405858573271891,2.509537314520426e-07,1.8898821633323892e-05,6.52560144381242e-10,5.5587789615776865e-15,3.5507686427368817e-20,3.007396036630431e-36,7.933182673875353e-31,1.8265051921081778e-25,1.0199370254399519e-41,3.1553393418881367e-47,0.0051151168891316,0.00511497881473563,0.0051149788097835,0.005114978809783411,0.0051149788100015095,1.1309601056539241e-07,0.005114977861820336,0.0011695422662127617,1.2452871401886723e-06,5.958177101981795e-09,5.958022372858899e-09,5.958022371142271e-09,5.958022371142256e-09,5.9580223712706235e-09,5.9593014814970996e-09,7.100686023116724e-07,5.9592504103972825e-09,5.9593014954911294e-09,5.9593014958186565e-09,5.959301495823709e-09,1.4697472185674315e-07,1.469747217712403e-07,1.469747217712394e-07,1.4698048551455022e-07,4.0431039920808615e-07,1.4697472177763326e-07,1.4702236407725788e-07,1.1918602991637313e-08,1.4702236479082255e-07,1.4702236479057095e-07,1.4702236479057095e-07,1.4702236479057082e-07,1.4702236477425363e-07,1.4702046163199757e-07,3.0315661042658197e-05,1.7520239926715812e-05,9.931666480760213e-12,7.9999669700319735,7.99996696742033,7.999762562655839,0.001066849290408193,953.6612524146518,1649.1668510634488,21.999790590413603,7.995470913391947,7.999966970031996,745.3332658959662,7.994852001785099,7.994852015465232,7.999966970031996,7.999966970072261,8.000168346944436,7.994849070173849,7.999966855910588,7.994852002807881,7.9948520017848965,0.00035360846091925247,1499.9995398514136,4.064308271319532,3.286287883691605e-05,3.286160705371339e-05,3.286160703497064e-05,3.286160703497044e-05,3.286160703637201e-05,3.2872119601275274e-05,3.286160093286218e-05,3.287169981640346e-05,3.287211975406134e-05,3.2872119757638166e-05,3.287211975763819e-05,3.287211975763819e-05,3.287211975769334e-05,3.287253346130524e-05,7.267399070444429e-10
900,199.7586482343464,0.000887041128921238,1.1779789637128214e-05,0.2028087844988748,0.0027050797578558284,3.563338704573026e-07,2.6834253929052726e-05,8.25930068857734e-10,7.91549418297184e-15,5.688443286873498e-20,6.771090109242513e-36,1.5999260515894794e-30,3.2876121633428644e-25,2.553156946388893e-41,8.743406176472765e-47,0.005753821410946874,0.005753646704763122,0.005753646697713642,0.005753646697713503,0.005753646698023977,1.4311756441884258e-07,0.005753645502208615,0.0013157037420022091,1.5708623560069786e-06,7.515896540904868e-09,7.515676782401271e-09,7.515676779657151e-09,7.515676779657123e-09,7.515676779862325e-09,7.51749340865511e-09,8.957582803678697e-07,7.517420872777869e-09,7.517493431024869e-09,7.517493431548495e-09,7.517493431556572e-09,1.6452674151100313e-07,1.6452674138957178e-07,1.6452674138957032e-07,1.6453401193491515e-07,4.526124084112037e-07,1.6452674139865086e-07,1.645868357449861e-07,1.5034986863096994e-08,1.6458683675837216e-07,1.6458683675801482e-07,1.6458683675801482e-07,1.645868367580146e-07,1.6458683673483767e-07,1.6458443592253876e-07,3.3936321979159265e-05,1.961422673716284e-05,1.252924215846559e-11,7.999962841296261,7.999962837990646,7.999732875452947,0.0012003071136062057,953.7435933750666,1649.0630434124816,21.999764407010492,7.994905446986775,7.999962841296293,744.7520208255282,7.994209207966169,7.994209225278225,7.999962841296293,7.999962841347256,8.000189400156174,7.994205926068203,7.99996269688082,7.99420920926045,7.9942092079658815,0.0003977808701863527,1499.9994823511472,4.5705654662078885,3.696874582536456e-05,3.696713630396043e-05,3.6967136277276377e-05,3.696713627727606e-05,3.6967136279271464e-05,3.698043996574127e-05,3.6967128579317265e-05,3.6979908695148234e-05,3.698044018325757e-05,3.6980440188350595e-05,3.698044018835063e-05,3.698044018835063e-05,3.698044018842916e-05,3.69809637907536e-05,9.197359877243055e-10
