milliseconds,CycE,Cdk2,CycECdk2,CycECdk2a,p21,DNADamageC,DNADamageS,p53
0,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
100,9.2179813538304,0.0166736,1.36697471606784,2.28154,1.0,0.0,0.0,1.0
200,9.2179813538304,0.0166736,1.36697471606784,2.28154,1.0,0.0,0.0,1.0
300,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
400,9.2179813538304,0.0166736,1.36697471606784,2.28154,1.0,0.0,0.0,1.0
500,9.2179813538304,0.0166736,1.36697471606784,2.28154,1.0,0.0,0.0,1.0
600,9.2179813538304,0.0166736,1.36697471606784,2.28154,1.0,0.0,0.0,1.0
700,9.2179813538304,0.0166736,1.36697471606784,2.28154,1.0,0.0,0.0,1.0
800,9.2179813538304,0.0166736,1.36697471606784,2.28154,1.0,0.0,0.0,1.0
900,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
1000,9.2179813538304,0.0166736,1.36697471606784,2.28154,1.0,0.0,0.0,1.0
1100,9.2179813538304,0.0166736,1.36697471606784,2.2815400000000006,1.0,0.0,0.0,1.0
1200,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999992,1.0,0.0,0.0,1.0
1300,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
1400,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
1500,9.2179813538304,0.0166736,1.36697471606784,2.28154,1.0,0.0,0.0,1.0
1600,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
1700,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
1800,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
1900,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
2000,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
2100,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
2200,9.2179813538304,0.0166736,1.36697471606784,2.28154,1.0,0.0,0.0,1.0
2300,9.2179813538304,0.0166736,1.3669747160678398,2.28154,1.0,0.0,0.0,1.0
2400,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
2500,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
2600,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999992,1.0,0.0,0.0,1.0
2700,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
2800,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
2900,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
3000,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
3100,9.2179813538304,0.0166736,1.36697471606784,2.28154,1.0,0.0,0.0,1.0
3200,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
3300,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
3400,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
3500,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
3600,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
3700,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
3800,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
3900,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
4000,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
4100,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999992,1.0,0.0,0.0,1.0
4200,9.2179813538304,0.0166736,1.3669747160678403,2.2815399999999997,1.0,0.0,0.0,1.0
4300,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999992,1.0,0.0,0.0,1.0
4400,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
4500,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
4600,9.2179813538304,0.0166736,1.36697471606784,2.28154,1.0,0.0,0.0,1.0
4700,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
4800,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
4900,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
5000,9.2179813538304,0.0166736,1.36697471606784,2.2815399999999997,1.0,0.0,0.0,1.0
