miliseconds,x,y
0,1.695111526755971,0.14108594967469543
100,1.540804109738514,0.1200614522618024
200,1.5425649078101538,0.06431157154285325
300,1.5614367196713295,0.05891759291256547
400,1.5908461272024415,-0.00020638858670083207
500,1.5790057586882793,-0.016062562775753485
600,1.5375373301360853,-0.031024879030744502
700,1.5099508305197837,-0.06900022494663031
800,1.4636991756086997,-0.08162963859267497
900,1.40170872216696,-0.11613250544131314
1000,1.4955528763422694,-0.13730620344756994
1100,1.4753734145906212,-0.1368797584337761
1200,1.375813050264318,-0.17129713657761214
1300,1.4177191092959776,-0.18003340770602008
1400,1.3326854728468291,-0.21318689647875608
1500,1.2538929627340725,-0.23615324334612647
1600,1.3131146510229659,-0.2469525096564244
1700,1.2195647800742244,-0.26155787472033043
1800,1.2916135566262097,-0.24074282353556808
1900,1.2492556143103744,-0.2783605872952054
2000,1.1668197337867143,-0.2848657142263522
2100,1.2530271038508396,-0.29335623884762896
2200,1.249827067314328,-0.29970507161187376
2300,1.1298605372522394,-0.2956588169859158
2400,1.099489173825584,-0.3309314583568136
2500,1.1388874344356552,-0.3292401128067028
2600,1.1552151129823574,-0.3058873560723343
2700,1.145663296359897,-0.32350424055811555
2800,1.0699544654401403,-0.3431932060866192
2900,1.0859476538206807,-0.34210174431500673
3000,1.0481332026032637,-0.33119182232685435
3100,0.9898511563745372,-0.339733670791962
3200,0.98330626924307,-0.32583540036635833
3300,0.9436495443571715,-0.3463714801654813
3400,0.8920703176447439,-0.32520229865389727
3500,0.9303866128025048,-0.3187038682267299
3600,0.8288557200978885,-0.3241058761536176
3700,0.8921848196734489,-0.3308113288039815
3800,0.8405786210309906,-0.3113576455772923
3900,0.8496130479265095,-0.3387471326704164
4000,0.847722423926399,-0.3210736469053576
4100,0.7071554519697814,-0.31530418221349055
4200,0.7642624477953124,-0.28779709495358097
4300,0.685460307407748,-0.2867637905289102
4400,0.6564651068703745,-0.2761805449868929
4500,0.5414696891022139,-0.2821119875854925
4600,0.5222090641222928,-0.27982442393754514
4700,0.5333343433568732,-0.25183716060444034
4800,0.44006655651170046,-0.2585449189663722
4900,0.35185101528782864,-0.23052673955054728
5000,0.34870864482781594,-0.20224853755962996
