miliseconds,M,B,A,L,P,I1,I2,I3
0,0.0006327642926688585,6.232368743326777e-08,0.03859968371764871,0.3707462395495337,0.014796792126481415,1.297633227725809e-08,2.330058376334436e-08,-4.5692908988548666e-06
100,0.0005943839450075135,-3.7588348766105154e-08,0.03588781711214627,0.5483481055617727,0.013835315402365395,3.0706351147295866e-07,9.83309380404377e-07,0.0006147177867122363
200,0.0005701445050265069,-3.183969958922646e-08,0.03384164969859196,0.5960502388385222,0.013055719205687358,4.1569756990581885e-07,1.8023707453366278e-06,0.0010816541008065964
300,0.0005501252817384196,1.62509192765496e-07,0.033658265434412846,0.6121352683754806,0.012216771293538972,4.449515130482521e-07,2.5879037193876123e-06,0.0015123829821834737
400,0.0005245423463409941,5.548556486444447e-07,0.030426249378142586,0.617582190414584,0.011383782610027248,4.211936718154902e-07,3.210613448075859e-06,0.002074893182716277
500,0.0005019736714851853,4.110172798257816e-07,0.029626304095549144,0.6180505712415431,0.010741448289674735,3.085798024789572e-07,3.9376030557996245e-06,0.002449968891135001
600,0.00048317472043167504,9.342363427139215e-07,0.02821741300729004,0.6202148174145026,0.01033695762322124,2.7483096163425067e-07,4.435452476719042e-06,0.002833886030827385
700,0.0004701293533739369,7.680891180436665e-07,0.028106646489705372,0.6197150693279018,0.009677528994540193,2.714675661074379e-07,5.0688243675079805e-06,0.0030625774835096277
800,0.00045108244912280953,1.1243687134286964e-06,0.02697083446741356,0.6187595760816413,0.009102158080608543,2.7080207008244585e-07,5.530236574508546e-06,0.0034904787272602733
900,0.00042737989510755825,1.3777925714595247e-06,0.027142129534359107,0.618498357476149,0.008791675132072598,2.6097493949035104e-07,5.860998701210812e-06,0.003691269898666456
1000,0.00041090721104719634,2.0123402563291237e-06,0.026622782835780286,0.6190896519661429,0.008338822667497449,2.247914463148518e-07,6.185310364847466e-06,0.004020277600220398
1100,0.0003915094295336669,1.9115151227629982e-06,0.025977921015432722,0.6180869536868817,0.007984909122047362,2.86458757072928e-07,6.656889110079643e-06,0.004228139384712703
1200,0.0003767435789205511,2.2204493337821795e-06,0.026168007899920926,0.6182310804919567,0.007472777542182946,2.2305216314116764e-07,6.81040026954947e-06,0.0044098801797443216
1300,0.00035894732121106716,2.674133145490807e-06,0.02740541550321196,0.6169330132232357,0.007069530957368531,2.2225764112461377e-07,7.04088514270871e-06,0.004535618759566339
1400,0.00034187509177967316,3.2838086985181138e-06,0.0264515388936781,0.6162112705131821,0.0069500256729529575,2.6504395488773965e-07,7.2452282169090285e-06,0.004708820597314397
1500,0.0003239357026381683,3.3743898038540267e-06,0.02677212980394257,0.6142199904960645,0.006536329418889559,2.6078686980263637e-07,7.3559071872197255e-06,0.004930920266227764
1600,0.00031414666848259714,4.058018624813471e-06,0.028070234009280392,0.6146976197681451,0.006330308760690915,3.1282476252802476e-07,7.650938507837767e-06,0.005015762498511697
1700,0.00030409536049611245,4.2648395442320605e-06,0.028613593635439548,0.6155033363680792,0.006175575703623655,3.0605952184634657e-07,7.6497042770389e-06,0.005203476988358639
1800,0.000285721624220122,4.868002699691772e-06,0.03047605160379346,0.6154847058836288,0.005975272827266155,3.471439281263245e-07,7.761662255411516e-06,0.005208980356361833
1900,0.00027609128111947753,5.202040422021224e-06,0.031028207426937203,0.6134978783391875,0.00550015728573713,2.997009862299341e-07,7.869690596615938e-06,0.005339368204045552
2000,0.00026571852236281145,5.5302139037804885e-06,0.03360481350611739,0.6114920356230911,0.005451409461039142,4.089490152816567e-07,7.85794371667889e-06,0.005427707904626644
2100,0.00026409135612780085,5.533378040658535e-06,0.03444025113548999,0.6126984810221976,0.005167839399305644,4.0989226475605185e-07,7.886792716014796e-06,0.005500976392266058
2200,0.0002420469393684353,6.079448718556531e-06,0.03682724476155719,0.611550480603145,0.0050562869754287474,4.762310756089617e-07,7.827326812861922e-06,0.005481346820485459
2300,0.0002369210584086948,6.4185368455771405e-06,0.039782199035555015,0.6092947834705114,0.005084997068182464,5.130859505835254e-07,7.836293484448584e-06,0.005519725940016976
2400,0.00023209043409711555,6.935587575304337e-06,0.040890933976866994,0.6088340322013847,0.004793940165384137,5.281860641370345e-07,7.819838899127762e-06,0.005514502648070939
2500,0.00022161014852030046,7.235055552988127e-06,0.044395537712668756,0.609403153395829,0.004759942996422211,5.759943273359052e-07,7.83553995004844e-06,0.0055977367781599
2600,0.00021374950667431584,7.893049803142325e-06,0.04608990399517661,0.6076790096481096,0.004475525255232531,6.822291894491546e-07,7.844299221995029e-06,0.005627499346503986
2700,0.0002049415196415366,8.000617360217999e-06,0.04842915959813271,0.6068749159118213,0.004407667626565734,7.31592659775375e-07,7.701066723236495e-06,0.005504903580416241
2800,0.0001905065344192463,8.406925127781568e-06,0.050099390039091925,0.6054460804834235,0.004387145852929247,8.431898005069568e-07,7.709774248735596e-06,0.005558785877425058
2900,0.00019161692169808402,8.675462250748007e-06,0.053506676169084035,0.6049699346692299,0.0043306256956814615,8.70369883862334e-07,7.578396901000112e-06,0.005492217091256096
3000,0.00017203294386529524,9.218783915994779e-06,0.05626361723830104,0.6033000981756601,0.00433241665419253,9.333372760582656e-07,7.4040196208275954e-06,0.005452101070701025
3100,0.0001782203549151669,9.31970552415482e-06,0.05877096478025528,0.602995781092716,0.004117361823567414,1.072755766213238e-06,7.424072696797118e-06,0.005546267504106967
3200,0.00016961853487277673,9.598300393709533e-06,0.05966174938443241,0.6002098928175976,0.003982073811943341,1.1475559336655178e-06,7.345269922242799e-06,0.005428398919714574
3300,0.00016067727408284647,1.029054596155056e-05,0.06360784846131848,0.5989163849570837,0.00401825823480884,1.2454909381708456e-06,7.215267330655541e-06,0.005413617170112838
3400,0.00014988110007630324,1.0699974219435116e-05,0.06545105204855561,0.6004767402790362,0.0037861901797116926,1.4428926541756058e-06,7.018199046148382e-06,0.005383777414522842
3500,0.00015040250835833676,1.0611269324415551e-05,0.06930071996851364,0.5983152118375678,0.003963354675833257,1.473836079276748e-06,6.892448819537464e-06,0.005341396365612605
3600,0.000150264468862567,1.10762739749902e-05,0.07223308955118772,0.5974592707932452,0.003890278287886316,1.6702586655633114e-06,6.948519822327278e-06,0.005244784955203446
