miliseconds,M,B,A,L,P,I1,I2,I3
0,0.0006327591797526709,1.1756746903556299e-07,0.03862257850361304,0.37135682460553093,0.014856102738333002,1.3681899221948029e-08,-6.01033642129648e-08,5.980757524494777e-05
100,0.0006063872908845789,-1.880111861069819e-07,0.03539310995998604,0.5474983857470785,0.01400893975543779,3.2439083009206883e-07,1.031140572357725e-06,0.0005100887839359924
200,0.0005725761549896138,2.97214756610979e-07,0.033483037401424026,0.5961235766686809,0.013091082927281521,3.421550271253972e-07,1.8666458246491703e-06,0.0010795816976692284
300,0.0005489656012263085,2.403400060873991e-07,0.032567658386100415,0.6108537570701644,0.012237000922915535,4.171924112950467e-07,2.621616575064111e-06,0.0015148026167761427
400,0.0005212901651465319,4.772970769535308e-07,0.031100065818235597,0.6177106618373186,0.011533285999212892,4.1192002753522883e-07,3.329943151831298e-06,0.0020525930782525656
500,0.0005063986747963371,6.306142219053525e-07,0.028968602620344574,0.6190987734334318,0.010718473800042446,3.1527352571331246e-07,4.0057343859462715e-06,0.0023836973386915272
600,0.0004783327276926497,9.662339207923192e-07,0.027656031677766535,0.6180897099732805,0.010315995259832898,3.059988304351117e-07,4.597422069259253e-06,0.0027821171930998818
700,0.00046079109343175696,9.960951499520262e-07,0.027891347843451673,0.6195869792906307,0.009637584017577867,3.031319721330108e-07,5.0649574516911235e-06,0.003118981690945555
800,0.0004399070012849602,1.0615988757424311e-06,0.027179688596763812,0.6181585596913179,0.009103427675259014,3.2905898471877154e-07,5.5528325959565985e-06,0.0035011931401370973
900,0.0004330427059947383,1.333395669367241e-06,0.02697268915701364,0.6198219132734943,0.00870047925136426,2.3525388304922722e-07,5.806778483609083e-06,0.0037076631420560804
1000,0.00041000889014022727,1.9843188614341767e-06,0.025935485646355515,0.619251906597415,0.008375267605400853,2.467608121969116e-07,6.288665564592164e-06,0.003969750566285805
1100,0.00038744634512063433,2.170794282969728e-06,0.025922987375776425,0.6192833854455095,0.007896575806094234,1.962653731461316e-07,6.544621550732308e-06,0.0041430158285486185
1200,0.00037907641360716664,2.5155921970488777e-06,0.026296042861816943,0.6190512269418286,0.007633928989273835,2.879750974626804e-07,6.766797918886801e-06,0.0043976564250982975
1300,0.0003625545597352658,2.839308802995034e-06,0.024928175673724757,0.6154624119898577,0.007002495996256217,2.9119598876887697e-07,7.126341831203393e-06,0.004589922705302031
1400,0.0003522550647246242,3.315791816220833e-06,0.0275848108518155,0.6173221344098542,0.0069458203209803795,3.061899401526575e-07,7.278474044538454e-06,0.0047373293033522845
1500,0.00033596584810199887,3.729888265028928e-06,0.028190577473008366,0.6160562090746362,0.006490421470181315,2.116715741636059e-07,7.376676825451102e-06,0.004873067000396497
1600,0.00031066922738870884,3.900662766700812e-06,0.027704991230929052,0.6149704651357528,0.006340032955128234,2.3196345313733956e-07,7.571763482035257e-06,0.005015540062407382
1700,0.0003079857706267228,4.043311864269013e-06,0.029772825145058416,0.614648398388798,0.005918745958256226,3.272059667275526e-07,7.774859884024923e-06,0.005177237194034847
1800,0.0002974046765362868,4.453489217592198e-06,0.029820432256240346,0.6126288490320211,0.0059859885297959495,3.5983345062884423e-07,7.747659546716962e-06,0.005201555018570418
1900,0.0002767448583995118,5.106007158922372e-06,0.032317906875224095,0.6114667302895752,0.005620823715875995,3.114291336435586e-07,7.902148236790234e-06,0.005293314557084319
2000,0.0002661206050800861,5.419097283962276e-06,0.03281269366355736,0.6140199515265777,0.005323457582915055,3.7101900961469996e-07,7.952726729785739e-06,0.005376688069922754
2100,0.0002540024505256965,5.947052687868378e-06,0.03497722530491688,0.6102649431827099,0.005270198107262308,3.7804096401701485e-07,7.987488300514965e-06,0.00549771142270686
2200,0.0002534593290182112,6.065694167227439e-06,0.03820349257376329,0.6103425679997866,0.0050108634931053785,4.913174342698565e-07,7.941356754471702e-06,0.005538414435964277
2300,0.0002296429652850165,6.473681195001282e-06,0.038872734823333456,0.6095732496980898,0.004966306167626061,4.457698712065204e-07,7.869038723360908e-06,0.005524604148369545
2400,0.0002254008395953906,7.046602494749336e-06,0.0418485098034285,0.6084438306133573,0.004787137533228681,5.092099095345145e-07,7.836575120713429e-06,0.005548945024543986
2500,0.00021780980500845433,7.434711426803874e-06,0.04285821204799652,0.6087159072831759,0.004784640390352888,6.320725320151235e-07,7.91729841042122e-06,0.005560154897089995
2600,0.00021223863988803168,7.711279516535836e-06,0.04676207002392506,0.6082342268570029,0.004596612835988306,7.149157867993816e-07,7.756780124199381e-06,0.00556711437537108
2700,0.00019714335279495993,8.073674627324665e-06,0.04926043421660255,0.604712466522903,0.004440438342432642,7.559586383587012e-07,7.719526912948723e-06,0.005530904808149949
2800,0.00018626605316346382,8.308369809466916e-06,0.04938042812725586,0.6057857770677229,0.004491481197183428,8.229628959835069e-07,7.730891869773081e-06,0.005547745759896729
2900,0.00017943019602684104,8.914658463740706e-06,0.05357132583458813,0.603670077557775,0.004332966697998929,8.496100755434793e-07,7.650287785441271e-06,0.005467331253194206
3000,0.00018079456345284226,9.278063055368769e-06,0.05518119245744937,0.6043934331066387,0.004171322555832776,1.0400205933039172e-06,7.4258352610405975e-06,0.005451634728893277
3100,0.00017448150543235798,9.282854349079611e-06,0.05951322625165201,0.6010906375095728,0.004020484196731128,1.0687656068362466e-06,7.450148542878433e-06,0.005440372278884524
3200,0.0001723512257987189,9.915146435372338e-06,0.06165163240864919,0.6011540993830358,0.00391506091752945,1.187251822797878e-06,7.251807672104905e-06,0.00546823804914031
3300,0.00016837911704725285,1.0143429367016673e-05,0.06402473641880281,0.6014227185813261,0.004064620216567608,1.3388947183801277e-06,7.121921339610966e-06,0.00535018710404697
3400,0.00014992219237887667,1.0724277535597405e-05,0.06514308093215244,0.5998803038630176,0.004003255563793023,1.4264119824768724e-06,7.121097719379826e-06,0.00537941655875089
3500,0.00015237880274117857,1.0746052364217746e-05,0.06781947228517224,0.5976327764372354,0.003703492457599574,1.572285521909351e-06,7.038396765268008e-06,0.005261061719426305
3600,0.00013826484648048196,1.1225046428459163e-05,0.07196795510585347,0.5949745453209548,0.0037877200994138353,1.6777927216209542e-06,6.948632697834405e-06,0.005205850544755291
3700,0.00013636692630913559,1.1673982684100908e-05,0.07437891057882855,0.5943249641848141,0.0035599251112184704,1.8099307518356589e-06,6.8398479998766514e-06,0.0051657633453065675
3800,0.00013426073160355552,1.166348614951189e-05,0.07752538518518991,0.5953060123985295,0.0036056445454005033,1.878332486965065e-06,6.670108902807987e-06,0.00521436130904072
3900,0.0001373985073437271,1.1879717440934692e-05,0.08082169643348963,0.5948683938136564,0.0034162174106460597,2.0599733552945394e-06,6.53987200560603e-06,0.005063716622117976
4000,0.00013558918496328135,1.2269080770082792e-05,0.08200307147660019,0.5910124944468901,0.003605513438252119,2.2068374712284887e-06,6.454984222695264e-06,0.005014549196242595
4100,0.0001259549511128877,1.278272979140391e-05,0.08477985242922728,0.5895979681896959,0.0035710443580410298,2.3727823033377834e-06,6.2878167854392336e-06,0.0049401276380928024
4200,0.00011920574460961306,1.287703566317092e-05,0.08653997960789514,0.5915260785600517,0.0035055243424047242,2.4666875505658574e-06,6.099233131808829e-06,0.004933909604132527
4300,0.00012820597734172691,1.337739155696731e-05,0.08980488445740221,0.590312046471037,0.0034754146787436555,2.5747833815768274e-06,6.090068860638386e-06,0.0049325730031180405
4400,0.00011307351996891831,1.3602863985430938e-05,0.09371735469527048,0.5886030725302954,0.003235459452071957,2.816749484888842e-06,6.0307429797767875e-06,0.0048163435473625935
4500,0.0001129545076367597,1.3675328146188826e-05,0.09438033559442428,0.5878171465240772,0.00313755503499685,2.9616393087334145e-06,5.892308427628821e-06,0.004697030693706097
4600,0.00010970500932939878,1.4030597500662667e-05,0.09706567945676502,0.5875116227168377,0.003118180783891548,3.091173213382825e-06,5.706506264366891e-06,0.004731277704759751
4700,0.00010719410311019993,1.4045924924039531e-05,0.09949180222585309,0.5841760007462636,0.0032769254387688867,3.2367735950217955e-06,5.58382130756108e-06,0.004678550775310921
4800,0.00011731210833876572,1.4445106914168628e-05,0.10378318613155389,0.585324843222046,0.003122040665142571,3.402830708157608e-06,5.525929396048706e-06,0.004566111237828351
4900,0.00010936463829501079,1.471253938336944e-05,0.10525295841516326,0.5820167073097325,0.003105130798267269,3.5671289218288784e-06,5.431478462632768e-06,0.004465258113273141
5000,0.00010948472726552838,1.5125317906349262e-05,0.10819067048050894,0.5820325052605079,0.003010134365626633,3.7507366928619103e-06,5.4298465511389965e-06,0.004459860079359638
