milliseconds,D,CDK5,D_CDK5,D75,CK1,D_CK1,D137,PKA,D_PKA,D34,D34_CDK5,D34_CK1,PP2B,D34_PP2B,D34_75,D34_137,D75CK1,D75_PKA,PP2A,D75_PP2A,PP2AP,D75_PP2AP,D75_137,D137_CDK5,D137_PKA,D137_PP2C,PP2C,D34_75_CK1,D34_137_CDK5,D34_75_137,D75_137_PKA,D34_75_PP2B,D34_137_PP2B,D34_75_137_PP2B,D34_75_PP2A,D75_137_PP2A,D34_75_134_PP2A,D34_75_PP2AP,D75_137_PP2AP,D34_75_137_PP2AP,D34_137_PP2C,D75_137_PP2C,PDE,PP2Binactive,D34_75_137_PP2C,CK1P,CK1P_PP2B,PDE_PKA,PDEP,PP2A_PKA,Ca,PP2BinactiveCa2,R2C2,cAMP,cAMP_R2C2,cAMP2_R2C2,cAMP3_R2C2,cAMP4_R2C2,cAMP4_R2C,cAMP4_R2,cAMP_PDE,AMP,cAMP_PDEP
0,-9.079563731582151e-05,1.1843790183035656e-05,-6.6993098769413215e-06,4.364722622042766e-05,3.585652791631899e-06,-1.474941343812908e-07,-1.842203915230398e-05,2.6884316001909766e-19,-3.433394382434235e-19,-1.3774599896620734e-17,4.856166614233327e-19,1.8119918343913762e-19,9.579356489912326e-07,0.0,1.1680646377161007e-17,7.591676122870525e-18,-8.45209635279565e-07,0.0,-3.05158004579811e-06,-1.5820579720470132e-06,-9.19206256410865e-22,0.0,-0.00014479524379695314,-3.4782600103836036e-06,0.0,1.1060842693402285e-06,-3.163835181662773e-06,6.152242396856706e-19,-6.421437312421612e-19,-2.908876654947897e-18,0.0,0.0,0.0,0.0,-1.4591164541270385e-19,-1.6963345380285538e-07,-1.0072116013153195e-19,0.0,0.0,0.0,1.2444740369092478e-19,1.138970169265844e-06,1.9999999999975422e-06,-1.8066970124789499e-06,-2.3206837564301585e-19,-0.00023650638608220764,-2.0841925819216906e-07,-4.3061642643058586e-20,-1.8926668430847306e-18,2.3827650137294997e-20,1.851932472757158e-07,4.268615112040882e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,8.121990372878545e-05,8.084849323571795e-06,7.794252100357981e-06,-4.1842423249397536e-05,1.130512543954543e-06,8.662109677471907e-08,-3.848723835363359e-05,6.734502534313583e-20,5.082382880455653e-19,1.1031127747087325e-18,4.731871566815054e-19,-4.177758841915763e-20,2.0889855799899055e-06,0.0,-3.745552036240077e-18,4.045157583493045e-18,-1.0620319505163122e-05,0.0,-1.46891555269325e-06,1.4518854114049984e-07,5.779826547762408e-21,0.0,6.727387328738818e-05,-5.87000710006566e-06,0.0,5.191654346482355e-07,1.0193438433169259e-06,4.491884571176576e-19,-5.158338729906635e-19,6.6820537155414624e-18,0.0,0.0,0.0,0.0,2.20890252709095e-19,-1.7905186681384134e-06,1.1641162743059666e-20,0.0,0.0,0.0,-3.0871935475635884e-19,3.003739655118932e-06,2.000000000001883e-06,-6.287775952675415e-07,1.044265159555679e-19,-0.00023293131523153025,-3.203340845572399e-07,4.593378655040398e-20,1.1850752584725733e-19,1.7941160560221817e-20,-5.1294753632523734e-08,-3.1303805422698012e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,-3.7907935239745712e-06,-1.0683224719333866e-05,-6.185106061675804e-06,-5.080897057281658e-05,-1.8081081485511472e-06,8.597593495505678e-08,2.1316276594311183e-05,8.637876883984493e-20,3.2984394441723113e-19,8.74445181263279e-18,-9.910520071307818e-19,-3.84917399069269e-19,1.4769564487699663e-06,0.0,-9.106153970139562e-18,-5.060377221741695e-18,8.716922960291357e-06,0.0,3.255842305604547e-06,1.4319668685546752e-06,-1.9074512030236824e-20,0.0,0.000142208935819821,-2.579640520448875e-06,0.0,-7.385966997522044e-07,1.635403000696539e-06,-1.0707341672305463e-20,3.2923452894857707e-19,6.36137361627249e-18,0.0,0.0,0.0,0.0,1.3686758471623425e-19,-2.5201736351610665e-06,-1.2401740956225267e-19,0.0,0.0,0.0,-3.2395523275110295e-19,-4.156990679213356e-06,2.000000000000017e-06,2.3917758301459195e-06,-2.2670028258619057e-19,0.00021159654171359234,1.3022307337701896e-07,5.1591906470206684e-20,4.375518474509504e-19,1.772835780211924e-20,-9.619721129889501e-08,-1.8875857395207084e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,-6.463010316416637e-05,1.4676673988267764e-05,-5.561510754471846e-06,-9.00174508975988e-05,6.238823118325295e-06,2.2219155318255487e-07,-4.0604565616795553e-05,-4.8860043023923504e-20,1.4357966988378306e-19,-9.436929295586797e-18,-7.9697069518960785e-19,-4.8219754262622525e-19,-2.8559249016255106e-06,0.0,2.5792172122065305e-18,-1.6656626838195214e-18,6.853188399508143e-06,0.0,1.2590891450212206e-06,-1.4501084559582253e-06,-3.983273020283764e-21,0.0,0.00012393649671504163,-4.523537860927592e-06,0.0,-8.595330648739207e-07,-3.948709871955492e-06,-3.260741314578498e-20,2.5110812149738434e-19,-2.29859142228403e-20,0.0,0.0,0.0,0.0,-1.1640280853312546e-20,-1.8007932988270413e-06,1.261392448676386e-19,0.0,0.0,0.0,-8.536948773866957e-21,-7.231406676762957e-06,2.000000000004491e-06,-8.048431158904477e-07,-1.7492314543202287e-19,0.0001736026021416867,-4.616537150443616e-08,1.5382655623740047e-20,-4.869689677129483e-19,-1.9147107000006966e-20,-2.917589114528142e-07,2.7645289762973447e-07,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,-2.6690069977952683e-05,-7.447555305663324e-06,-3.230311319158353e-06,-3.9620336498311925e-05,3.374887692121613e-06,2.924102124555751e-07,2.3290155975125176e-05,-8.179988797126756e-20,-2.9929344547371146e-19,-1.3637363478097662e-17,-5.413779989495899e-19,5.995318313878188e-19,-6.08762139952544e-06,0.0,-9.06567941746718e-18,-3.588040337133142e-18,-3.099947330785353e-07,0.0,-1.91666570228484e-06,-1.7275006502979458e-06,-5.530404739457844e-21,0.0,-1.280915485094212e-05,4.088486334010241e-06,0.0,4.7623452627246623e-07,1.9367699739770344e-06,-3.428655037609406e-19,-1.303150373929547e-19,-4.813388522929943e-18,0.0,0.0,0.0,0.0,-2.0879453381140617e-19,-2.8379465896426425e-06,-9.101452174001481e-20,0.0,0.0,0.0,3.432717892890582e-19,-3.536945669106026e-06,2.0000000000004997e-06,-4.59774440695958e-07,3.2542546711398256e-19,-0.0002894415743883766,2.9581603170170095e-07,-5.285657507164287e-20,-4.686561418339748e-18,2.5515097963878598e-20,1.2940731560034984e-07,7.442740752718167e-07,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,-5.0315198952821315e-05,1.6353723963031894e-06,4.180156962383439e-06,-6.14412480624006e-05,-4.236675941011787e-06,-1.0888789046524588e-07,2.9896542918278165e-05,9.766982488245002e-20,-4.67953282370315e-19,-3.4671002476565975e-18,-7.570063125564096e-19,5.241990154704622e-19,-6.539184317250351e-06,0.0,-5.0835423558999155e-18,4.3286955434716514e-18,-9.172514554338035e-06,0.0,-9.259974295832711e-07,1.247238941317528e-06,5.983362695512053e-22,0.0,2.0973490096498155e-05,6.096152313659138e-06,0.0,7.33007110298621e-07,-5.993392087489616e-06,-3.9598662136867165e-20,5.216125491285815e-19,-6.3732302262714934e-18,0.0,0.0,0.0,0.0,5.523014798113854e-20,-2.8637380751012543e-06,1.648103246850832e-19,0.0,0.0,0.0,-3.1257906461642607e-19,-9.862761998735257e-07,1.999999999995658e-06,1.3108422557583408e-06,-4.651770414011483e-19,0.0001489461921830085,2.3300132756719802e-07,-2.2845878988297756e-20,-1.8862524263875053e-19,1.7202023056580052e-21,2.538449259706537e-07,1.040420315003018e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,-8.470389327816681e-05,-1.4978345566454456e-05,-6.3954246166643095e-06,2.601251745400269e-05,-2.085527031104563e-06,-2.828653261842056e-07,-4.308761186123039e-05,-2.6963290404415257e-19,-1.8530097913256131e-19,-3.748982991613881e-18,-8.402002953626984e-19,1.9546082455301545e-19,-6.393084800290408e-06,0.0,1.7834219443380467e-18,-5.683948399261171e-18,-4.539967880080984e-06,0.0,4.127846618738468e-06,9.605129651217232e-08,-4.250386843399321e-22,0.0,-1.4272625705046288e-05,1.9707484916327593e-06,0.0,-1.333012965712939e-07,6.257470245166286e-07,3.73227897493398e-19,-6.277223480249998e-19,8.016118537416823e-18,0.0,0.0,0.0,0.0,-1.612229096912468e-19,1.5989502837749028e-07,8.16899806058135e-20,0.0,0.0,0.0,-5.2173524513768674e-20,-3.249504182174414e-07,2.0000000000003425e-06,1.4734593847765107e-06,2.66090511282045e-19,9.806235316720521e-05,-6.533825261195558e-08,2.306575329764983e-20,-6.034481431152969e-19,1.319065505364029e-20,8.632911058983717e-09,1.1657869243588668e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,9.461990703503536e-05,-1.0527388520428873e-05,8.373154999968123e-06,2.276462685470958e-05,-4.488252004585594e-06,-3.568226600383815e-07,-2.4326376391376045e-05,1.8646135283543698e-19,-2.572394638130905e-19,-8.27059848430309e-18,8.213645025097428e-19,-3.48634332063264e-19,-4.47381798812037e-06,0.0,4.126919785863289e-18,6.438789621074718e-18,-6.501353627844153e-06,0.0,-2.3857499849408346e-06,8.74557195251718e-08,-9.55940314704409e-21,0.0,-8.673894912301829e-05,-6.283195256383894e-06,0.0,2.7983358697946784e-07,-4.769165870407389e-06,-2.583033682451271e-19,-6.7138050515378105e-19,8.197348993700093e-18,0.0,0.0,0.0,0.0,2.666029388931821e-19,-8.665391965860398e-07,1.3447183670140945e-19,0.0,0.0,0.0,-5.562092455298823e-19,2.4019705419942975e-06,2.0000000000030213e-06,7.124653140051992e-07,-5.996238891715629e-20,-0.00017029564324814336,-2.481276936901128e-07,3.9988606124251824e-20,2.0362077802328185e-18,-5.3948708027304174e-21,2.4149086817842505e-07,-4.483574852547912e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,0.00010139498310079707,7.421953033958564e-06,4.075991715098231e-06,-4.483500351774713e-05,4.7002888135333365e-06,-4.674050422236277e-07,1.840340667309905e-05,-7.17478932097138e-20,3.2955329435411184e-19,1.1360674448629311e-17,6.819352184568318e-20,-5.613796257251761e-19,-2.6386593990888593e-06,0.0,-4.662114236138888e-19,7.96979672667767e-18,-5.352642670805259e-06,0.0,-3.3932205808057135e-06,7.369891833104187e-07,2.001292004130127e-20,0.0,0.00012138681217786333,5.186205723748011e-06,0.0,-5.873294401388051e-07,-6.660566793890659e-06,-3.420731667267307e-19,-3.6986159863685683e-19,5.8407737096035646e-18,0.0,0.0,0.0,0.0,-1.0601831126456246e-19,-2.5612363008138425e-06,-5.11524973242732e-20,0.0,0.0,0.0,-1.7709192674055304e-19,-5.840974942437095e-06,2.0000000000026083e-06,2.203444967345361e-06,-7.202209528199189e-20,-0.00022051560607521956,-2.514335069190493e-07,-5.1604093523901666e-20,4.6861004433656016e-18,-5.37945979723721e-23,-1.0931811374871658e-07,-4.191620971533196e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,-7.183267884771478e-05,4.182374759115005e-06,-1.1284158102951662e-06,-6.342767666068959e-05,-5.9896463798383255e-06,-6.891958865060814e-07,3.7675928589446805e-05,-1.2409169910486202e-19,-5.144084447255298e-19,-3.490077026009042e-18,-2.69221665811418e-19,-5.629496453623888e-19,-5.60975322450028e-06,0.0,1.501531919871299e-18,-8.898149971325542e-18,9.399136193471454e-06,0.0,4.7283149399915454e-06,4.99653446125663e-07,-1.3446975045380404e-20,0.0,3.6793795104141274e-07,-8.551351881460749e-06,0.0,-9.099121359508897e-07,4.178742556607408e-06,5.764246721893019e-19,5.1991315374326775e-19,3.018008208722249e-18,0.0,0.0,0.0,0.0,7.228433745600927e-21,-7.487973890399979e-07,8.305218492773039e-20,0.0,0.0,0.0,-2.490808601841789e-19,4.457918245239179e-06,1.9999999999954213e-06,-1.212134663545837e-07,-3.1383647416126946e-19,0.000262927225937752,3.1203341933580185e-07,6.29556172597984e-20,-4.267064708294863e-18,4.46670426725126e-21,-2.3288432244982252e-07,2.7313511928541516e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,2.4304534679530393e-05,-1.6406846818726439e-06,-6.2543558483340636e-06,-2.7548594655905078e-05,1.4724456324917615e-07,-6.418852450751881e-07,-1.315550468368547e-05,1.7573516088776842e-19,4.021183873786382e-20,-9.778967130403093e-18,2.54729458622412e-19,-3.32938091350636e-19,1.8863873040570133e-06,0.0,-8.282628518343625e-18,-6.044388962601848e-18,2.1518368265056218e-06,0.0,-3.197282460802922e-06,-4.4512797172661145e-07,2.0450832935905892e-20,0.0,-0.00012955769993726305,-2.2840751544436506e-06,0.0,4.0052710299531736e-08,1.159713034158719e-06,1.2209292039205151e-20,-6.441307537295155e-19,6.312256768279244e-18,0.0,0.0,0.0,0.0,-1.653918127594995e-19,1.5124517159647879e-06,1.243671143065286e-19,0.0,0.0,0.0,5.465029993819962e-19,7.093611002989868e-06,2.0000000000022687e-06,6.490153814605828e-08,3.8211574090040827e-19,0.00023860810165703047,3.010495804576968e-08,3.888423454696571e-20,-4.029424187306183e-18,1.5672739895503213e-20,-2.5396992598014114e-07,-2.9846652028987246e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,5.613320454499342e-05,-1.0292901007769292e-05,-1.1262826885857107e-05,5.743517658471018e-05,-6.984674595013427e-06,-8.481785694284589e-07,-3.6536228589512116e-05,-1.8600966785661476e-19,-5.268216697642666e-19,-3.423750125168534e-18,4.630473578157448e-19,-7.095674646975652e-19,6.080168063816809e-06,0.0,-2.9073226272139515e-18,8.080382314000338e-18,-4.982437532500924e-06,0.0,-3.6889956700053858e-06,-3.0718794717810573e-07,2.0583941754304287e-20,0.0,0.00013807552501755394,-9.12307309518152e-07,0.0,6.714643194045818e-07,-5.202567940095091e-07,-3.6622411735838977e-19,3.236089703406295e-19,-2.2557658392337583e-18,0.0,0.0,0.0,0.0,-2.39465680601998e-19,2.8244120915304704e-06,1.1885457484941644e-19,0.0,0.0,0.0,5.86130144636919e-19,-5.365844063245003e-06,1.999999999996998e-06,-1.0281065742862197e-07,5.579825591961152e-19,-7.647650785546069e-05,-2.972016539025151e-07,4.5204891085307167e-20,-3.71010265891626e-18,-1.4911398972149212e-20,2.811418916252882e-07,-4.245545244768678e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,7.366216911145451e-05,-5.378393384569941e-06,4.1575725762138075e-06,-8.522859425216486e-05,-6.6480879948340956e-06,-1.183737986654032e-06,1.8323131608897622e-05,-1.269618744660154e-19,6.766801666447948e-20,-1.0390547888207917e-17,-1.012215779798679e-18,-1.9912442155536333e-19,-6.9245699097221334e-06,0.0,3.4220692076605622e-18,1.1184651867859237e-18,5.019776859612205e-06,0.0,-1.6753348984376654e-06,-1.4450448870969226e-06,-1.8267590176123908e-22,0.0,-9.578977401209991e-05,-6.924887804571336e-06,0.0,5.969975945225299e-07,-5.979987045251095e-07,-5.623697815807918e-20,6.948550336384992e-20,7.810740506415401e-18,0.0,0.0,0.0,0.0,1.5176584732790608e-19,7.852540433831748e-07,1.708642660242893e-19,0.0,0.0,0.0,2.0932699605286994e-19,5.305446141880164e-06,1.999999999996908e-06,-2.017154691608088e-07,-3.1568433320993274e-19,-9.621701350218031e-05,5.316041064723119e-08,-2.979035130683953e-20,-2.758827944754726e-18,5.118955325935886e-22,2.0285843296479348e-07,-1.9106658076261364e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,2.2512734105819513e-06,-1.3556685349081963e-05,-8.166008430100194e-06,5.272276025970398e-05,-4.081389032841755e-06,-1.2529008789522166e-06,-3.314229591276129e-05,1.0044418951947294e-19,5.47962484366705e-19,-7.694389730710297e-18,9.683982907179957e-19,-3.350162231600941e-19,6.50767321533442e-06,0.0,1.1198928269486797e-17,1.1467528753062014e-20,-1.1255908231175116e-05,0.0,-3.92860429781431e-07,-7.087591470352346e-07,2.1071805651774586e-20,0.0,8.239909169559351e-05,-2.299379464560866e-06,0.0,2.367940913843349e-07,1.3263936085485227e-06,2.30583684698576e-19,-3.6919806469935822e-19,-3.371610820008453e-18,0.0,0.0,0.0,0.0,-6.367953469022611e-21,-2.902038981979409e-06,-4.9567551199634186e-20,0.0,0.0,0.0,-2.964359042699287e-19,-5.646679973708158e-06,1.999999999996553e-06,-3.8646185589695917e-07,-2.867542856368269e-19,0.00026195328677674216,3.332768566610974e-08,-5.188187333823212e-20,4.832688576374568e-18,3.6006569416312385e-21,-3.330603055523426e-07,-3.348129258652486e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
