milliseconds,Ligand_EGF,Surface_Receptor_External,Receptor_Ligand_Complex,Internalised_receptors,Receptor_Ligand_Pit_Protein_complex,Free_pit_proteins,Internalised_Ligand
0,198730648280735.2,72537.62305757769,305.7202608207517,24373.082170266018,0.0,0.0,-512.26501320004
100,198730648208543.6,-17.67497570703466,74032.50985874649,24779.345681881092,0.0,0.0,-427.63834894906176
200,198730648202800.0,629.0326023304356,72980.65617052562,25561.189036591983,0.0,0.0,489.05161454359575
300,198730648197322.38,-34.338185153039625,72634.91548154847,25391.52297877488,0.0,0.0,325.84278421670376
400,198730648185097.06,489.393916173929,72523.48051734228,25845.08206453473,0.0,0.0,1066.6691041719384
500,198730648185122.88,-590.1738148680828,72794.80626587561,24964.596486359373,0.0,0.0,312.2306159480637
600,198730648179986.9,-525.6861015083961,73037.76498122979,25294.56877754319,0.0,0.0,957.5854560853005
700,198730648179158.0,722.5849573399327,72360.22315759867,25720.48484643771,0.0,0.0,2581.8698173052667
800,198730648176670.66,-355.66111739172237,70931.9552452423,26592.891017135888,0.0,0.0,2511.4894059258822
900,198730648165055.06,695.6329451778577,71139.81455538802,26238.80216942854,0.0,0.0,2309.87310625084
1000,198730648161438.8,309.83129669389393,71609.47481510178,27154.858752099408,0.0,0.0,2519.75949985334
1100,198730648159400.38,305.3649896997942,71791.58888073811,27025.997383060258,0.0,0.0,3484.510589731862
1200,198730648153589.0,881.4590166399038,71036.76556157223,27135.163964893753,0.0,0.0,3941.0101268850703
1300,198730648154600.7,-388.12513346078674,70153.19787099483,28056.490006927565,0.0,0.0,3688.460145643467
1400,198730648153574.8,-386.2993929141329,68973.80606367541,27875.027586644366,0.0,0.0,4757.0691397990895
1500,198730648145816.25,-888.1004138985146,69504.30389210224,28192.879253859774,0.0,0.0,5810.984998126467
1600,198730648134126.72,-808.6048104475198,69246.63336011764,28579.04731591584,0.0,0.0,5361.229163570049
1700,198730648129542.25,414.4784684332903,68008.73965787943,29994.541032988756,0.0,0.0,6249.180711335973
1800,198730648127491.3,872.3018869091118,67516.53699757972,30477.06063357503,0.0,0.0,6397.3175856622975
1900,198730648127913.7,75.54430114092574,68662.76910855177,29865.60707422745,0.0,0.0,7413.722272137212
2000,198730648118260.0,-773.1935040627128,67149.56495322852,30493.02528752932,0.0,0.0,8559.948339066163
2100,198730648117126.62,378.9262820483478,66216.04449044014,30674.11784335063,0.0,0.0,8064.77328485974
2200,198730648116376.03,442.1964105253595,66948.95918953823,31826.3528558471,0.0,0.0,9335.600188538505
2300,198730648114986.56,253.00893639902273,66752.46090389848,32261.06789294468,0.0,0.0,9399.904599207322
2400,198730648106635.1,999.5544773591466,64638.22802598398,33031.94446258726,0.0,0.0,10755.020476923972
2500,198730648109231.22,-753.986522123249,65768.5298475832,33020.708297576384,0.0,0.0,11000.439798453031
2600,198730648093503.0,325.8932495235324,64756.95069788055,33235.42815417049,0.0,0.0,11307.483155645104
2700,198730648099346.47,-937.9344098991944,64330.257571805494,33831.468385537264,0.0,0.0,12295.938092102971
2800,198730648086385.3,73.46600065611989,64203.7089860186,34600.49446997074,0.0,0.0,12916.630525084904
2900,198730648083073.06,895.001926245075,62049.795901463134,35748.18999360528,0.0,0.0,13623.462523296026
3000,198730648081553.97,-218.74811312635129,62347.58643572002,35190.30606374516,0.0,0.0,14061.61983803629
3100,198730648082649.8,-792.535251318142,61539.42468468913,35755.192972907644,0.0,0.0,14889.985340940015
3200,198730648081607.34,-434.8494882979589,62354.989010557,36980.656653691134,0.0,0.0,15830.145977182518
3300,198730648066647.22,841.5618953938048,59797.0520119989,36989.87896189217,0.0,0.0,16483.112389995807
3400,198730648073363.8,136.37096088161553,60445.66866252015,37306.195173164815,0.0,0.0,17032.152391864638
3500,198730648061130.62,-444.23095597637337,59957.600317568555,38674.06783491028,0.0,0.0,18125.39335205665
3600,198730648060229.38,520.6367973336968,60338.89416190221,39091.322289721524,0.0,0.0,18556.721965487424
3700,198730648062051.06,565.314637450868,58609.83646839648,39520.935141873764,0.0,0.0,19741.75352025728
3800,198730648052469.1,-1012.0208768452977,58758.69434744347,39875.74230015895,0.0,0.0,19243.98630768887
3900,198730648047602.3,101.03066020978812,57441.56738752084,39855.719242440806,0.0,0.0,20249.249169599334
4000,198730648047895.78,-939.6206034731784,58174.914215749886,40553.778801848035,0.0,0.0,20710.852530389693
4100,198730648042112.25,194.4767305945903,55903.35007069153,41338.01812293658,0.0,0.0,22074.758230503972
4200,198730648039145.16,713.125554796548,56622.17558209676,41091.326020253204,0.0,0.0,22389.17138189665
4300,198730648041428.97,-1018.1849719325379,55070.31214277701,41483.82443923588,0.0,0.0,23676.833157952777
4400,198730648035858.72,185.38760706337533,56322.45747616768,42809.38489006401,0.0,0.0,23465.131290385947
4500,198730648034990.5,-362.49833871385266,54053.64795684969,42992.88886282238,0.0,0.0,23859.716691429465
4600,198730648026849.38,-121.38305819455128,53589.93744829042,43863.77546338532,0.0,0.0,24756.919200977285
4700,198730648021242.28,-453.36397279614846,53679.058454535996,43761.86784658246,0.0,0.0,25911.467270312114
4800,198730648023878.22,408.67653556936995,54446.599414835495,45086.639406027716,0.0,0.0,26708.01540938929
4900,198730648017321.0,-213.34227217131905,52613.432768642175,45056.12924005382,0.0,0.0,27308.48353250767
5000,198730648009372.8,928.0144765846658,52969.934246312005,45247.26766647151,0.0,0.0,27023.023198449064
