milliseconds,Ligand_EGF,Surface_Receptor_External,Receptor_Ligand_Complex,Internalised_receptors,Receptor_Ligand_Pit_Protein_complex,Free_pit_proteins,Internalised_Ligand
0,198730648281915.62,72986.91553793063,1087.086102472246,25375.361723579128,0.0,0.0,-430.32669890580263
100,198730648201655.1,715.0945401139222,73249.28111554493,24762.84044819694,0.0,0.0,908.830870748532
200,198730648204376.0,-722.6609642494834,73406.99770181542,24978.294235885292,0.0,0.0,513.0433899996768
300,198730648195730.0,-960.5014131985196,73188.68777456581,25366.012838415525,0.0,0.0,474.97033388751174
400,198730648190107.66,964.4578276715879,72416.16919343146,25744.594823071984,0.0,0.0,534.9323514172681
500,198730648182268.0,-986.0327649795569,73282.09603342363,25170.4759628016,0.0,0.0,1471.7001340549089
600,198730648179167.97,-864.5709036666392,72942.48129838075,25173.02818716404,0.0,0.0,1857.6040306471277
700,198730648182998.47,766.4458656299627,72034.2725610245,26351.123385734678,0.0,0.0,1361.1829524960838
800,198730648169638.84,-69.63551420733283,71036.43014574754,25745.504805479508,0.0,0.0,2805.923095372563
900,198730648171110.75,519.4330104956914,72263.54216978345,26156.162925866658,0.0,0.0,1728.73960039624
1000,198730648169477.3,124.72409096398287,71543.37667127288,26731.302664516996,0.0,0.0,2401.6344764418254
1100,198730648160034.16,801.9265876359603,72001.3044991969,27048.799013107477,0.0,0.0,2997.7611572681735
1200,198730648153051.88,-851.6200057706199,70165.53784774755,27790.228837721137,0.0,0.0,4294.577937764268
1300,198730648149478.56,-982.600752871121,71298.62016928958,27851.264483788174,0.0,0.0,4206.4133244816085
1400,198730648152921.16,-1020.3047010478671,69748.4793421314,28016.88917056917,0.0,0.0,4447.166781200848
1500,198730648139616.47,265.3779837609706,69246.2539086129,28904.99218523112,0.0,0.0,5273.1245375619355
1600,198730648142759.66,881.54109854664,69300.70510967312,29570.113891906294,0.0,0.0,6624.994634641111
1700,198730648136787.28,-70.9232978942252,69290.7567325571,29141.192779795096,0.0,0.0,6646.183369239327
1800,198730648135441.1,947.8701992412126,69261.08470825045,29456.245813361707,0.0,0.0,6909.6385401540265
1900,198730648129103.44,-692.7535699444643,67146.6072094641,30858.977430282557,0.0,0.0,7656.014279216056
2000,198730648124551.22,332.82457090106976,67126.85187987937,30787.80196358759,0.0,0.0,7731.048351764523
2100,198730648120525.4,-305.48511013010824,66682.4422089179,31018.070684245704,0.0,0.0,8428.60649666816
2200,198730648115634.47,-939.2679964283486,65687.98169779807,32123.516553084562,0.0,0.0,8800.29068793309
2300,198730648116829.2,511.1835916803293,65928.38493950988,32599.605768933154,0.0,0.0,9409.366466287944
2400,198730648112197.47,-971.0463182189847,65149.4373325812,32302.36459785469,0.0,0.0,11491.046712943922
2500,198730648108098.6,-975.544198174881,64528.45251238003,33615.46881188429,0.0,0.0,11592.800805890533
2600,198730648101040.2,881.8375003673227,65296.49549090571,33040.30943073456,0.0,0.0,12090.914760753363
2700,198730648093030.72,-400.4728277954802,63511.1392747364,34706.703499564865,0.0,0.0,12181.91879717528
2800,198730648090562.03,1006.9441412179373,63017.011346061154,34100.690427622925,0.0,0.0,13678.407746737896
2900,198730648089013.5,-576.1019077449619,62215.06479972843,34995.677893197804,0.0,0.0,14083.88582398543
3000,198730648082373.3,-367.1062230774584,62293.3418976955,35651.59835315404,0.0,0.0,14598.19044582821
3100,198730648074874.53,-855.8160294411346,62470.97151747566,35529.26348604571,0.0,0.0,14754.106895323237
3200,198730648073596.25,176.90944809860292,61561.366881345784,36195.76679437003,0.0,0.0,16123.218330569893
3300,198730648074991.34,-80.16871878767256,60647.423468585104,36816.87092665715,0.0,0.0,16130.893947163078
3400,198730648063660.44,666.9479368290363,59944.13304922969,37378.2973812684,0.0,0.0,17585.031222148136
3500,198730648071118.62,167.15575819713058,58966.68964343453,37925.0505450885,0.0,0.0,17732.42794534562
3600,198730648064471.3,89.34976030622909,59362.556035827634,38982.10291848066,0.0,0.0,18990.60013316886
3700,198730648060129.88,-860.1996845714228,59816.37359211672,38536.52142046356,0.0,0.0,19758.36612368855
3800,198730648053836.0,994.375477296815,57497.2283216394,39812.335376271345,0.0,0.0,19856.322179157516
3900,198730648055816.62,-377.0391582011539,57139.03099988457,40617.73502734846,0.0,0.0,20868.385776912866
4000,198730648044149.62,-770.2949627792196,57975.598608003136,41137.11569799709,0.0,0.0,21528.210880893
4100,198730648041331.25,756.921830532483,57155.63795808926,41492.32931490611,0.0,0.0,21159.891529600518
4200,198730648046256.84,249.83541750524003,56596.47962079576,41246.32982020385,0.0,0.0,22001.160172945096
4300,198730648038759.78,711.3884669123468,56110.38554357111,41607.39420110093,0.0,0.0,23193.029158182806
4400,198730648036200.4,-408.65932454211816,56516.452217766375,43222.602879276645,0.0,0.0,22914.687494734404
4500,198730648029446.03,432.5939160549945,54825.0862363005,43470.7969923233,0.0,0.0,25148.89472752538
4600,198730648023260.38,519.4782671394736,54696.933279124205,43792.2705761643,0.0,0.0,24913.325703716415
4700,198730648020137.75,-734.2395255470666,54658.97728079384,44135.340058402435,0.0,0.0,25937.138281270112
4800,198730648025145.2,-774.5155263793575,53435.49343187839,45065.5855653089,0.0,0.0,26372.141991247016
4900,198730648014229.12,757.0671357494567,53858.88026779392,45350.33966707014,0.0,0.0,26068.545781762183
5000,198730648007371.88,563.0709117964079,53706.750288164694,45403.33267163032,0.0,0.0,27449.802459479874
