milliseconds,Ligand_EGF,Surface_Receptor_External,Receptor_Ligand_Complex,Internalised_receptors,Receptor_Ligand_Pit_Protein_complex,Free_pit_proteins,Internalised_Ligand
0,198730648277289.6,72014.42334554867,198.61884852251887,25679.303719691514,0.0,0.0,204.77157064505408
100,198730648200349.9,-287.26008874600467,74069.62506604698,24595.081376440543,0.0,0.0,58.04795797728457
200,198730648193840.97,-868.1188126439168,72816.4657921422,24733.991759219203,0.0,0.0,741.7061236419685
300,198730648189580.3,-284.86546106709744,72537.47576553359,24609.04571080077,0.0,0.0,543.2077003485197
400,198730648184899.22,-103.66419716876321,72446.01742022824,24720.485055443307,0.0,0.0,468.70354664662443
500,198730648191158.2,721.8973158232626,73481.11620591478,25254.7999592337,0.0,0.0,467.21044426169374
600,198730648178573.03,880.545533157378,72723.36120926487,25876.412956397657,0.0,0.0,574.77446894728
700,198730648171797.9,-903.0881305601514,72448.36756397497,25769.88696446933,0.0,0.0,2429.675166732448
800,198730648172368.34,-3.0960858674740206,72744.57443620886,26508.742233474495,0.0,0.0,2488.978270036578
900,198730648165122.8,383.36854485337483,72018.90982398494,25833.02094058742,0.0,0.0,3261.8138512492314
1000,198730648158807.34,-59.63658662082303,70855.04524987472,27233.647342053715,0.0,0.0,2168.4717470378123
1100,198730648159547.9,495.56672684481583,71605.05030589052,27535.26558586048,0.0,0.0,2629.617303171354
1200,198730648157574.34,-550.5446691001314,70325.55945477224,27547.83579902071,0.0,0.0,4742.87593452129
1300,198730648153148.7,-493.14741780113843,69839.41851073095,27601.969713673563,0.0,0.0,3506.66932059075
1400,198730648153561.34,-2.766420017744491,70635.12764571379,27813.518297522714,0.0,0.0,5618.465185288397
1500,198730648143844.22,884.7431568412104,68846.17013621394,28394.33033454938,0.0,0.0,5078.1798780462495
1600,198730648144784.75,556.3489115375556,69259.40275161972,29159.72251264621,0.0,0.0,5524.417482547313
1700,198730648140402.5,69.9845539572649,67619.30247576817,29672.56011912093,0.0,0.0,7209.244758954278
1800,198730648129399.0,-494.69301861195845,67938.01687946325,29481.857631917,0.0,0.0,7477.254103849029
1900,198730648121732.16,-1016.0681299286457,67844.4039734522,30076.142111945963,0.0,0.0,8393.240936749275
2000,198730648123486.34,-649.5597707037496,67119.7675599331,31359.384059525262,0.0,0.0,7836.730509619881
2100,198730648122103.75,-258.5484411475349,67462.15571035793,31679.835784711355,0.0,0.0,8720.973429713216
2200,198730648113499.25,-103.11901311050566,65679.14345223593,31441.546334666207,0.0,0.0,9947.073535014173
2300,198730648111996.53,-443.5301499132392,65860.36697991281,31551.590835339943,0.0,0.0,9620.321323098195
2400,198730648107440.7,-254.35217724279534,66069.61361461053,33061.24634288781,0.0,0.0,11408.844527963365
2500,198730648103590.28,145.64851373544064,65104.437809148854,32999.58720639623,0.0,0.0,11453.080991498431
2600,198730648101391.06,-236.3272365181296,64925.46881575122,33600.039695073974,0.0,0.0,12078.338900661496
2700,198730648096568.06,443.19739434700875,63118.12075327837,34187.00663080075,0.0,0.0,12988.06856491466
2800,198730648092950.34,549.4066981198787,63021.93739565036,34416.45697132446,0.0,0.0,13896.575552199707
2900,198730648090742.03,939.1010258018067,63142.54205640775,34578.69602401748,0.0,0.0,14651.438998003548
3000,198730648088030.16,-962.4075324850976,62322.53050657797,35222.79258576296,0.0,0.0,13849.975859618176
3100,198730648078550.6,463.7910362674201,62806.069025076504,36238.09639294823,0.0,0.0,15295.159602847785
3200,198730648074441.94,107.28828609628731,62333.125766963894,36158.67841777251,0.0,0.0,16664.59531813973
3300,198730648071039.94,877.1822360653442,61149.77473353357,37579.83647573964,0.0,0.0,16533.225678804632
3400,198730648069300.34,-1018.1271944106309,59357.45542699435,37584.83951518152,0.0,0.0,17179.38560322876
3500,198730648066950.2,281.4872834034893,60449.994657262876,38287.57255916559,0.0,0.0,18328.922718243466
3600,198730648056190.4,816.528363988186,60337.94582027068,38699.891925524425,0.0,0.0,19031.105047161695
3700,198730648062623.97,307.10332491828825,59912.19902857659,39105.28141931058,0.0,0.0,19097.1599436075
3800,198730648050294.03,-628.9872509691086,59052.86106706137,39247.16627845797,0.0,0.0,20490.938552008465
3900,198730648049820.28,906.4484455063557,57278.38124110034,40049.814348212334,0.0,0.0,20247.52693344926
4000,198730648050091.94,651.9110751769852,56590.4692071879,40809.526345885424,0.0,0.0,20512.04355233613
4100,198730648039823.5,-40.09874424246475,57470.975761223315,40660.758096732265,0.0,0.0,21572.801501291535
4200,198730648040820.12,435.66206568463815,57423.81661341332,42070.657257017854,0.0,0.0,22975.10183089447
4300,198730648034104.4,-926.0054278221694,56055.63027810794,42154.47088570242,0.0,0.0,22362.85390532718
4400,198730648035294.6,-198.62519044029642,54715.11453195316,43106.42605559074,0.0,0.0,24077.874070181384
4500,198730648027720.8,723.6850499454896,55706.93439588112,43377.702441658956,0.0,0.0,23925.634405446308
4600,198730648030378.97,784.6350882893653,53745.788224811906,44079.97874240034,0.0,0.0,24980.011412315147
4700,198730648021947.25,-161.77856151772943,54357.20483856515,44545.51155656869,0.0,0.0,26244.358634976623
4800,198730648016800.1,912.8316914251056,52634.2344454991,44131.402817966766,0.0,0.0,25785.427068119418
4900,198730648010940.8,926.9715816661756,52484.1430376398,45270.67952520062,0.0,0.0,26173.470548180467
5000,198730648013477.4,-996.9345381834872,51750.74599902184,44881.7162985278,0.0,0.0,27163.823233474817
