miliseconds,TGFb_R1_surface,TGFb_R2_surface,TGFb_R1_endo,TGFb_R2_endo,TGFb,TGFb_In,Active_R2,Active_Rec,Active_Rec_endo,Inactive_Rec,pS2_c,S2_c,S4_c,pS2_pS2_S4_c,pS2_pS2_pS2_c,Smad7mRNA,S7,Smad7mRNA1,pS2_n,pS2_pS2_S4_n,pS2_pS2_pS2_n,S2_n,S4_n
0,16.14179878167458,6.942022903912396,18.6864891547787,28.040353261525247,24.999725014029284,0.00039282885710932006,-0.027922479775906162,0.06080387855471053,-0.00335952007270816,-0.0026623244283799285,0.0013927197092853995,637.5978636053209,459.8920549969322,-0.1307653447932861,0.0006839431953124961,0.056420053631813766,12.08167455755718,0.36708225542547185,0.001797711604530247,-0.10278872905923268,0.0018888277144710054,237.36338719769358,169.40513203590578
100,10.101610197067998,0.34593391696100845,18.61910705116548,27.6164427401772,24.99666724940803,-0.00012975893701927023,0.8082623799897708,3.3908518571865653,0.036586305365749285,2.7645522887112817,0.015705327477927238,639.0542920991868,460.6571922139092,-0.36065769462954883,0.001716242677141543,0.05642005357334694,9.382137562901924,0.36708243522584194,0.0027930448505973835,0.12600345031465873,-0.0016292976132084621,237.4828530960405,169.43385604622446
200,9.6271952225104,0.3005819367021794,18.61485109308357,27.398668623437317,24.99612928405544,0.0009944006215843878,0.6972477105971184,2.4486596568627723,0.05064670776745675,4.082613707104752,0.024164001371470182,638.1959942604522,459.8112458171387,-0.21263762886050405,0.0020075864164082143,0.05642005107276467,7.82862927086981,0.3670822952946964,0.004384669918790149,-0.15842902739058262,0.001709975825085393,237.24282530205036,169.4171736003027
300,9.36522383627316,0.34534118177282047,18.470524738590846,26.737314379882466,24.995879646857773,0.0016075306491500462,0.6794090628468006,2.263118736714479,0.08535721761798451,4.868174576599633,0.029800497859761133,637.0036132704403,460.7060402371707,0.7791211820129322,-0.00038037230502412783,0.05642004999487108,7.245904966766877,0.36708243580823996,0.005227446286182278,0.12116773734497949,0.0009418321363414252,237.43755412576107,169.42595481760313
400,9.190234253995003,0.3611979093703075,18.310915873836187,26.393538316574748,24.993943195260062,0.003234875075688939,0.6820658412636168,2.1522310393711996,0.1063114293071622,5.159568556365734,0.03792813817102701,637.1063005346479,460.562422386365,0.2613471253244688,-0.0003286230017774619,0.05642005119419397,6.916978017974445,0.36708256953086393,0.007342415395387947,0.16649201841081085,-3.762682578764728e-05,237.51369300582562,169.4210207662739
500,8.91098730610063,0.33726188965553666,18.146865116874224,26.064626904875933,24.99415953403957,0.003157702718938433,0.6955374374521494,2.176793659153271,0.11997477499375345,5.487242882072718,0.03935397144017366,636.6521415125394,459.45737415634557,0.8600040665867407,0.0008031117440708549,0.05642005226686739,6.602549767456829,0.3670825803314731,0.006623880927156684,0.1655848974507355,-0.0018224342848224345,237.04248073460425,169.41479207820194
600,8.78064183815441,0.34764149109867076,18.03047987244487,25.749113939689458,24.993310275452036,0.004321477528618307,0.7433889166212848,2.3372563987982926,0.12305208065249568,5.672940093143538,0.0426281591077395,636.258108304184,459.494190054154,0.7458133496362993,-0.00040213723875892897,0.05642005119848693,6.337202903373602,0.36708270645647867,0.010280894804342203,0.077598777804213,0.0019820781762506247,237.12419351648117,169.3983636736315
700,8.619352826901626,0.36010096183258455,17.90545033405608,25.327834043680006,24.991814231285804,0.005298160554281437,0.7947845431450213,2.466394240964222,0.13726238611337035,5.801292037302132,0.048925068861591016,636.6818567594393,459.3459619388018,1.4923706238616719,0.0015833363063940792,0.056420049205927664,6.246211125084703,0.3670823020169609,0.011137999832448965,-0.05665825297011745,0.0007045577062324305,237.31379518997238,169.40602392148116
800,8.375241617896883,0.43840239454770397,17.729415502088564,25.236094796376324,24.992182304692935,0.006038842827042903,0.8483033110348713,2.5430444269910466,0.16133149215376688,6.055335347722494,0.05021869418524441,636.4294896869205,459.1875797730761,1.508153207540242,0.0016136345962801928,0.05642005089603451,6.120247682982297,0.3670827064779416,0.017802207680131542,0.28174045731331215,-0.0016602477429634409,236.98733530768595,169.37839312254792
900,8.165283092949533,0.4587150573282216,17.736192014713332,24.819286113715833,24.990960334626045,0.007335321032848664,0.8674620862642959,2.569465209396757,0.17165368398468436,6.146412179882094,0.054965842617594816,635.2003503196574,457.9748867823308,2.2008990623250253,-0.0011179052736632173,0.0564200504179192,5.821335929767802,0.3670829136553445,0.01945823224178795,0.3369694402703343,-7.148105059110902e-05,236.90783866887872,169.38852530993907
1000,8.040649072158127,0.42237098037420373,17.519766881133197,24.333296447926987,24.989913818243465,0.009619543117297137,0.912918593371158,2.674360598704694,0.19668288153040522,6.377732028322089,0.06160183104535423,633.3953602334888,457.5762963915017,1.9600535689582606,0.000722350554052963,0.056420050577213866,5.7252144781954,0.3670828742169442,0.018927678695753042,0.08830602664516896,0.0025906188138642683,236.47263903002116,169.38113987054325
1100,8.01273018978696,0.4698664306076802,17.433887016524267,23.987749071171358,24.98987936088718,0.00904352167726751,0.9475396848241067,2.9268242734108565,0.19886285102397766,6.423598748695442,0.0650126262434575,633.8240229189599,458.02986559472333,2.896680676656176,8.057023664984888e-05,0.05642005230846848,5.547774348446338,0.3670824344237549,0.023001408522106394,0.1338160545780258,-0.0015503556653548656,236.48490573115345,169.37836335861982
