miliseconds,AcCoA,AcP,OAc,HOAc,LacI,Acs,Pta
0,6.235996895818212e-06,0.0028732463978824664,0.0001654359320821956,-8.723488910130077e-08,9.320563610390945e-06,0.00011489348201472426,-0.0787853755419205
100,0.001948941358537844,0.02736795978750308,-0.008610581723985758,2.2315471381613912e-09,-4.269488613372264e-05,0.00020220964679134234,0.2315182339660398
200,0.0009545766857300186,0.07769541103265251,0.024156354371868423,3.162048423549303e-07,1.0670883616036175e-05,-0.0007531023996673844,0.4004120092727736
300,0.000642062622525217,0.12005096329605583,0.03109151902525143,3.648024926072388e-07,-3.441335565772899e-05,-0.0008980334018836271,0.5410823297694085
400,0.0004669240596082203,0.14530669957911854,0.03377607227569125,3.388400511397458e-08,3.321551782185739e-05,0.0007894506108202574,0.7424552809714887
500,0.0003841438473076228,0.20566945688241817,0.04632973626894216,9.059797019466252e-08,2.4660278905700636e-05,-0.0006296649879378265,0.9047564363456203
600,0.0003147700182296431,0.2384313834980085,0.06304452834630266,-1.408240705267623e-07,2.530004130990195e-05,0.00046372077267319906,1.203714265862871
700,0.0002653405933340688,0.2552214566354845,0.06466246923343955,1.6824517043829666e-07,-1.4774002976179244e-05,0.0007859316107895564,1.4072237351088932
800,0.000234219183244335,0.29765258573970543,0.088846324846423,4.466153693745844e-07,1.5749619289748153e-05,0.0005806440545056005,1.5934090498257791
900,0.00021503204090788232,0.3064740413354439,0.1002230399575458,1.2045639736527535e-07,2.091928225374956e-05,0.00043256950568206995,1.7882304320767126
1000,0.0001990842313988789,0.35053468204698374,0.1391803045113969,7.308033239390067e-07,7.760079301290455e-05,0.0013276095759093298,1.8827649946942684
1100,0.0001820412654634137,0.3799012083563459,0.1509850729466082,8.875658583486597e-07,4.212533528485028e-05,0.0020760316188135064,2.2112151159420352
1200,0.0001475242138497398,0.42652807786095936,0.17857597268128228,4.934513339604415e-07,4.24683686163109e-05,0.0006399013779732058,2.3707363203226492
1300,0.00015234850042490931,0.4262238277479725,0.19065947495614008,1.0542298564419787e-06,5.048863337545306e-05,0.0020652225617326745,2.549654056715402
1400,0.00014285836518679944,0.47179853234748786,0.24328582937982607,1.4412885481815624e-06,0.00012654942500605883,0.00315891211672028,2.680070138629864
