milliseconds,H1,H2,M1,M2
0,-1839065.7468461636,0.25812978261782904,-5820.077146129476,-594.9854858366451
100,-4664546.551502251,-0.2782206358331903,2453.5396078674835,631.2509465650908
200,-804885.3073742649,0.2378641089062731,4024.361213242644,492.9745137345805
300,4377482.527238797,-0.401459251842641,-3641.184581022829,-15.22374429650866
400,-3150451.436919421,0.5607635462662527,-7278.811736372463,195.86464216148894
500,720864.4999045883,-0.1581299845147604,-3867.286668516355,637.6675872028336
600,-4526459.456234183,0.34283850280515293,2504.315281637254,-481.2604157096288
700,3845393.2443004055,0.5307543283608257,-5686.3968214786555,-180.02377530805495
800,1746740.6180333705,-0.5867519760038706,8017.2064780711535,-587.9077384469364
900,3697360.654725566,-0.33071110411721355,7529.089972330447,-117.05429923108106
1000,957103.3098546712,-0.5453703810999886,1523.3896940170844,3.434409738191402
1100,30958.90372182174,0.23389209814942818,1216.471963555952,35.28001421834893
1200,1515987.186889269,0.019472921146448455,-8917.341985590258,-440.1935453226477
1300,-2870359.8117566956,-0.26688561121685944,564.3971845440968,378.24750612362135
1400,-122035.81174233354,0.020332912415270677,4109.188390850662,590.6634437549912
1500,-2702688.2746775732,-0.3759625308704816,-6160.820195197545,202.38607792050763
1600,-4651825.589174826,0.18596698562934535,-3164.337317841018,92.31986645533846
1700,-3473171.5444086394,0.43820407499025393,-3415.583429498854,-371.901086420498
1800,910909.2087457484,-0.4425082082816823,4604.124618849226,252.32931092047755
1900,6713578.872038439,-0.46852105266467364,-368.8923661105681,-573.5274188470793
2000,101905057.67678149,-0.5172510116004578,13127.622826137831,305.466093993561
2100,98592116.98580869,-0.30699752447048156,25285.37614470694,601.1914797761411
2200,95330520.28946021,-0.0219116742028062,22453.39313804609,106.24641904747423
2300,100692567.37286182,-0.26144461942957925,34870.92688010187,1062.7314198876898
2400,100952044.82597864,-0.4736102703828676,47794.88822155019,274.81211407690034
2500,101323577.74335963,0.4287520134536259,64817.73008061271,1105.6182186905344
2600,104849281.28529033,0.04699201288014465,63468.58175772556,1463.3472811625152
2700,95748829.12931556,0.6580724495570586,80415.90045652085,1998.8095307753906
2800,99526029.73457985,0.6033227725783814,82032.8325386769,1482.5027591498613
2900,95604608.71416089,0.6795698033723273,89732.68616319711,2524.0589396317987
3000,101437725.67827892,0.6599599472818887,102144.92230630465,2533.70636918955
3100,103081097.46278434,1.4472083771138993,123735.36587200817,3813.6753108321145
3200,96594092.77941279,1.4511499043084617,114256.07851255771,4439.409891095956
3300,97145804.52845564,1.9872078232457826,134305.3218605811,5073.729564683383
3400,103932026.64113323,2.2679773577907882,133368.07374629675,5450.783286565663
3500,102762944.87556346,2.7649127908363798,151412.2984904063,5489.5669411053395
3600,99388612.92484246,4.066530910305988,170662.03551892604,6544.283935177016
3700,98401068.18969233,4.656820759591494,173036.29110583215,7889.268670802194
3800,102933451.10055323,5.103589133549172,179530.62760141992,8133.03756469328
3900,103846216.23962188,5.753052950608936,192020.33366460996,9454.25807244237
4000,100253481.2216048,7.3303581820911266,192896.63152662417,10083.608201105082
4100,100466736.63572104,8.198531149913222,201797.99179457393,11916.164512163316
4200,96279979.24071398,9.638075597023267,210814.15997605034,11633.471711894224
4300,103503064.39193791,10.187312919928619,216746.42844403657,12893.030854097715
4400,99822427.07098833,12.37469374899425,225899.22696176232,14669.517481278104
4500,97462205.88725428,13.375226832152508,233378.45266803057,16064.669637359362
4600,103622414.73347533,14.901332864895947,258829.55051507938,17355.79326662797
4700,99509570.57208389,16.277223832789048,257838.04594572907,19214.33614715083
4800,96093371.63313247,19.091049524178434,272151.3084179906,21795.21888203592
4900,97832607.02584739,21.306789527128473,271829.4604148046,22818.09400228393
5000,99016118.12669708,23.611540461549748,287774.29552496865,25449.94984331945
