miliseconds,Cdk,Anaphase_promoting_complex_Phosphorylated,Securin
0,0.2964762401893881,-0.0005883724497134632,0.34620543614572324
100,0.30883402579821,0.0059817569958677055,0.3626585721856887
200,0.3086801732973454,0.008360166733244556,0.36569339072395324
300,0.3205134433660109,0.010414311857478441,0.38295122025883743
400,0.3246825180815587,0.011917947800626253,0.3823072995905186
500,0.3300090070526161,0.013479270986666845,0.39639580032196514
600,0.3347844840051085,0.01440258418525504,0.4036433520587421
700,0.33731097433026574,0.01647592494578351,0.410157612928866
800,0.3417539188836066,0.01730586663455548,0.42747215202417954
900,0.35438843540758996,0.016852140442214822,0.43153011224661136
1000,0.3577023314066598,0.019348691664521033,0.43696049403505366
1100,0.3624743107841837,0.020153623860980137,0.45157475620663823
1200,0.3685680729965987,0.020043781820757625,0.45719395284258973
1300,0.3732570367167577,0.01979922840738074,0.4676539487909625
1400,0.3814776778093462,0.02199327294004192,0.472393039874379
1500,0.38751604033333464,0.021905260325661025,0.48321152275588164
1600,0.3866769167565858,0.02272317323338852,0.49661374436469374
1700,0.3945090972552584,0.025123221147099247,0.5064808669995059
1800,0.4017822553654517,0.026817086749237974,0.5140417562004879
1900,0.40926881407715954,0.027449461313400373,0.5138313972659181
2000,0.41269455491065415,0.02782299828501032,0.5229191094456987
2100,0.4209656725997248,0.029315081042799368,0.533063946512888
2200,0.42135980371036835,0.03091690754349057,0.5474041267549838
2300,0.42622511809552194,0.032485112425958286,0.5581767297720002
2400,0.43658083454821034,0.032352763504459814,0.5600569833579301
2500,0.43542609416514777,0.03348961903790529,0.5662420992397044
2600,0.44322162648669994,0.035275074348501335,0.579841984780451
2700,0.45111300633911255,0.03833318211925483,0.585290765915665
2800,0.4534744167159756,0.03977307333228475,0.5900476616089722
2900,0.46510056309273745,0.04188328260361129,0.6015127799913144
3000,0.4692464703792305,0.04332056836575769,0.6129872888950818
3100,0.47453424218342444,0.04344163608449721,0.6226248563693941
3200,0.478018127575777,0.04483967176164476,0.6254727014946819
3300,0.48392888179620686,0.047720076478019235,0.6303921702899061
3400,0.4919825016135764,0.049997409362518494,0.6438631789375026
3500,0.4900448403415227,0.05143900769833865,0.6448015512891648
3600,0.49988567479093904,0.05340971820696916,0.6498695924912381
3700,0.5055998737906137,0.05568768130816329,0.6579163901590377
3800,0.5067699370251718,0.058830071875236235,0.6735733587022755
3900,0.515658695982003,0.060742877075592255,0.6795794642537629
4000,0.5196435503828004,0.06318725703088804,0.68266807332909
4100,0.5222032560081817,0.0663702650290015,0.696327625680242
4200,0.534254230338478,0.06863923324714559,0.699146743922817
4300,0.5392161347653269,0.07037396199347695,0.7000811132786388
4400,0.5418208816654444,0.07297451932650204,0.710743981467191
4500,0.5490930208602858,0.07733716602744269,0.7217369776936253
4600,0.555094739882103,0.07877573299968159,0.7276584760200616
4700,0.5560657688179388,0.08326003359465592,0.7306131049244204
4800,0.5618593688375791,0.08715942971824688,0.7412550985968942
4900,0.5650037398267578,0.09064279462781222,0.7373236201857711
5000,0.5721374730823487,0.09357238048978529,0.7469334985963826
