miliseconds,UnInfected_Tumour_Cells_Xu,Infected_Tumour_Cells_Xi,Virus_Xv,Effector_Cytotoxic_CD8_TCells__Xe,M1_Macrophage_Xm1,M2_Macrophage_Xm2
0,397707.1566978675,0.0,0.0,1.3428749008152059,-0.07975075559571478,-0.003080765630968754
100,599700.6537508406,0.0,0.0,-0.3706993373161821,-0.3459683748225256,-0.007156001046515422
200,573505.796427119,0.0,0.0,-0.26679713224147383,0.5970634435955173,0.014059852570111352
300,567363.5614755517,0.0,0.0,0.39923685890205884,0.9315289789474902,0.0001480278991933476
400,770167.1576055039,0.0,0.0,-0.7567658233552715,1.107700169581663,-0.0008488757778669972
500,880440.5495734964,0.0,0.0,0.24273251014680566,1.057998456756768,0.007856083212429105
600,896840.3640159335,0.0,0.0,1.4636377233396205,1.4173822102555147,0.007967056877960151
700,928389.532675515,0.0,0.0,1.8919166129142542,2.0056168827761063,0.029700676610525445
800,923563.3248468614,0.0,0.0,0.6989653667253313,1.418081655145534,0.011493395099686788
900,953912.4921530325,0.0,0.0,1.1655888231008977,2.3906758905197734,0.04002951280380296
1000,1195924.6016240064,0.0,0.0,1.699431475765357,2.788868289634932,0.039810993834154956
1100,1215430.6216596079,0.0,0.0,2.6743132814204054,2.727493600229437,0.03607464020762437
1200,1173283.612389404,0.0,0.0,3.655490335701113,2.6441587739879577,0.030490772512605405
1300,1218959.9808849834,0.0,0.0,3.72116445113919,2.9522481553102202,0.043716797951607815
1400,1355999.4304081034,0.0,0.0,4.691954494117972,4.555381511152672,0.05952204664297837
1500,1529370.4650288834,0.0,0.0,3.3849110285444644,3.718581309856614,0.053092000674307235
1600,1561885.1534617092,0.0,0.0,5.159810209982632,4.231609419680174,0.0711386803226213
1700,1561360.0016475841,0.0,0.0,5.435004781099543,4.972769673210664,0.06404401554799372
1800,1655187.105361874,0.0,0.0,8.173747472630595,5.619176522604487,0.09804343232891952
1900,1837444.0611248622,0.0,0.0,9.046959425521333,6.993193425764449,0.08750579761853991
2000,1957432.6144032239,0.0,0.0,8.09642292671802,7.265773506993245,0.10675375389887669
2100,2069386.0003076566,0.0,0.0,9.788470124638135,7.880873570367426,0.12408164664226737
2200,2131891.991640071,0.0,0.0,11.528270473201978,8.390062522099639,0.11690534082057738
2300,2173639.615045732,0.0,0.0,13.8059196964162,9.06308610770365,0.1488603122823042
2400,2490262.9420142677,0.0,0.0,14.597177741811802,8.94848898962502,0.14744058162290657
2500,2593389.4457768495,0.0,0.0,15.704360538523188,10.268374793853136,0.17528105318523776
2600,2599061.2496296396,0.0,0.0,16.76887372303691,11.674643257343083,0.16761231644012617
2700,2703684.8124903836,0.0,0.0,19.008881958136065,11.551174121748236,0.2053225378142627
2800,3004786.5039798124,0.0,0.0,19.976513534449225,13.482782600869308,0.196793082295613
2900,3141261.737535478,0.0,0.0,21.19863542740704,13.240682702063099,0.21972003768632925
3000,3318920.866476585,0.0,0.0,25.537229832556132,14.580969340970867,0.23623313289548376
3100,3380844.5414284146,0.0,0.0,27.256696022378282,16.070230700633555,0.2638185079416552
3200,3542901.311084673,0.0,0.0,29.08720117917911,16.81494429294012,0.27017318991346406
3300,3776595.2336789346,0.0,0.0,32.03700078882881,18.322856776707546,0.31824570066554797
3400,3844661.1460925224,0.0,0.0,33.64966533127088,19.125500490757315,0.3214660163611528
3500,4081268.9594948697,0.0,0.0,36.5603591875531,20.090715311487536,0.34851728730183107
3600,4401458.36279645,0.0,0.0,38.902492775756734,21.89757970441844,0.38182300288215204
3700,4564699.374049321,0.0,0.0,43.398173853886945,22.598068111645002,0.3993544422316565
3800,4725654.77867118,0.0,0.0,46.6678731590164,24.704234718644603,0.44719552338828233
3900,4990176.828553574,0.0,0.0,50.26476215852931,25.914626488267462,0.46816145937538967
4000,5388340.3354404215,0.0,0.0,51.992415579267856,27.33692435053567,0.5157239805075944
4100,5487809.404074116,0.0,0.0,55.609360028230384,29.51225702988513,0.5554404686397615
4200,5770285.090770685,0.0,0.0,60.651183646647276,31.633669999681192,0.5781957126531506
4300,6171878.080103744,0.0,0.0,65.02625959891326,33.55904985052905,0.6417050673607713
4400,6427262.797740858,0.0,0.0,67.6040286109285,35.19610749634867,0.6886749249384093
4500,6740172.025055702,0.0,0.0,73.02513501112148,37.06038996820234,0.7182235081213397
4600,7182988.533222735,0.0,0.0,77.71452132218215,39.69718470138639,0.7783939150283007
4700,7601723.684259886,0.0,0.0,83.2282703533896,41.89158931545629,0.8375601458477375
4800,7782761.537130654,0.0,0.0,88.21174146748096,44.25234705031699,0.9132257895497088
4900,8144069.19804508,0.0,0.0,92.80493931998285,46.15422202454642,0.9721112062199584
5000,8742269.297805097,0.0,0.0,100.59013974372697,48.06538501193588,1.0474273792644544
