milliseconds,x1,x2,ppERKn,DUSP,pRSKn,cFOSp,cFOS,pcFOS,cFOSm
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0349328582852863,0.0006122232791422445,0.008271178318959157,0.0003522129118038648,3.506793109950651e-05,1.1922867418077516e-08,3.997775738643134e-13,1.627646124282619e-17,9.681265111198293e-11
200,0.06874617107695054,0.0012243168637019563,0.018278010625707573,0.0016820880070214823,0.00016666510527679418,3.4005464900728825e-07,5.16826143721672e-11,8.675152326404493e-15,5.914735745091309e-09
300,0.1014758181219599,0.0018362807811538883,0.027958333300065533,0.003996727118499055,0.00039404046355605727,2.1553664184440427e-06,7.814214442719579e-10,2.979628900420318e-13,5.808995548247098e-08
400,0.1331565292750963,0.0024481150589669774,0.03730153048437335,0.007262514098272438,0.0007124314394902022,7.670607161514604e-06,5.116845628532125e-09,3.4704708075074697e-12,2.8118459487312857e-07
500,0.16382192135170087,0.0030598197246043375,0.04631130471195693,0.01144591609043626,0.0011171547734578908,2.0097033520393456e-05,2.1445934294989882e-08,2.2636537734572363e-11,9.342061558849687e-07
600,0.19350453379935798,0.003671394805523269,0.054992091748428513,0.01651380818033205,0.0016036374268396747,4.353982484420404e-05,6.810778422033963e-08,1.0287319194534153e-10,2.4568187223292255e-06
700,0.22223586322486932,0.004282840329175253,0.06334873048913237,0.02243352911932229,0.002167420471071087,8.286630545646778e-05,1.79004423415408e-07,3.6528872501535283e-10,5.509202157563712e-06
800,0.2500463968157435,0.004894156323005953,0.07138651334282613,0.029172925259224027,0.002804161749247448,0.00014356299946660214,4.1008487799175497e-07,1.0841742996902197e-09,1.1004710433900307e-05
900,0.2769656446895643,0.005505342814455221,0.07911113110570518,0.036700392490550536,0.003509638299412144,0.00023159010685929192,8.464490847019516e-07,2.8080475271930544e-09,2.013505220249817e-05
