miliseconds,VENUS
0,0.9999447296381485
100,0.9973896508776056
200,0.9946441781009725
300,0.9923261637814212
400,0.9897346105029681
500,0.9883657201105066
600,0.9863253294426488
700,0.9842179150722618
800,0.9839436609144451
900,0.9814284143652404
1000,0.9780760056768235
1100,0.977542073798222
1200,0.9754844668351267
1300,0.970466379072695
1400,0.9697860577102697
1500,0.9664161726207618
1600,0.9641165861165548
1700,0.9646507864204513
1800,0.9624842424536311
1900,0.9592031623502811
2000,0.9565964335397598
2100,0.9544289201528458
2200,0.9536375842845847
2300,0.950404936948477
2400,0.9482295822224114
2500,0.9471217735604364
2600,0.9448029902271341
2700,0.9433651366790619
2800,0.9393325404439731
2900,0.938476678766254
3000,0.9367657207605791
3100,0.9336072248375014
3200,0.9331450984549129
3300,0.9292157960325295
3400,0.9286751859945025
3500,0.9269710515502914
3600,0.9250582865377239
3700,0.9210963717270322
3800,0.9206818219291638
3900,0.9174905979913568
4000,0.9155591984888757
4100,0.9124847353016546
4200,0.9116569654012449
4300,0.9094079165020784
4400,0.90809624593418
4500,0.9057217805668029
4600,0.9049309469534679
4700,0.9015809684653884
4800,0.8998990124174759
4900,0.8971118368595914
5000,0.8957052354460839
