milliseconds,Ca_Cyt,IP3_Cyt,Ca_ER,S2a,S4,Oc,O_o,S2,Orai1,h
0,0.0011969254138017155,0.0035435652625235995,0.05975000131834449,0.05874139783629847,0.0012867617143175302,-3.161192509151738e-06,9.189468773432711e-07,0.5400307888470146,0.001012671245101576,0.005968343302060832
100,0.0015931361928799674,0.003090713838737655,0.048172424440509794,0.17270776835538132,0.015646566980563215,1.620625450767296e-05,-6.720455920810639e-07,0.4257985524199301,0.0009423229910393859,0.030042065447894842
200,-0.0007681877406534316,0.0019123273921321366,0.019985831394484798,0.2156688146667874,0.03911500658892097,2.9726145462654976e-05,1.3925780247798242e-06,0.3865924744489178,0.0008611591055479644,0.030091871120224583
300,0.0019056006155657875,-0.00492181330332826,-0.03403208612033355,0.22931579592639434,0.06365798931276138,5.1630336970429105e-05,6.379854786988851e-07,0.3701477424198578,0.0008135961392860816,0.06862550890003986
400,0.0031129061681149633,-0.0006105102895022868,-0.013427034391652009,0.2348382244995807,0.07321554190274934,5.968500745195654e-05,2.3823715369974075e-06,0.36328374834651267,0.000724519823479813,0.06093208953821688
500,0.0037200746717392045,-0.005301062329951607,0.013940481925637998,0.24112562185356892,0.08886056539055803,7.785457504410835e-05,4.444077158699946e-06,0.35992744405478166,0.0006884814510548393,0.07919329504244565
600,0.004897364752344756,-0.006320796058124731,-0.002740090181811076,0.2373073357990214,0.0990644757292818,9.028488395003122e-05,4.407463680271284e-06,0.35798092995527603,0.0005992016247660667,0.1261344575401873
700,0.00832909823744821,0.007220616594297354,-0.03125475809672314,0.23868728730135905,0.12207667562973194,0.0001000757673349255,7.10128512404823e-06,0.3575553270341427,0.0005630324313031362,0.1228324557752652
800,0.010211025066840263,0.0003449574801612181,-0.0005457461587310146,0.23840637182403013,0.1349562017128166,0.00011339055745142372,8.469476987004225e-06,0.3596710917543204,0.0005254239054013479,0.15632107890492686
900,0.01345888020339429,-0.00010748285286559618,0.023229942486399577,0.24040243285556498,0.1394810393816086,0.0001207373983755756,9.589810282631698e-06,0.3587028964810112,0.0004984836541912104,0.16255952233879473
1000,0.014463146116943324,0.0028154910388811074,0.0645240373830159,0.23868198542195004,0.15260080067296297,0.00012721401792937815,1.2964094898557606e-05,0.3585055982145489,0.00041106142328432334,0.17477383964088974
1100,0.016374605328523043,0.00510831013117893,0.0644748606669551,0.23993390649825902,0.16300292809950115,0.0001397245461301607,1.2879714969232747e-05,0.361648861774988,0.000386111792112666,0.18508376530454348
1200,0.021457747382206505,0.00836857567002703,-0.02956932337212876,0.2394224484342844,0.16186913831138383,0.00015222875527999495,1.4540108960141868e-05,0.35960952445439226,0.0003555725735320938,0.22711357547002273
1300,0.022534374673730248,0.000942705164110034,-0.016953427698753146,0.24157619607358846,0.1733170051453994,0.0001590186049031245,1.568364897502019e-05,0.3597411732262376,0.00033979952746393505,0.21363306874174312
1400,0.02872020880349781,0.0057234026353832415,0.10328973585038359,0.24142853554426946,0.18320800356550565,0.00016163647243505456,1.793446259714264e-05,0.3613773549937574,0.0002800990644793848,0.22844498902066834
1500,0.03109972165523286,0.006285194194168224,0.06452053676678914,0.2392793610450487,0.19489141695048443,0.00016848174421584062,1.940249992756186e-05,0.35933754233526144,0.00027228360545820143,0.26300678652034365
1600,0.03203604960450472,0.007646208597300547,0.0732188796143946,0.2406993075977916,0.19547801688819522,0.00018146623930721266,2.0965578383113488e-05,0.3581074635504147,0.00019957799294718513,0.28501333121128986
