miliseconds,TGFb_R1_surface,TGFb_R2_surface,TGFb_R1_endo,TGFb_R2_endo,TGFb,TGFb_In,Active_R2,Active_Rec,Active_Rec_endo,Inactive_Rec,pS2_c,S2_c,S4_c,pS2_pS2_S4_c,pS2_pS2_pS2_c,Smad7mRNA,S7,Smad7mRNA1,pS2_n,pS2_pS2_S4_n,pS2_pS2_pS2_n,S2_n,S4_n
0,16.057107132449065,6.916771262381354,18.754295801052557,27.881086791855967,24.99972182875979,-0.0007004144809533959,0.007961573728879979,-0.0033528663747554896,-0.009799279817662671,0.07999039803159363,0.0003837201968690521,639.6661564246496,460.23691129201484,0.5143400809426943,-0.001560709331618663,0.05642004905139143,12.088451339098954,0.36708281234618256,0.0021657120484013946,0.012540427469610609,-0.00047380036051990307,237.319967891379,169.43099803717783
100,10.15183142218139,0.33817776768552293,18.62451947145436,27.677503270564177,24.996828957925132,0.0011305727276011064,0.8265069441279643,3.296223401880379,0.039179362255012146,2.788343237331213,0.015789352593511767,638.1335324033878,460.2253102184737,-0.32143338345845063,-0.00032776456848688135,0.05642005074092148,9.290201939364419,0.36708267781108067,0.0013926173282141968,0.08833797523140346,1.4361182605244404e-05,237.54101207498215,169.40496507812017
200,9.602659228710468,0.3571022560699706,18.5373980951629,27.357271518605565,24.995240690438408,0.0004574711760813641,0.6634614302370354,2.4810262591904575,0.049805345661554506,4.206107427989484,0.028457369510714477,637.631008876795,460.56367712589815,0.17414699337372214,0.0010768163342909436,0.05642004876921012,7.859752493996789,0.3670823389295399,0.003640108146625174,0.1409024866381407,-0.0014326065939823413,237.30999637092995,169.401602158684
300,9.320744825601105,0.33149010584994903,18.478515721601628,27.02737830617747,24.994632834669787,0.001365110386682088,0.6711400704555047,2.2709896713793905,0.08219047967952134,4.787890845970142,0.032640272780563,637.1865527577108,459.61134404925485,0.5443351471928026,0.0005304285092512387,0.05642004998474536,7.255636009132727,0.36708282033455425,0.002388875078219949,0.047841938763323835,0.002195875532375462,237.04281389948127,169.42625226647237
400,9.104151240872794,0.36351402184892206,18.367386995381356,26.38213374336322,24.994725624586106,0.0024181864252676116,0.6961949381582523,2.222355001290117,0.08617524628563147,5.155117571611353,0.035330285765125376,638.7577504318529,460.1838874365446,0.31931053730814873,0.0018094843613257802,0.056420049312919704,6.862385256680684,0.3670827253718787,0.005013541280460418,0.2157432482057143,0.001604664883178632,237.4864797729848,169.39797933602836
500,8.946006146867195,0.40346524689767005,18.182670158883244,26.250874419912407,24.994329091010997,0.0032396832382931796,0.7245536283934164,2.264987062567601,0.10808789985069213,5.378982111494401,0.04129838587970096,636.4715222722722,460.0384063870716,0.4041927242949311,0.002744693959607405,0.05642005218997548,6.575745736800623,0.3670824976483456,0.009221920291222891,0.014499181514697118,-0.0020734287206589487,237.377516445277,169.41347547643036
600,8.795842145338106,0.400664293265459,17.979068965512973,25.816472102740214,24.99280678068649,0.0050303441991478215,0.7297903822075071,2.2980578482076544,0.12832892607992274,5.687645743980946,0.046051477903339216,636.5380271851816,459.29823351721967,0.6335288159342484,0.0021716666898039826,0.05642005299648013,6.37744559352613,0.3670824084752168,0.011490029839468535,0.08206031588737951,0.002413229688974405,236.9945467864455,169.40063176109598
700,8.583109194553172,0.4286918553127987,17.926926841439524,25.329579168003445,24.99213612909341,0.005453062658394174,0.7886815615089544,2.3805858474283426,0.15098866996423504,5.798707847913564,0.04856262256415664,636.0359504570444,459.15192356928037,1.3333336840414896,0.0015455752916617074,0.05642005178793587,6.135687395362063,0.36708275703395765,0.011797061892157188,0.2557420144024399,-0.0011651688065529389,237.22756438882502,169.4032724790243
800,8.395893250635003,0.45005575067145975,17.813569807553968,24.931057877338773,24.992008984588715,0.00654299318045413,0.8565528872056074,2.4541076884046458,0.15878919243696682,6.085409300205578,0.053298210576882867,634.9829990308381,458.58323625895673,1.7542346877711317,-0.0011367171092956352,0.05642005181488819,6.042715290909078,0.36708254789390987,0.015761102589760913,0.315316111822589,0.0006726123323477005,236.80352798438932,169.40628330917295
900,8.282635146155142,0.45231382062408826,17.710801919696756,24.600889862700722,24.99086198380822,0.007330592750609648,0.9007157721098358,2.6709535545442806,0.1780628484528584,6.125009119935479,0.05436711839718848,635.3345982398623,458.85580262922394,1.790693525335063,0.0021905988652981324,0.056420050276378,5.820168446665135,0.36708240713849655,0.019836948493894127,0.08649322989481315,0.0004422159221482017,237.09424689489364,169.36904391130506
