milliseconds,uninfected_tumor_cells,infected_tumor_cells,virus_specific_CTLs
0,0.009576283338108796,9.969365780175063e-05,0.0
100,0.011658925570497991,9.973979566372797e-05,0.0
200,0.00926547271408094,9.788535754694877e-05,0.0
300,0.011201218091765695,9.739483150485338e-05,0.0
400,0.010530677437028353,9.59632448098299e-05,0.0
500,0.01138984470778457,9.609643940923997e-05,0.0
600,0.011057672101596458,9.435546814986597e-05,0.0
700,0.013516489170697869,9.275200700737524e-05,0.0
800,0.014987540102016923,9.182514172811328e-05,0.0
900,0.014670968099289498,9.245509014176175e-05,0.0
1000,0.015400930234710113,9.195913420868012e-05,0.0
1100,0.016676194887892,9.009269427961956e-05,0.0
1200,0.015957852474535884,9.015227678405038e-05,0.0
1300,0.016052160121284985,8.852844282223287e-05,0.0
1400,0.01822710024720955,8.852081494245887e-05,0.0
1500,0.018780569636520014,8.726174433962924e-05,0.0
1600,0.01995971975769312,8.59258140449102e-05,0.0
1700,0.018030603764705982,8.589251820357904e-05,0.0
1800,0.021578426971814862,8.524066944957254e-05,0.0
1900,0.02235046397357869,8.300113843887525e-05,0.0
2000,0.022987854131470108,8.407847250712368e-05,0.0
2100,0.023908345536050733,8.200927947724532e-05,0.0
2200,0.02470273886079198,8.25172860988581e-05,0.0
2300,0.02536947141404016,8.074553163355577e-05,0.0
2400,0.025659178588712014,7.927583255810132e-05,0.0
2500,0.02595820301521585,7.966801696520117e-05,0.0
2600,0.02990301721354405,7.798313084672233e-05,0.0
2700,0.03083091686941202,7.753287530286367e-05,0.0
2800,0.030112075996158852,7.677910453258012e-05,0.0
2900,0.03006171423468978,7.700050433803524e-05,0.0
3000,0.03146593459460993,7.534258822973776e-05,0.0
3100,0.03558915240095676,7.520075547081865e-05,0.0
3200,0.034287680278017894,7.577582761693374e-05,0.0
3300,0.037500324857433286,7.542323893784293e-05,0.0
3400,0.040370169149421715,7.344132341699336e-05,0.0
3500,0.04006827690656634,7.32612308604547e-05,0.0
3600,0.04124632087430723,7.168860460853874e-05,0.0
3700,0.042167325748121855,7.25221934907506e-05,0.0
3800,0.046149145296971214,7.051400345717228e-05,0.0
3900,0.04759207671184092,7.175404107739843e-05,0.0
4000,0.0498481400188938,7.00117269252757e-05,0.0
4100,0.049585826107820474,7.01139038381085e-05,0.0
4200,0.055152627815115464,6.886399842761171e-05,0.0
4300,0.054443502636447844,6.827698407393158e-05,0.0
4400,0.058593304644467666,6.909752918816722e-05,0.0
4500,0.0588355572162392,6.778544128406227e-05,0.0
4600,0.0627073801895042,6.666462377415834e-05,0.0
4700,0.06693313888434427,6.776907365772426e-05,0.0
4800,0.06737687524190318,6.588290944722276e-05,0.0
4900,0.07154164227972479,6.521937262696032e-05,0.0
5000,0.0747941723649044,6.65728903668627e-05,0.0
