milliseconds,uninfected_tumor_cells,infected_tumor_cells,virus_specific_CTLs
0,0.008753897114645293,0.00010077803549134515,0.0
100,0.011202923207521495,9.968431928857098e-05,0.0
200,0.012245822603945834,9.764390976860562e-05,0.0
300,0.011677568031061295,9.759131105567526e-05,0.0
400,0.01204251764429059,9.664725419393719e-05,0.0
500,0.0116590023264639,9.488763622598771e-05,0.0
600,0.01272742970936699,9.469675286459085e-05,0.0
700,0.01358879984003428,9.380955516542015e-05,0.0
800,0.011994749012007207,9.192335829566121e-05,0.0
900,0.014520546580413829,9.093955075993441e-05,0.0
1000,0.01518632782801002,9.004322452441729e-05,0.0
1100,0.013989008021234404,8.997641545831843e-05,0.0
1200,0.017355706604092327,8.895638786749414e-05,0.0
1300,0.017732905171412638,8.821119851077172e-05,0.0
1400,0.01901145719811498,8.850727042494207e-05,0.0
1500,0.018460653482552835,8.63450383394133e-05,0.0
1600,0.017672394288402213,8.557266922700437e-05,0.0
1700,0.019483480009648474,8.529727980256676e-05,0.0
1800,0.01877392231582122,8.401384136978532e-05,0.0
1900,0.02141408515699939,8.403617232894067e-05,0.0
2000,0.02345706894251147,8.355205277173986e-05,0.0
2100,0.02315362565273976,8.335347462324226e-05,0.0
2200,0.024119544186360056,8.194237688559346e-05,0.0
2300,0.02602953725680226,7.99562601864047e-05,0.0
2400,0.027660989527152964,8.087115649130965e-05,0.0
2500,0.028307652061136824,8.037588242872959e-05,0.0
2600,0.029216405141804222,7.833447559895547e-05,0.0
2700,0.030157593905275254,7.753107105169453e-05,0.0
2800,0.030791541253533578,7.842067221357469e-05,0.0
2900,0.03257113200341857,7.597817898865243e-05,0.0
3000,0.033716252643481444,7.585695029833945e-05,0.0
3100,0.03512315946049152,7.564884889798446e-05,0.0
3200,0.03580449891811481,7.530878519314899e-05,0.0
3300,0.038964769829892526,7.38206662166842e-05,0.0
3400,0.03966721419909104,7.395320722535083e-05,0.0
3500,0.03861780579294529,7.220902867611221e-05,0.0
3600,0.04056722092348116,7.23355773827225e-05,0.0
3700,0.04455853345648627,7.172195850464306e-05,0.0
3800,0.04593919556740339,7.097151848320607e-05,0.0
3900,0.04819351181095678,7.079458818304333e-05,0.0
4000,0.050167919058858756,6.946334459195204e-05,0.0
4100,0.05140193433203837,7.029204606583802e-05,0.0
4200,0.05345975413131396,6.978930499507915e-05,0.0
4300,0.05558414787393718,6.905789257197342e-05,0.0
4400,0.058757294133765986,6.753477137568182e-05,0.0
4500,0.060529882307308165,6.888076046693915e-05,0.0
4600,0.06430500800561635,6.677265124714907e-05,0.0
4700,0.06349508026455211,6.695835990257189e-05,0.0
4800,0.06687228929671175,6.685745449833355e-05,0.0
4900,0.06955022421938636,6.627743695414263e-05,0.0
5000,0.0753462128199929,6.653037077098679e-05,0.0
