milliseconds,Rec,Rec_i,IL13_Rec,p_IL13_Rec,p_IL13_Rec_i,JAK2,pJAK2,SHP1,STAT5,pSTAT5,CD274mRNA
0,1.8,118.598,0.0,0.0,0.0,24.0,0.0,9.4,209.0,0.0,0.0
100,1.7986330154759436,118.5981842012956,0.0011826716918429808,1.1081447580895284e-07,7.171536789524278e-10,23.999586923926994,0.0004130760730099432,9.4,208.99998765789525,1.2342104808983395e-05,3.595494722066176e-09
200,1.7973020124093493,118.59833330784494,0.0023629392069638667,1.718027684704439e-06,2.2199173573435056e-08,23.998397074918707,0.0016029250813019765,9.4,208.99990375581265,9.624418738353265e-05,5.636141484230261e-08
300,1.7960060319938156,118.5984482551185,0.00353712130984745,8.425081298167644e-06,1.6304337067643464e-07,23.9964996822514,0.0035003177486037386,9.4,208.99968328892035,0.0003167110797054996,2.7960037929818867e-07
400,1.794744140972594,118.5985299536589,0.0046994439622572055,2.5778263037502864e-05,6.642897145402296e-07,23.993958042720905,0.006041957279089814,9.4,208.99926783297403,0.0007321670260597976,8.661014035160749e-07
500,1.7935154309577592,118.59857928974526,0.005842373345133751,6.0877031846218405e-05,1.959055386553138e-06,23.990830158893864,0.009169841106136575,9.4,208.9986049753817,0.001395024618354754,2.0728470776059075e-06
600,1.7923190177675175,118.59859712603964,0.006956970738186319,0.00012197523567592021,4.7076507307949045e-06,23.987169356363054,0.012830643636943329,9.4,208.99764780825913,0.0023521917409736006,4.2143439323704526e-06
700,1.7911540407811983,118.59858430221648,0.008033274707894536,0.00021806819162516696,9.81835659236677e-06,23.983024872704803,0.016975127295192877,9.4,208.9963544806762,0.0036455193238684796,7.656506635258427e-06
800,1.7900196623113658,118.59854163557507,0.00906070950175225,0.00035846710490744017,1.84540859625704e-05,23.978442411455262,0.021557588544742906,9.4,208.99468780630406,0.00531219369601671,1.2811026851468634e-05
900,1.788915066992751,118.59846992163594,0.01002851334690031,0.0005523675699737664,3.2025070467724286e-05,23.973464654241074,0.02653534575892166,9.4,208.99261492293812,0.00738507706199195,2.013016902003098e-05
