milliseconds,X_gut,C_p,C_per,C_e,C_t
0,-8.463604906942942e-36,0.04903251179581196,0.07564101691184359,0.05283477835237575,0.06049382546248523
100,-2.6569121213245226e-36,0.048221419115635496,0.0745833805841281,0.05152429115201407,0.05897343082056645
200,2.3332120116339903e-36,0.04779113457685659,0.0750222851732351,0.05145680888547798,0.05746539131146702
300,-2.695326644674526e-36,0.046707491134234724,0.07322716188225165,0.05066249892828167,0.05763611367145747
400,-3.6494237831921284e-36,0.04665192483175285,0.07154213296804411,0.04997341763973034,0.05721064137933708
500,4.926582662301372e-36,0.04619388874563613,0.07135462832214075,0.04982965244629787,0.05551231710870006
600,-4.481326245506369e-36,0.04533606946807406,0.07100140085968984,0.04908987260149675,0.055043204978122394
700,-1.0210881428109625e-35,0.04493735214836454,0.06955654523923822,0.04844381137827222,0.054547721043568295
800,-7.516253193662014e-36,0.04353054036329564,0.06951857310541233,0.04784924369295996,0.05427704241473042
900,-9.60700740617922e-37,0.044213569242268,0.06729292034893135,0.046330563551573875,0.053188145897927024
1000,3.0899690924800073e-37,0.04354877209323029,0.06638403250102361,0.046389260142024484,0.05267624909314342
1100,-5.830579583746192e-37,0.042479645691847534,0.06641129729357213,0.044912953293827385,0.051200248255640395
1200,3.8082328903615316e-36,0.042496578433969374,0.06392717047079062,0.04457957798635738,0.05064439004880289
1300,-5.315750356276859e-36,0.04162833231803356,0.06376599437930852,0.04428020214913762,0.0504595829260896
1400,2.9386050383779437e-36,0.04068545103957434,0.06332094082022638,0.04424484313814872,0.04981941009018522
1500,-9.578537830577227e-36,0.040272544225624124,0.0626816528213983,0.04367600507643307,0.04832521247474877
1600,-3.371754922632155e-36,0.039690751892342335,0.061844289756697396,0.04244511711553406,0.04792128299548744
1700,6.355365257582365e-36,0.03888379118035797,0.06082951371086488,0.04233415644625696,0.04813590719898592
1800,-4.0001565868780556e-36,0.03900931289228497,0.060406447252714365,0.041142505387856305,0.04764285863080347
1900,8.578957646234038e-36,0.0383307521328384,0.0591999725469893,0.04082772545044497,0.04708403031859299
2000,6.329791815639653e-36,0.03722617014764026,0.05877915253890814,0.040585098402642995,0.045677102067701744
2100,-8.89964274162862e-36,0.03662556682813058,0.05799307247004135,0.03919828928830546,0.04513819850719856
2200,-7.293394682995507e-36,0.03695574763196295,0.0558485574101789,0.0392988141157798,0.045180874569120746
2300,-2.051715163398172e-36,0.03653888488183748,0.055261522354918435,0.03890465802104682,0.04389708618020751
2400,9.369845169476668e-36,0.03555152501637775,0.055371711318087706,0.038277749725231895,0.04332900146203126
2500,-1.1240235554196466e-36,0.035080713471608085,0.05526803248752381,0.037392261745573294,0.04256498293175534
2600,-8.776436912732103e-36,0.034245076427626225,0.054078345689827986,0.03717122531829262,0.0421078811288221
2700,6.761034125625508e-36,0.03451218895868152,0.05378257851424367,0.03733613688053591,0.04185408088561281
2800,5.4407654020492055e-36,0.033372051820363534,0.051718483903378715,0.03595912247474077,0.040659659928289425
2900,4.047051602905441e-36,0.034017046736262546,0.05123868441233022,0.036078903103815896,0.04108760052602763
3000,-8.612620970394017e-36,0.03235553805539564,0.05159269706994727,0.03512945455856756,0.04003710384441967
3100,-8.028220071815216e-36,0.032319197285645695,0.04982646994248043,0.03439191665113888,0.04014580578293325
3200,2.1888794912282877e-36,0.03192527632225151,0.05084571383403306,0.03372027328329592,0.03874125573439448
3300,1.3962831641658028e-36,0.03206660699859279,0.04846825397735617,0.03330643338166731,0.03821473231229256
3400,-2.4532466704521668e-36,0.0308309909427945,0.04890829501404813,0.03270232853381265,0.03769579035100574
3500,4.1934255312293867e-36,0.030421627548780392,0.04830022343773699,0.03245762369180956,0.03671372717814732
3600,9.53622744906931e-36,0.030817171280029133,0.04665100525132816,0.0322556819426063,0.03767383258341954
3700,-1.0336861259291454e-36,0.02979583850995078,0.045673723472175284,0.03257040100703557,0.036449732296499046
3800,5.045228217558342e-36,0.029676542699664996,0.04500953804294264,0.031885674354274876,0.03548573919013886
3900,4.661631108262986e-37,0.029729872836592394,0.04619537051727319,0.030880502444296312,0.03577976938597237
4000,6.261533774968013e-36,0.028406218443500525,0.04443956889971459,0.03129857913320148,0.03472359170725392
4100,3.1912521023051816e-36,0.02845937919659541,0.04451274533202664,0.03096907513724621,0.033971580091726655
4200,1.037820159241502e-37,0.027524702508833487,0.043138018498005096,0.0296217204654974,0.034109778922133786
4300,-3.3015288207284134e-36,0.028093239763753917,0.04339966777015325,0.030140100546701677,0.033062058049692256
4400,-9.96650928352926e-36,0.027791114334165708,0.04279107442477602,0.029162878060624533,0.03294283211593243
4500,-7.705395370124979e-36,0.02715970463479066,0.04089112363739915,0.02929118761214275,0.03311420768978179
4600,2.380932107144102e-36,0.026184235210038487,0.041801774546638346,0.027839327915388568,0.03288824509240046
4700,-6.46556336974025e-36,0.026521370644186103,0.0404204615980583,0.02755366410798956,0.0324660912869748
4800,3.19523659801408e-36,0.025701470473659834,0.04098993593073824,0.02826715373670426,0.03157703439484496
4900,-1.3710218232348458e-36,0.02538300993491895,0.04038950924157369,0.02742353997091531,0.03153848629062044
5000,1.0092944124727393e-35,0.02525884709297443,0.038988081219196245,0.027440016324098284,0.03006838098848448
