milliseconds,Tumor_Cell_Population__T,Effector_immune_cell_population__N,Circulating_lymphocyte_population__C,Chemotherapeutic_drug_concentration__M
0,10043336.199108886,296575.7648021697,63634126190.93649,0.450488938479093
100,10054289.653490083,297837.36081619107,60714615490.732796,0.453093611198269
200,10184791.305231553,282245.55788169405,58781895882.262085,0.4550186795255908
300,10209378.728539448,273083.9967822126,57395445299.32418,0.4585148065244338
400,10246042.00179821,268495.78474882967,55455909452.99988,0.4602265635275222
500,10376500.70952065,264776.4864690022,55801914078.43973,0.46226382161404533
600,10358080.905844608,255246.4850773435,53593643663.76268,0.4632672027704814
700,10517738.293412361,249003.7688740958,50554153491.71955,0.46530329102253226
800,10440247.69386382,239578.67391166536,51474830429.94478,0.4675575810550586
900,10502131.311217746,240388.33403035995,48962745377.202034,0.46771432001745505
1000,10584509.551741818,234952.5637298039,48293648244.88211,0.4690083212621664
1100,10731758.474416465,225281.77839489895,46394457186.35278,0.47088457487351437
1200,10753226.681992626,217376.38611330555,45407648123.39884,0.4716975951234975
1300,10781285.010087915,219272.81002039678,42896507112.88096,0.4721357068255203
1400,10925161.652522068,204713.38235592202,41449909627.25194,0.4739143161766168
1500,10896609.532756953,205136.88934682432,41325676206.07002,0.4735162132416515
1600,10943236.720752291,204701.72631012587,40405588131.694084,0.47404787849061675
1700,11012524.931958558,189951.42653972347,38584577927.036095,0.4755559857018024
1800,11175181.789512174,193795.4195777907,38554230003.95722,0.47502358331446487
1900,11217019.313015494,188213.34891203453,38141243934.74125,0.47624112611018127
2000,11169206.074992534,179349.21988098492,35229415381.82085,0.47631083289680964
2100,11199629.46371812,179106.703520265,34410053500.38436,0.47628166852718035
2200,11354667.203854058,168973.87122672328,32960137743.60161,0.4772312193922766
2300,11298918.907437954,162476.70126809934,32299676365.10011,0.4770885250612675
2400,11461454.414244393,161944.99525509478,32358349309.595722,0.47781577753562304
2500,11539937.99796254,164664.92464297774,30298591895.71806,0.4774008511683672
2600,11484626.086018492,159833.40940850487,30020313525.337627,0.4785333890047814
2700,11677968.475796217,150762.78438431554,30371925274.310604,0.4789053736630794
2800,11603298.841478508,152015.9412139542,28617942677.149536,0.47825301868487236
2900,11708601.80713827,143565.51599813084,27038759165.74336,0.4791004013829997
3000,11817278.910336975,141980.63196946992,27160566387.238064,0.4786640317198182
3100,11777160.326336572,134259.68604772352,27819018909.731087,0.47971981339667
3200,11837287.44390837,141526.56696705145,26248127262.329178,0.47907379674842276
3300,11927493.841107044,133935.4905993206,26300912772.114265,0.4789418143590605
3400,12034506.584570665,124307.2343446483,23270931306.28503,0.4787529689666289
3500,12033038.55872827,123514.94988833027,24544898343.854263,0.478807925801521
3600,12184923.431526119,125326.51931718233,22287040623.86424,0.47914766975705375
3700,12159793.672884336,116119.25924859098,22545673264.79808,0.4788681994595196
3800,12159822.966794824,124713.46159813135,20682921208.98914,0.47915204190399974
3900,12267266.45487136,114295.21303664304,21030892214.58892,0.47914978353014115
4000,12351959.250860633,109217.40066358008,20788304836.768204,0.47954990427627814
4100,12377516.485784763,113214.53088161878,19308887663.181755,0.47934070825346964
4200,12527312.19213482,113382.66099458157,18736600875.29129,0.4793961145588359
4300,12545427.5222905,106244.57156784939,20368872200.485424,0.47878738438981017
4400,12605107.85264175,99643.75419674363,17486678627.211426,0.47890729335522625
4500,12635551.594588785,99948.40756900252,18615208354.487988,0.4792933676348718
4600,12632711.61550391,100699.95431687841,17087423022.616354,0.4785824318708208
4700,12832349.475194607,101469.83819369678,16104337944.23634,0.4788937122233468
4800,12739120.960685052,93676.9844755471,18024446141.31048,0.4794298214859349
4900,12926364.83177578,94609.40877811359,17238611010.184998,0.47949614259393225
5000,12910692.058423044,88504.17774534156,15345374076.806583,0.4786583612382004
