milliseconds,Tumor_Cell_Population__T,Effector_immune_cell_population__N,Circulating_lymphocyte_population__C,Chemotherapeutic_drug_concentration__M
0,9981798.47310215,300951.72543348273,61768042503.87856,0.45042533006090635
100,10003493.038775988,294239.5257140564,61929515745.28848,0.4535963941064911
200,10122179.612494014,282501.1988953174,58151602339.28918,0.45503117452052344
300,10257679.488500182,282512.33469095017,57409604719.517845,0.4579173813372921
400,10325613.093167137,273648.8548988888,56150849559.31803,0.460666757495375
500,10383027.098565675,265028.6132545943,55658478014.45694,0.4626131596508808
600,10402899.085870633,252068.76532954627,53267824982.23141,0.46437352347474187
700,10463884.321828509,248194.54451914082,52278784700.686485,0.46511823625521137
800,10538944.683441445,242157.18098919056,50686645820.90119,0.46624033717406044
900,10617329.318303792,243051.26124860143,48663442312.22588,0.46768697068729786
1000,10709479.53659499,237934.7120602841,46547711692.77624,0.4693239946060143
1100,10716944.272230312,230672.60255079603,46588551300.89533,0.4712031513186282
1200,10774064.067466376,218464.12579926924,46155218601.24177,0.4718968081929704
1300,10794633.471882273,210882.86774630795,44611168657.02259,0.4722700108748032
1400,10925889.418471405,215126.0478187455,43018186456.9441,0.4740275200843421
1500,10982095.955074338,200106.81316993872,42077646774.27633,0.4742548306881253
1600,10977189.853741042,199251.6442415969,41270136091.21129,0.47432830406943716
1700,11046876.988088874,197822.48013061733,39910807159.732414,0.475225767644852
1800,11132594.014726818,184885.5066653902,38296377485.4799,0.4750562523989252
1900,11186502.132845964,182939.38507359795,36181486361.778206,0.4768936198520545
2000,11123435.130836077,181690.0598159013,35214158422.9873,0.4760317910417798
2100,11214044.652959105,171035.22485219708,34475089896.101814,0.477125782048976
2200,11370279.753135951,166572.08182564843,34163571521.33727,0.4780571450410335
2300,11344871.770391356,169192.0208166252,34122184145.652767,0.47743549798047263
2400,11431910.83657765,161366.0235771432,31291040837.358753,0.4778731072751829
2500,11465388.42999552,165664.85260670562,30901589895.583202,0.4776000093542928
2600,11601526.849588146,160979.30806837478,29252007655.10099,0.4780313969884697
2700,11616649.780258859,146742.2762099833,30784940363.790737,0.479043471124806
2800,11689665.005430948,144420.01263153722,29923521880.78049,0.4790225990747656
2900,11748214.747028729,142542.56850072579,28856865052.298676,0.4793032068121991
3000,11784376.875924818,147305.9956954496,26408691819.186558,0.47812210042474756
3100,11738473.2450601,132913.33713189536,26129800261.311092,0.47910673730090775
3200,11924524.38455688,139249.0506931325,26838763923.83828,0.47921721211910934
3300,11857233.068827238,138040.95032237787,25060048747.521866,0.47851301098670473
3400,11994424.385995729,124027.62947833151,24715514133.02567,0.4799095276792083
3500,12023392.817611773,132686.56870880642,25204634576.44079,0.47886854245771154
3600,12166662.85702085,128822.46573605969,23831814923.44395,0.4792748950480647
3700,12135112.678383993,126376.35726970532,21751303606.80624,0.47904188455448093
3800,12181647.340151737,113007.83044867433,22607587921.492867,0.47922743910066423
3900,12207510.05530199,119552.77460117314,21102621943.907032,0.4794196875915715
4000,12295704.383105041,111541.62819823857,21340208857.906586,0.4795412277202554
4100,12398680.634965533,116854.269255725,21040392877.50273,0.479518259921881
4200,12530719.617933309,106317.57981977201,19625677512.442223,0.47846681714152806
4300,12480877.094885817,109380.0498885763,18226409394.702465,0.4790281699713739
4400,12493803.88687315,99745.46219103746,19228677490.711647,0.47910993068594887
4500,12679470.137292,104797.79372645858,19688179843.118065,0.47968600933826366
4600,12645750.694153737,98766.34940872021,18730301559.127728,0.47834675025037465
4700,12685079.75825478,94592.88829730487,16459132636.321291,0.47966672659160947
4800,12875974.410482947,99919.81329121755,16737625534.95848,0.47877447140701396
4900,12801222.525129382,89406.87079659895,15619919606.610334,0.4791014226783736
5000,12859814.943157595,93889.27413153106,16187100702.753817,0.4787670367816193
