milliseconds,Tumor_Cell_Population__T,Effector_immune_cell_population__N,Circulating_lymphocyte_population__C,Chemotherapeutic_drug_concentration__M
0,10054794.981156819,300786.78934819496,62871841555.81742,0.4501464686540629
100,10143639.318290912,286660.0780365979,61304994479.30741,0.4533911259903668
200,10140602.709526174,287523.2901058913,58904011283.35527,0.45512778860844144
300,10241999.248703966,274963.8805135604,58810503892.299355,0.4574950889763473
400,10241245.830649283,272372.7820386428,57147266333.31773,0.46059795091375944
500,10410981.005509097,263772.9825662778,55463223805.26526,0.4615619905473448
600,10466356.502239574,258616.401702683,53820852169.90774,0.46370717407187256
700,10389395.649614843,245956.62954251474,52652592461.97128,0.4657438349269663
800,10492310.843398554,238869.20085231285,50156637077.039375,0.467736567830823
900,10532350.130904207,242309.58041485725,49021261389.43137,0.4690739148519828
1000,10589656.392289432,227997.5607746223,46410307637.34113,0.46917724238976155
1100,10614509.465825927,221009.7694147216,46653713437.70915,0.4703713442704526
1200,10750712.902740436,221000.52813361073,45489614039.37055,0.47108246834032913
1300,10795823.035770567,213759.33701993903,44170843468.10369,0.47253722704922135
1400,10799623.707558231,207320.2192795917,41795142282.03089,0.4729931620865896
1500,10947272.54851272,201286.2996209308,40974874146.56689,0.4738811946697092
1600,10973842.218185315,197095.1984115677,40849994832.038155,0.4739327481884257
1700,11104710.789317744,195700.6277415244,39185041251.7085,0.47556307437916123
1800,11030511.77120672,190069.34192879323,37168881693.577225,0.4753380193828461
1900,11139747.04371025,181362.84321476676,37047505516.80452,0.4765239919125202
2000,11263634.419736978,180247.81948550322,36080807456.45691,0.47686542702978585
2100,11221257.484640336,170293.1250056065,33985643683.60968,0.476252927656962
2200,11267247.727603076,169970.46036514526,32905345437.10008,0.4777828573723201
2300,11424219.853595525,170674.42298964618,33820407072.880344,0.47791215874189413
2400,11381900.543528238,164248.65052212204,32778954997.569794,0.4778190462241506
2500,11408642.419231696,163880.60548264624,30122766255.286247,0.47790924345513597
2600,11522817.783108534,160591.46458234548,30276419094.56885,0.4778942339052642
2700,11670738.146106679,149291.06409021758,30049647285.61258,0.4785193546173676
2800,11720486.136712845,150554.07330004944,28346391932.80706,0.47915083301881084
2900,11769589.035227718,143430.59970903187,26883675105.427345,0.47927240045095937
3000,11803559.357211677,139819.6636394701,26452759110.33828,0.4795663347805438
3100,11817407.269020163,135808.43773451328,25797690460.86148,0.47906636344715503
3200,11876920.240700437,133470.12440169122,25265216367.158657,0.4795483651546303
3300,11920030.105682394,134055.48253763103,24665598587.882793,0.47918565943003116
3400,11975153.87770866,129438.82156327425,24323367759.02245,0.4787125698333348
3500,12058871.340196447,130595.17671522792,24508336840.465084,0.479685552118429
3600,12148587.718702203,122520.00745367863,23659997970.902576,0.4785693120107721
3700,12245693.998805298,117296.82362133832,21730106664.777084,0.47956267045551826
3800,12189591.269696305,121178.34382098667,22448847177.958355,0.4785818591171709
3900,12260146.741216937,111066.14787293553,20424660499.81311,0.4787167526197338
4000,12335635.23321853,118907.41691467012,21030323446.580444,0.47860926039551166
4100,12379482.282046339,114823.13297008471,20861945669.97911,0.47870554537236965
4200,12441060.321531413,104838.61300001314,18551959165.615902,0.4795227519326551
4300,12520681.37812431,108422.04518041987,19896779962.29102,0.4790566489700823
4400,12581734.454556296,106729.1373156377,19025602182.35478,0.47905700969838305
4500,12630682.549303636,106694.48803537105,17519155349.613922,0.47842141117986187
4600,12611857.261933427,98205.9126321994,17283838393.378967,0.4783302576469166
4700,12823072.402873913,98321.435999202,16529877351.78529,0.478787084851209
4800,12884598.709447566,92398.09868642688,16121725636.38663,0.47921590290787536
4900,12846173.13459871,91260.91819213955,17131324363.888142,0.4793784119969276
5000,13010087.711972432,91003.52768380872,15995297260.98777,0.47891848453619185
