milliseconds,Tumor_Cell_Population__T,Effector_immune_cell_population__N,Circulating_lymphocyte_population__C,Chemotherapeutic_drug_concentration__M
0,9936838.863126991,302569.08674309397,63794549151.31876,0.4497739977597783
100,10071633.908552906,286899.2684356218,61951944305.86786,0.4531950992792198
200,10110010.210044192,284073.46708825836,58732965529.17423,0.45566074673869206
300,10135007.684690084,283518.1568235622,56520717759.50017,0.45753295540843786
400,10253526.156923754,272353.18952603673,56674792203.38504,0.4598092315322152
500,10291212.986211043,261682.72010732134,53435851467.677956,0.46179357183746544
600,10432600.255112803,254473.20056777025,53050235454.39065,0.46430885049260223
700,10485914.596968466,248962.02031438687,52835843428.840645,0.4661002541162089
800,10447575.18173936,248669.74673931897,49508778170.153404,0.46708888959373246
900,10633752.620164292,236368.2376032436,47801838036.64228,0.4688075505135864
1000,10570954.818634517,229176.42204621437,46730448648.48172,0.47027917388693474
1100,10647533.39163355,224240.6731562744,46170716761.94385,0.47068544550381114
1200,10819380.13680558,216299.90343656976,44267236014.29701,0.47214332420414756
1300,10812876.381420372,209060.22204267248,42495298367.57016,0.4732480597530389
1400,10789442.01480276,204210.78536085534,41495626648.912796,0.4730081531773987
1500,10896927.077993162,201302.8295721614,41599421467.62378,0.47378223376938716
1600,11001078.451152988,201685.76155287705,41337241548.303535,0.4751057877650323
1700,10979839.995245747,194131.66585758288,40114501396.37957,0.47536032490581104
1800,11077135.914311007,194243.5886343039,39031811473.15601,0.4762654386265375
1900,11117580.937755778,181581.2963046871,35767154800.122055,0.4769741967261239
2000,11272160.582017198,184132.29073127382,36060986412.26411,0.4765178185831824
2100,11283426.037554929,178227.5809093109,33618055586.487732,0.4771284977314792
2200,11367906.79589811,177337.48066248043,33840212522.072594,0.4773707909455632
2300,11418186.179223139,165018.8369681201,33787705810.46809,0.4768975421633507
2400,11405535.782612754,162320.70431437282,33534849780.63866,0.4783564775504216
2500,11529684.689009141,157304.43976569956,30853325792.998665,0.47858534004802755
2600,11486546.1288105,151983.27071248926,29986875731.198776,0.47858528721884147
2700,11615619.987864602,151642.2803098101,28544008500.19746,0.47806969999985727
2800,11672169.426453888,154180.10673316993,29813534695.91758,0.47814072731552837
2900,11697236.085626744,150596.23291972227,29234271723.997776,0.4792369446515231
3000,11709974.425939571,138949.51786160338,26562732503.99317,0.4788883542217835
3100,11757497.811173828,140236.5946282236,26784831313.578644,0.4790742647965793
3200,11826931.221627643,134434.1994565855,26532615250.447475,0.4794041952443371
3300,11966762.618900096,128169.063375204,25761235187.03248,0.4796876369030156
3400,11914467.922635093,123812.15271283238,25312403382.737507,0.47863890016987126
3500,12103033.341641793,129140.63688524358,22706543790.07707,0.47899979906649
3600,12168396.930703502,118707.83462111755,21949946084.385303,0.4788457387892392
3700,12124068.411657259,124270.14667521961,23145023797.38491,0.4787655131425149
3800,12254624.63821623,115224.35247037344,22476075179.425606,0.47967512454798455
3900,12215867.213486474,115221.92818840226,20253944044.550156,0.4790665547531385
4000,12403678.859368669,114550.73666301231,20276682015.63322,0.47891347311534405
4100,12443350.19978135,116107.31868743236,19378054846.803467,0.4787574976286633
4200,12518816.215312924,114992.97535836202,19214561298.42157,0.47862607522028205
4300,12434600.115715474,102281.18270878111,19745886884.497272,0.4783830665706069
4400,12627448.010117415,108883.05384906458,19275178468.44779,0.4792847101964806
4500,12571806.691191303,104572.81705485792,16984397209.159035,0.47918091819734226
4600,12727232.48631087,104142.46055733835,19010815267.527668,0.47876880480715156
4700,12834015.08150807,100032.96993108233,17381605531.5471,0.4795859899725793
4800,12842509.722920272,100572.88334467034,16703762323.508549,0.47919346098586246
4900,12943037.257731607,92642.48845090625,17359653833.135536,0.4786022569456409
5000,12931846.536239991,97955.38949923843,14950651421.379356,0.4787948226938849
