milliseconds,Tumor_Cell_Population__T,Effector_immune_cell_population__N,Circulating_lymphocyte_population__C,Chemotherapeutic_drug_concentration__M
0,9920526.940008728,302029.4743998393,61308541180.281555,0.4495512859496732
100,9994104.710924394,292476.1377968631,60323413586.45153,0.4523462643732344
200,10089106.106810357,281780.77104954806,58119959380.8652,0.45524727942707716
300,10172620.0959999,281479.8410447443,56671472902.53993,0.4572397620530035
400,10317967.24113075,274596.7737569936,57295333684.818535,0.4603651056665033
500,10330164.531957984,269398.7931904433,55316546057.981316,0.46190340030665666
600,10383173.922503605,255827.51101493803,52415176395.44967,0.46458455619668537
700,10539853.6528057,251302.836750663,52874048844.3122,0.4661884007408317
800,10547523.427364849,240227.9439727767,50011289871.613045,0.4673243927654638
900,10531023.149117764,234812.2200932831,48850055966.94986,0.4691017306667522
1000,10684761.392030971,232555.13460198173,47564842403.17905,0.468823444134407
1100,10629831.97842016,228561.50599803604,46620665274.19266,0.46990666036217305
1200,10746486.656634308,221721.63864908443,46001987871.9438,0.47231817002441046
1300,10768268.900451878,215369.93493546173,42325201097.5168,0.4725312236394179
1400,10893579.730216473,205154.20894578059,42985755218.306625,0.4725661222246753
1500,10904604.01415011,200473.95635585702,40703549655.16266,0.4734590320546224
1600,11048529.407518184,199596.3417238867,39933035386.35451,0.4740290087963469
1700,11047524.876815038,199072.50619523283,38722504431.78665,0.4755382178575583
1800,11135785.333090665,186230.09340891155,38179023678.575356,0.47525370644806963
1900,11099658.086511642,182965.71013990624,37444168278.57981,0.4756439975296337
2000,11137441.489423469,185278.4072453635,34627794722.79464,0.47620916831061255
2100,11342471.384500504,174213.24489168767,34133177454.160954,0.47636156744115693
2200,11276850.896591533,175689.32706461876,32962187128.445778,0.4775374724661592
2300,11348680.087793505,172011.35782082367,33127447985.30603,0.4778153852298159
2400,11348873.250507396,159201.69135219406,31231091627.13749,0.4773767472341729
2500,11480978.070369957,161087.82647274627,32525643304.025307,0.4787786458786942
2600,11522421.596291851,155084.4099600216,29348369370.02861,0.47904658453840937
2700,11569994.531218728,154135.63379908344,29070071991.53249,0.4787881566291513
2800,11604158.257903561,149417.49665964863,28069023021.150723,0.4781250438860061
2900,11770444.78031158,140723.5764127686,29388494477.989986,0.47899362061481165
3000,11832550.062838197,145521.90200233003,28210931494.874786,0.47960116900856725
3100,11809288.559638845,140500.6506114675,25540858150.986076,0.4787479809283174
3200,11814059.570639119,131953.6253754046,26339072123.875164,0.4797025215045442
3300,12017855.989347981,137987.6098415187,26038530818.38798,0.47914826352957934
3400,11942354.372544827,133862.5865887573,23281640361.656807,0.47973910518643237
3500,12049118.264435902,129114.39099938975,24648232088.57252,0.4793012701155495
3600,12044470.699138653,122391.85805655703,22479874410.805847,0.47947546083449377
3700,12181747.806804147,127310.22943195823,21550676220.000328,0.47914795922802156
3800,12221341.728633927,116221.633934409,23381109696.51876,0.4789983579460692
3900,12232691.281763582,114643.64938105304,21069157153.502293,0.4791197073119841
4000,12377154.25303102,108858.81163579253,22080151653.980286,0.4784326370833315
4100,12348048.410252063,116685.18118983338,20389424746.034214,0.47957504208523805
4200,12452744.841370584,112746.561044836,21018651770.632973,0.4797898016877721
4300,12457818.72122879,111496.3837903851,19783881001.783344,0.4788474119266142
4400,12528078.599555235,107918.42444552432,18913892917.68883,0.4785718355403151
4500,12600634.659693696,99605.485848092,17395871647.75976,0.4791461386876173
4600,12673013.897735167,96846.07361247837,18045693286.976852,0.47838469425792113
4700,12784884.82088165,98036.97934817472,17588416919.17712,0.47915631026532157
4800,12814956.112789914,98270.50956552256,15833334234.30481,0.4795496850088502
4900,12920920.676889868,96420.22661626828,15234218614.645609,0.47938730523561873
5000,12855570.621720534,95032.22487363554,17367072511.574627,0.47829170533669446
