miliseconds,NFAT_Nuc,Act_C_Nuc,NFAT_Pi_Nuc,NFAT_Act_C_Nuc,NFAT_Pi_Act_C_Nuc,Inact_C_Nuc,NFAT_Cyt,Act_C_Cyt,NFAT_Pi_Cyt,NFAT_Act_C_Cyt,NFAT_Pi_Act_C_Cyt,Inact_C_Cyt
0,0.0005192461947335248,-5.2823849198260456e-05,0.00022719600252311582,0.0009544016397706198,2.52538101420625e-06,0.04892704098845505,0.00011020661286609218,2.1899183363671897e-05,0.009429574655846557,7.048524785872065e-06,4.96619767353828e-07,0.009698930094620289
100,0.0005187737073635612,0.003585477453423685,0.00022620464443315954,0.0009541416137400561,3.4096551553185604e-06,0.045968853722541385,0.00011007569793801044,0.0007124426377160232,0.009434686139195755,5.238738997613138e-06,1.2804905664499941e-05,0.009080870363557942
200,0.0005176803715079982,0.006384358687622686,0.00022475540789555087,0.0009643412739841658,4.611457587630932e-06,0.043047501911729784,0.00010967330089843466,0.0012328434198024159,0.009419207313926958,9.777448193643836e-06,2.3389933703293057e-05,0.008519111979464577
300,0.0005120904335300653,0.009082580499870346,0.00022322646083068324,0.000965845057093448,5.931530175865633e-06,0.040253410695975676,0.00010952448946586482,0.0017510257165293712,0.009397751272556269,9.82374565542613e-06,3.0158438537469913e-05,0.007958006663085106
400,0.0005128880344462659,0.011258435793577212,0.00022209123225516036,0.0009779075729822026,6.870292341493432e-06,0.03804378006850747,0.0001093730349685848,0.00210905985872077,0.00938353001614634,1.2231670679162741e-05,4.489848729196588e-05,0.007525755418153639
500,0.0005167472615131215,0.01160378796867307,0.00022205780439612583,0.000989741656855358,6.762780479514609e-06,0.037771169896728504,0.00010950147663083789,0.002159623441544759,0.009365135106178759,1.748376646704877e-05,4.630157518704137e-05,0.007460223387362164
600,0.0005075091381900026,0.011492495232639791,0.00022195239505213386,0.0010010398333151127,6.691425879614494e-06,0.037291678347851305,0.0001092287212160941,0.002262772629832345,0.00934715660109029,2.2717349155968867e-05,5.5708575070835206e-05,0.00731576459755125
700,0.0005181375243205388,0.012048160590742582,0.00022194739861812132,0.0010150763928940916,6.632483913736561e-06,0.03708790197667024,0.00010892741377406232,0.0022754175423944116,0.009327680339449496,2.5563273747424562e-05,6.30039748988846e-05,0.007336595502800799
800,0.0005093437517192155,0.012350652201418405,0.00022182840629602363,0.0010434467396090205,6.628926883056757e-06,0.036588777986450986,0.00010862383208027472,0.002418240364349784,0.009309754633284005,3.409716507062731e-05,7.153548267160811e-05,0.007264432230416355
900,0.0005179287921389195,0.013054933838603736,0.00022165242063695127,0.0010600563631370094,6.526155839879845e-06,0.03655471760042806,0.00010852168688709217,0.002469662875264139,0.009293684532962443,3.5040846932145885e-05,7.403114105173259e-05,0.007162927447222275
1000,0.0005292065191923888,0.012978237015621235,0.0002216725396854263,0.0010706431433495445,6.44802885310621e-06,0.036007224088665774,0.00010821700936190815,0.002444274036950916,0.009272372889908136,4.317738254908115e-05,8.072441423058215e-05,0.007110677998756266
1100,0.0005296894375666439,0.013300936421051686,0.00022163184579338273,0.001080768743478467,6.407804774684781e-06,0.03592981511984889,0.00010812580833374114,0.0025560898796882082,0.009251908208600279,4.62390643706695e-05,8.979405029469528e-05,0.0069709109930058575
1200,0.0005270494651496406,0.013791291505241636,0.00022155631289313946,0.001098731985525294,6.334237881769452e-06,0.035253910328444826,0.00010808521714822,0.0025761559790133414,0.009231811387856502,5.231260178779201e-05,8.981619272046346e-05,0.006951236295386072
1300,0.0005347652036039814,0.013942957096751954,0.00022137077224059515,0.0011270271122560556,6.2043513945537104e-06,0.03502765907233659,0.00010793704066950526,0.002620557678530847,0.009217739739867073,5.4417825831453526e-05,0.00010298782461784225,0.006856773030887925
