miliseconds,A,R,E,G
0,1.0270562465763202,14.40052483517832,-49.31995906241024,100536574.55466922
100,1.6643560590661388,32.38708103933359,82.9278537613286,60810871.78671943
200,2.1828124853995274,50.14456616228251,342.7549465228823,36412233.625813715
300,2.548052550573573,123.02500821332642,572.9518396861852,22240154.367266316
400,2.7512830478047654,159.63877977108373,825.4565767786106,13996213.172114866
500,2.842190499934541,216.73341515053608,1033.0678028982293,8714566.245248208
600,2.798958639804828,279.42964072584726,1286.2805640361642,5597202.1021059975
700,2.752918116894967,319.26263449613907,1596.4479381461895,2763861.9043869954
800,2.7223975642281477,375.8408871754979,1821.9187230018856,2314129.9157441957
900,2.6034132668731655,421.9871838764407,1968.764213778529,1930172.1343179296
1000,2.540611083891653,485.8840677214837,2171.8767927764998,2149522.803676256
1100,2.46356669650596,535.6948631631159,2450.566937930009,2007831.1432527888
1200,2.3412945038692445,577.1600064422518,2529.7851971573245,687603.0475236259
1300,2.251645809725365,605.3881508227448,2729.718153724438,574406.3903731627
1400,2.195452826820089,636.5160371218111,2911.3693404390838,953804.1877715858
1500,2.0773554925722717,681.1931327421979,3028.3826440559533,1195129.695033561
1600,2.0331314664961537,722.7452195624994,3179.6282108933506,768321.7126324733
1700,1.9431121651055265,766.630713423578,3243.5612489237715,1635268.7356993016
1800,1.8861336378576707,774.5775230251033,3344.6100599405945,630144.496618571
1900,1.7976131392075374,804.3775660061119,3484.4097104859757,1952156.0940734195
2000,1.7795785425843433,835.3034041426365,3614.1541926018062,1476351.4596985043
2100,1.699966937600379,855.1516340121627,3609.3826261561303,787832.036612019
2200,1.6769340809636994,876.6743098517799,3751.826996369856,2223935.8627411015
2300,1.5835518698951425,889.4700436717269,3835.6819195107705,1334464.3252676735
2400,1.560369854856593,929.871265552515,3917.6950766131904,998774.5984202311
2500,1.5411704738955374,931.2568948913761,3877.489293284821,1802443.8294397616
2600,1.4899984448932155,952.4024066022708,4007.932202307668,2331170.7847422874
2700,1.4709028852016626,955.6228832314885,3973.3320650877067,1003264.9635428158
2800,1.3966990040794471,992.8795842999897,4011.3460850277484,1112850.2673311217
2900,1.3914691572368045,1000.7211974102013,4139.050307652125,2234501.5896789962
3000,1.3661960146401646,1009.106962911876,4133.795318212448,1983165.9703671243
3100,1.3446319444204582,1001.4358632828529,4206.9128815924605,1244756.4332739385
3200,1.284754668645279,1019.0503819156347,4213.252597371362,1787369.18775655
3300,1.2713412254762892,1022.6667555499346,4281.383040909801,1547058.550990326
3400,1.2548988879710423,1049.26773567887,4253.35052289785,1640906.823197541
3500,1.2573140676046295,1057.892137645354,4223.143617038655,1746546.722849876
3600,1.1956282621878198,1067.2493112406983,4274.414947807553,2066177.1696459628
3700,1.1703631491613857,1052.2098114817431,4240.418245974846,1146635.1017279779
3800,1.1907141276323157,1076.4035427428446,4353.383062250955,1456138.212985451
3900,1.1818587710016644,1078.17037938082,4349.989739866289,997268.0671632275
4000,1.1212117941540019,1072.2832644845214,4249.78896077623,1569953.8462053977
4100,1.1361082508577598,1076.2546970843716,4259.837701893924,1577108.7740849382
4200,1.1085283888721587,1098.194321612079,4282.373938669911,1948811.7680398957
4300,1.1254071098639957,1071.2022516424431,4341.741735295471,2320087.9527793378
4400,1.1105084212931942,1101.8643231955311,4313.743222232875,1078776.121619271
4500,1.0650880651937376,1086.8208924650608,4303.571017957135,1246780.360930279
4600,1.0511096415225851,1100.5918531308657,4363.326766004826,979456.8176391447
4700,1.0364245200773985,1089.436120884319,4286.8881399577285,1498908.6473671435
4800,1.0270755742291209,1081.39575621114,4364.817232413588,1000598.6388602022
4900,1.035785768437016,1086.5954412601268,4348.463498986531,1965695.2455488995
5000,1.0274823861319877,1103.4673822855602,4298.263142721569,2032444.5209171264
