milliseconds,A,R,E,G
0,1.0192500492468624,6.71310908581889,31.081988185985963,99667054.83536467
100,1.7069926047882313,13.667505400802176,157.77303262528136,60262519.593205914
200,2.1875194339906847,60.596621003190606,334.1968909172566,37541652.67921725
300,2.562539987018227,128.1791778084884,597.7147991599996,22532578.176047638
400,2.7431875840976105,162.44310564823107,817.959506346662,13179186.684792133
500,2.8125201282401835,217.103794733177,1081.2081653739601,8075544.417493987
600,2.800880176529757,263.51614413530433,1281.380191113892,4773219.858346707
700,2.7955117260978044,316.60197425785225,1549.8795505816508,3248230.634017598
800,2.7010490036334285,375.6764201910694,1806.337820811815,1600723.591425192
900,2.608709449627392,435.32138004864476,2051.4473458850184,1869017.8421577092
1000,2.5408004158195183,482.15703735505116,2205.3033943500636,1073580.8187745563
1100,2.4125671646748277,531.5687002737129,2386.977988800516,399846.15733519336
1200,2.371317325826973,565.9769411438685,2523.7136476398937,1111045.9693527108
1300,2.248548043992296,616.3497458701186,2755.8828971307466,1503360.5178969428
1400,2.171800378298721,640.6742123780687,2929.262026582459,488332.05773347244
1500,2.0885801874985432,699.8520010557295,2975.148682970896,1183131.1424353023
1600,1.9963129360122778,713.9356388253874,3130.331332125451,754582.1935978773
1700,1.9616110277525327,748.4387952079456,3253.2815989118853,1446057.0236229366
1800,1.8682600741638076,780.2906405737483,3332.074739279146,1641905.824004341
1900,1.8507787769920723,820.1804220489213,3452.0181442392336,1109103.610319606
2000,1.7660245850929706,853.5203185814744,3609.6250476172036,1272435.0771293682
2100,1.6855912412919845,856.6515239247408,3680.90863085922,1844114.981029107
2200,1.6683438658812013,869.942663969165,3727.5161365554695,629870.7985882065
2300,1.603814709001697,888.8604532032393,3830.685585411918,1431987.9404911336
2400,1.5939661138399523,918.9161585380901,3925.8601008531264,1896951.6897337195
2500,1.5003360593101114,947.3830652765297,3934.668880337843,727097.6338806858
2600,1.512713173169642,959.7876657254402,3989.025987571808,2274815.7263120837
2700,1.4477490542299472,985.3502311865465,4073.9044340512773,1303693.0160901959
2800,1.4199595294973795,983.5210823176337,4047.6656721555414,1487473.9880102295
2900,1.410726023375056,1009.9104554790646,4166.242894445674,2010174.6004247032
3000,1.350153492651915,1013.1732366656422,4174.684359070881,2031794.3504228098
3100,1.3321033757507423,1009.8770201854394,4153.49139831092,1288250.0331809528
3200,1.3141789816019567,1010.2263930516987,4198.155084231293,1936584.3055683894
3300,1.2944691186902724,1029.962464394166,4183.315829561308,1747084.4021674013
3400,1.2334191062208282,1055.192261858375,4201.383728491344,1809950.0278705463
3500,1.241725969110893,1033.8783775324243,4299.076658660728,2154412.302760708
3600,1.2348386052306595,1063.6508471687725,4216.439259309955,1525699.17751083
3700,1.1694389066965003,1056.5575194185524,4316.227825516543,1038434.9269897562
3800,1.2002728541416867,1060.7494113228715,4318.699196219414,1683640.3580505769
3900,1.138873843226445,1078.8266995670783,4275.735990388078,1439980.4904706997
4000,1.156385871213798,1071.837956707305,4375.953011014234,2388176.868183149
4100,1.0968078732465132,1063.829746016405,4278.155708535427,1950641.2578771187
4200,1.1006150117796334,1099.0770249595862,4306.8276521338075,1477705.2567903853
4300,1.0797637647530864,1093.6087209920993,4363.203138263101,1291461.0432708757
4400,1.1098820633694684,1089.5350236300699,4300.805705509697,1977234.5209781718
4500,1.0701645757362943,1093.1075545331844,4276.2869550169635,928182.1285627952
4600,1.0314152714145315,1081.480623928642,4264.277099630357,2057282.7249106949
4700,1.0510140139097632,1107.0756324625536,4266.78218751535,1853044.1777196594
4800,1.0472503182066661,1097.5729080939127,4343.38473936513,1113381.4901502973
4900,1.0034142526064356,1107.6680945167425,4318.307619057659,1991773.0061547635
5000,0.9961283006361688,1109.8585136527677,4254.258875779223,2194232.232901646
