miliseconds,A,R,E,G
0,0.9844117336752729,9.116133400608351,55.833697372798156,100184678.38489823
100,1.7177533735945492,11.752931876933562,194.99498563393487,61481328.890491925
200,2.181219246915621,49.76433240640194,319.9156658560051,37058967.018672764
300,2.5578594864136295,126.84616435878621,536.7898053457667,22169280.0746389
400,2.705861537627757,153.4282860603229,850.6142970684749,14271905.93517695
500,2.82019709572481,225.14158702956468,1068.7505956891303,7682318.873598866
600,2.8378869735016,263.7727576580168,1325.3081609388166,4557810.598185219
700,2.804208145132189,335.73805995000566,1518.4148930237702,3600308.6139196674
800,2.6889565934738577,391.31706928629757,1831.8152562662858,2936114.0946573666
900,2.63859574332964,435.2416023678871,1991.2531655605808,1269031.3562924438
1000,2.5248703682378424,482.5490224481611,2259.090186453099,1685959.4645319127
1100,2.4439527791225792,519.3843546964728,2372.568573671796,808535.7427022923
1200,2.354588315834594,559.6540974609959,2587.9644638773266,1760360.2744193766
1300,2.2696356486585407,631.3060591341012,2701.350075250588,508347.53672078054
1400,2.1613655922422823,669.5519061003832,2895.606874909662,1044485.2415376614
1500,2.074878801538417,683.4502681631028,3024.99923431141,847192.5513306856
1600,2.000300452789504,714.7371037459335,3148.786331042071,1640579.9912159033
1700,1.9439180083175813,738.6333066179038,3328.9663118697918,632020.0249918026
1800,1.8553322496017843,772.8319436762939,3371.7898358254233,1312340.5948737436
1900,1.8477314230793216,812.426729535456,3507.728058239355,1965922.8031552543
2000,1.7475560678794755,829.3009072021207,3570.8306034724383,1730890.6389650195
2100,1.7165960152258661,875.2136669227207,3618.9627669391025,2170936.5459206332
2200,1.6634532309905647,894.6029139497526,3800.0730201239185,1152545.90651702
2300,1.6165549412108957,887.3073206057034,3745.724503178917,751579.9420844079
2400,1.571057005806988,932.4801959332912,3872.3546833484074,850791.9529398272
2500,1.5370927597210795,928.1583835556773,3969.513034536255,701563.8406869773
2600,1.4630927680389707,959.7170969805555,4002.8975784842555,1008774.9598065793
2700,1.4347084447962533,963.2294772056513,4039.4628795619274,1047204.614652441
2800,1.4311424901522678,988.1611146672739,4103.963354037867,1208149.0114345017
2900,1.400585374685727,1009.7272025963993,4050.052676942189,1294308.39076469
3000,1.3287459143551859,1009.0972709537206,4145.187147434675,1477058.6739781972
3100,1.325079672799032,1028.9591010297017,4224.99934311433,2340201.0866057766
3200,1.328274277513239,1030.095166531542,4191.717106796076,1376801.9393893683
3300,1.265821123716736,1036.0951607480401,4200.78847563231,980058.003591612
3400,1.2583202243930514,1041.2031280207118,4195.701470131925,2011039.0993840937
3500,1.2369848215348698,1056.8789621186115,4237.95119816885,2430517.566173098
3600,1.2112950422609268,1073.7741901590143,4305.212435905296,2284366.1983880363
3700,1.1802087656131708,1047.5264793488982,4288.277872542001,1567674.5998497056
3800,1.1510716500198308,1061.9310370525693,4347.671377706856,1768921.4697605486
3900,1.1807318039001458,1067.3404029322644,4320.273598500629,1615628.8048647004
4000,1.1673918886958325,1083.0705962619484,4357.773350751868,2101167.935465101
4100,1.11243189129951,1080.9323162575918,4263.508475892334,2021944.8190919578
4200,1.1361993357080777,1069.1838601091922,4314.14547209456,1077370.8815730615
4300,1.0903601725623988,1088.5610033603416,4378.586937600025,992788.4850374915
4400,1.0580540821802893,1073.2773643129126,4385.540677320294,1162530.6964684501
4500,1.0456424425364792,1092.5458804295174,4321.16374940889,1341410.057119112
4600,1.0535243680442772,1090.4303979627414,4386.013394833878,2097760.199331953
4700,1.0307694134027157,1094.6409921543056,4266.107559487702,1969580.6936822787
4800,1.0486137648349387,1092.3617483406058,4349.218089942003,2135797.7997813066
4900,1.0194000693202339,1101.299030821474,4322.817342160618,974412.0397460818
5000,1.0007490037161,1104.1761474371363,4325.890808827474,2545072.947010408
