milliseconds,mwf626e95e_543f_41e4_aad4_c6bf60ab345b,mwbbbce920_e8dd_4320_9386_fc94bfb2fc99,mw810ff751_fa4e_4143_bd50_169b3e325e1e,mw114aa90f_5f5b_4fe8_9406_361c8489b6a1,mw30ae63db_6cd3_4b6f_93ad_3350cd360bcc,mw03db56ac_8dc6_4931_ae82_fef706d2ee3d,mwf345ed7a_0622_403c_b816_c8749a2c9ded,mw1da111f2_a036_4392_8512_015005bdcbb7,mwa2d8dd1c_bb9a_4552_8738_e24671651c1d,mw80848184_e2dd_47ce_86d7_7a21479342bd,mwd2d9d93a_3bd1_4f17_bac1_baba9ef2d55a,mw4638f126_8cb8_4021_ab41_6ae195743ba0,mw10315fa3_6f13_4618_bda8_a8694bd3c374,mw0adf3eb4_a196_4c48_b10d_4e9e9faaf9e1,mw7d86cc23_a1af_44c3_bdb9_71e9b1bb2a83,mw0eb6c959_d408_45a0_a450_928b8c5876bb,mw42054cd7_17af_46da_970c_7f99151906ad,mw39c2e431_fdc3_4964_be29_6ca856620b1b,mw2e464cf3_a09c_4b7c_9f3c_06720016a48e,mw36ea78c1_ed71_4def_96d3_857a442d7195,mw147d30ec_478e_4090_b496_128a131d29eb,mwab41493c_6349_45f1_a226_3030cfed0e06,mw1d9426a3_e1e9_49e0_ad77_eb6833be398a,mwf405687b_7401_44ec_a0d6_4a2b35c13e8a,mw3667a5e1_02c9_44a0_acb4_b0431faa822d,mw7becb5fe_8da8_4285_a821_0d77ad811b62,mw8c9107e6_f51d_442d_b2dc_2bfdbb8482ca,mw824bc3d4_1ac3_4912_9b51_8f14ff1c96b9,mw6cce2109_0e32_4dd9_98ec_41173e8ef07d,mw2b255f94_8018_4b99_bde8_918eeac45446,mw48867e93_f170_44e8_ac7a_185b23e1bf3b,mwd31f52cc_04e7_40e0_885f_c7b2d9e62215,mw2c9b0499_3325_4394_8af3_bbf653a944a0,mwd65b5b39_dc1b_4e77_a999_67277a880e5e,mw6335d5d7_c7b0_4bc0_b883_f7ee4915c2c3,mwf7796221_1fea_4274_a93e_c00adbf5778c,mw5d764bb8_5693_4ac8_9557_f65992cc5eb0,mw2f3d48e0_c9c4_4a0e_aca3_9241eb573296,mwbc2f5464_81e5_43fd_8b39_f5a2756af72f
0,0.0004322535805218765,3.899731827790859,0.08765112135586746,221.06371728094163,4.253547409793922,0.0011005022022961923,8.395361596833846,-0.0011174032059237187,-1.7791931007459944e-26,0.38904700633730643,6.599880572484259e-05,0.0009778324019055515,0.43822771441579034,0.0007381939086416769,1.591847379762034e-05,0.765330237419418,0.7774759647292222,9.222511311788749,6.087776059670212,409.77510244579844,5.59010582140839,0.11621333599813774,-1.2371686624727623e-26,0.00019652978179439943,-1.486139288670365,0.0012994154834321634,0.3748116557668492,8.475444147591816e-05,0.9805410638716456,0.6104978915014374,9.389347991963884,6.063547945187709,0.009279753919343362,5.570343590777337,0.13607771982756445,-0.2771689212790901,0.0038054053861075123,-7.626485405432228e-27,0.015859526017192305
100,0.00042990269121097514,3.9002361596972195,0.08758816421514416,221.06360954785055,4.253836523609138,0.0010853641738417723,696.8401866580874,-0.0006527965728628778,-1.7761383299899163e-26,0.3889237096019299,6.58579904204759e-05,0.000979418092262369,0.43822932626782307,0.0007129723155618033,1.6205778444068535e-05,0.7653283579957343,0.7775523489432312,9.22243062153359,6.086844012479105,409.7752903615156,5.58983800206557,0.11593647304776294,-1.2377789704779684e-26,0.00014684013126915526,-0.8239929578455855,0.0013051995271189348,0.37515734516887983,8.432845684224848e-05,0.9802990143511174,0.6104812573108112,9.389234888555182,6.065254703358938,0.009396036346433163,5.569277499796362,0.13742941359558716,-0.0034829383333522014,-0.0007328017629912227,-7.629673709207493e-27,-0.027375551774618513
200,-5.084895986536936e-06,3.900430212527855,0.0869784599443342,221.06375874687993,4.253181254599154,0.0010828137223978154,696.6187607208424,0.0006233223181298945,-1.7758355192797905e-26,0.38894833842234006,6.513066350070628e-05,0.0009599158251582906,0.4382389791485845,-6.0371591851803325e-06,9.396588454309795e-06,0.7655320748650767,0.7775542682746259,9.222452184266395,6.087357079227057,409.77556490256575,5.589396036106581,0.11691116579868437,-1.2384203642632497e-26,0.000998585625392852,3.2205121821388483,0.0011136384865074555,0.374986577870237,7.595993203954676e-05,0.9804591000023559,0.6104716613037401,9.389511012748251,6.067000163738722,1.5809352992062403e-05,5.571109159940106,0.13414283275137157,-0.16539467754542048,0.014748715334849052,-7.630444276266222e-27,0.051189803786685265
300,-2.14202135024624e-06,3.9000843932816247,0.08740838662162798,221.06371646090312,4.254049567896987,0.0010849433763366104,702.2872468375728,0.0013289839394505952,-1.774594867415719e-26,0.38891388388381365,6.485811938018183e-05,0.0009633308695225711,0.4382531129832147,-1.678202706687249e-06,6.714301500620645e-06,0.7653242914282402,0.777542385267043,9.222404117569909,6.08657868798995,409.7752931084804,5.59034471190432,0.11657239337033264,-1.2400158432536563e-26,0.0012638403836258201,1.8221272416283008,0.0010967700242470791,0.37549398066790485,7.500728423627481e-05,0.9798110315895029,0.6106148067725184,9.38938019051135,6.067797161165458,-5.884015963333368e-05,5.573490727928025,0.13195419994917965,1.6317507698467404,0.01776264788384955,-7.632029248029041e-27,0.03668188336162844
400,6.202400436076497e-06,3.9006506316153535,0.08641646541253759,221.06371349305408,4.253713596549999,0.0010819687526431685,692.2732069916879,0.001804280340713804,-1.77065263991756e-26,0.3890367057569283,6.439204014358709e-05,0.0009534998481489152,0.43826453956407313,3.1102337133073947e-06,6.05313287174863e-06,0.7652697368906333,0.7775345352303298,9.222506773487526,6.08705463596433,409.7751034947439,5.590424198863005,0.11529037407225114,-1.240590243320591e-26,0.0010827504258972879,2.5149368788326854,0.0010804340620375918,0.37557447124921733,7.407895840862787e-05,0.9801936939486963,0.6105531688131174,9.389372219660551,6.069808903946793,-0.0001304642934581887,5.573720729855154,0.1303983722904306,1.604748545835453,0.01975737389798067,-7.631322191212222e-27,0.10333457861888118
500,-2.6392577913423967e-06,3.9007489596423754,0.0866545221197878,221.0637288060575,4.254059023997824,0.0010674349002531994,686.5818570722416,0.0030597989939014584,-1.7689779875282928e-26,0.3890533183993946,6.47606693960626e-05,0.000953279347358856,0.4382861324494564,-1.2423110262122142e-05,5.559103608675362e-06,0.7653983015421586,0.7775266351301274,9.222482281787727,6.0870023999132705,409.77553718575416,5.590394684319236,0.11535914955260834,-1.2418019595926144e-26,0.001528229383282242,4.180797051481078,0.0010670912723363744,0.3753590936870622,7.31765314375142e-05,0.9794146274694081,0.6106968813074889,9.389223390089928,6.0717518274069056,9.232546342125183e-05,5.577132985492063,0.12928898450773454,2.7260686180804026,0.02316040107716119,-7.633484483219046e-27,0.11738433015519495
600,5.9340057393093365e-06,3.9015227506221817,0.08660412257871476,221.0636563348041,4.255516424318754,0.001073243442121474,694.4810284938017,0.004554175472714414,-1.7669162279833057e-26,0.3891117048550616,6.458560568909939e-05,0.0009528121404454475,0.43827634550063493,1.3350541675382741e-05,5.815223151763247e-06,0.7653093621569144,0.7775026705854456,9.222419365302784,6.0878821611431055,409.7754925111169,5.590444238246824,0.11595027712398644,-1.2414698425569362e-26,0.0016738714053619755,6.265750364784993,0.0010730246186772133,0.37557739565760256,7.31971323165208e-05,0.9798597625743083,0.6107659789566054,9.389430237145325,6.07161948645225,-6.844218210813168e-05,5.577979892364879,0.12749327489842532,2.9876617174772355,0.024470093561199644,-7.635212435051264e-27,0.14989151636827053
700,-6.1512384837851475e-06,3.9020378479855764,0.0852954300873553,221.06373879835115,4.255226075717082,0.0010645660932387527,686.0951245761364,0.006922526986572302,-1.7670396932705058e-26,0.3890417430103208,6.423260053986738e-05,0.0009501783277641458,0.4382931642946459,8.661944970926223e-06,5.378977503127518e-06,0.7651888421824603,0.7776057164450352,9.222479358095148,6.0882064839704935,409.7755524526114,5.590632283730386,0.11477747917236439,-1.2426050394063968e-26,0.0019010671539487591,6.790187019256335,0.0010678847436841692,0.37596731536204714,7.193378699670698e-05,0.979637088773409,0.610848000784883,9.38924640678173,6.075729943035091,4.428382106408636e-05,5.578328707328412,0.1263682500347782,4.156386363255337,0.027121787332482748,-7.636342867124294e-27,0.14023040491942046
800,-3.977789425656512e-07,3.9020520268817416,0.0842946600097966,221.0636572593257,4.256600409532357,0.0010447361382991674,688.6598839436226,0.0073304776803948014,-1.764442909214633e-26,0.38905363677005944,6.390601059691445e-05,0.0009441023304667145,0.4382936232201843,-9.569969898504034e-07,5.658233123241197e-06,0.7653941102055498,0.7775278046666606,9.22239657699396,6.088591872613207,409.7754217573387,5.591281216319386,0.11481917178865042,-1.2429221418504782e-26,0.002285173846017152,8.466883458308523,0.0010366976281220134,0.37575636413242014,7.178704486928787e-05,0.9793801402280712,0.6107223524201425,9.389275834723625,6.075199782876407,0.0001304091961781933,5.581183055253355,0.12665357208244707,5.7825882866247875,0.032295687497360046,-7.636593812982359e-27,0.1945509127341325
900,7.6500686107624e-06,3.902376738324342,0.08392073646464396,221.06369465703378,4.256819974671319,0.0010452153473631456,683.4836004066526,0.008356183693968764,-1.763768401925121e-26,0.3890866493408472,6.375407988674777e-05,0.0009524000873576334,0.43831640295587493,9.350089796923409e-06,5.508797833543484e-06,0.7652693443744956,0.7776263350572682,9.222425055723413,6.089380083384599,409.7752148200755,5.591013933092676,0.11531651884912503,-1.2450233753865804e-26,0.0020570722286797826,10.203256895099553,0.0010419172537078833,0.37592476425027815,7.189339207864391e-05,0.9786291572839687,0.6108015559523566,9.389208029604832,6.076484715573016,0.00018902465895843912,5.58243998760756,0.12396430355909936,6.610289791989322,0.03990560550018511,-7.638479654940148e-27,0.1856320170867677
