milliseconds,Y3_1,Y4_1,Y11_1,Y2_1,Y1_1,Y5_1,Y6_1,Y7_1,Y8_1,Y10_1,Y9_1
0,1.9500627211677533,0.00015846333282361802,0.010050990301074753,0.010052342770248907,4.1206001814309065e-06,0.04972145944369509,5.133359170002949e-06,14.999810555081133,0.9999595429667572,5.0093989328355395,3.990989059777658e-06
100,1.9499573958021412,0.00015360359576922894,0.009885886872748344,0.010484215901031931,0.0010736957752261838,0.052203400699603296,0.0007060100035125481,15.00057246615897,0.9988572139480428,4.986731221877629,3.1403642342260054e-05
200,1.9499579106949805,0.00018809385983528353,0.010323936866731616,0.009623345846227285,0.0011221768475478755,0.05421721516963274,0.00077833477015863,14.991082846611796,0.9987055090744054,4.933779739831581,0.0001226239329972641
300,1.9498472750037337,0.00037018399682918685,0.010110911366487872,0.009996539846570144,0.0011298555983959271,0.055065481564313894,0.0007791314175819087,14.986799669538401,0.9985877402000898,4.915447597256086,0.00015585324160899056
400,1.9495316092673434,0.00021133603840982202,0.010471741605629501,0.0102742238732257,0.0011218193961769077,0.056548255803913684,0.0007901127423830304,14.986238912282376,0.9983751064032563,4.883234039818517,0.00018769921490987727
500,1.9493383770197472,0.0005047304680523819,0.010393487076451076,0.010399003192973155,0.001123228025591281,0.058195948086825336,0.0007886348295580844,14.97725220476308,0.9983796633044741,4.836569427363242,0.0002777660509918114
600,1.9495198719869662,0.0008176706364193955,0.010778133698244204,0.010613198540548395,0.0011224378182746358,0.060422636062699646,0.0007950877742415309,14.972494448905492,0.9981586798555664,4.808559104885737,0.00032789598568455506
700,1.949414667953616,0.0006395064396353111,0.01060080972583543,0.01069288070102422,0.001129863308547395,0.06139117817405356,0.0008000474310557081,14.967808723941872,0.9981076170635024,4.804887977261887,0.0003426702521504937
800,1.9490131137798625,0.000783667733793314,0.010719752566800168,0.010834415787038733,0.0011239043931584695,0.0628778887078993,0.0008060959974469446,14.964925399575966,0.9979962408033138,4.772744697106833,0.0004864333245999893
900,1.9491075582922184,0.0011627240983420406,0.010947130441424903,0.01140302422405122,0.0011247649710913285,0.06509508706828628,0.0008020422133656451,14.957886786251063,0.9978912042328695,4.737761967821052,0.0004961470259940032
1000,1.9487790385008825,0.001268358127773553,0.011379743896448611,0.011148902294829273,0.001131130312391562,0.06650835590845373,0.0008077196702913707,14.954335871210304,0.9977449412026846,4.702273933183071,0.000540175708580778
1100,1.9487328480293835,0.0013899408628025676,0.01130695232722281,0.011590051366450173,0.001127083247445911,0.06714750892012754,0.0008157839048450365,14.947638713739112,0.9977440376856889,4.676126948161729,0.0006042379150130541
1200,1.948555433318237,0.0016773388876843145,0.011524344282789074,0.012018630124432215,0.0011263007372673557,0.06974720439763195,0.0008197791166751446,14.947877655717207,0.9974910495290894,4.644698147408848,0.000702732279859854
1300,1.9484007983586449,0.0016664376625924627,0.011858575485214533,0.012152552484839218,0.0011280047502610843,0.07153539357503723,0.0008232243219249891,14.935996913054526,0.9974659530680551,4.645364289791194,0.0007606902208774052
1400,1.948152007799934,0.0017773645537909346,0.011908365352336482,0.012584667415487612,0.0011364345723723292,0.0718803550168037,0.0008214910832870031,14.934465048481066,0.9973262909510616,4.6040621966740725,0.0007953282944949748
1500,1.9478120579576412,0.002022801965450227,0.012212274062543046,0.013399985919519065,0.0011241211761297016,0.07327908355828182,0.0008213280188134324,14.929739834893631,0.9972205298114615,4.579902856819206,0.0009053091915549886
1600,1.947886638351486,0.002187656674638512,0.0123606759193652,0.013406201600344773,0.0011358115337824384,0.07661195737083139,0.0008291273604244422,14.928227231579706,0.997141815715822,4.555774585961795,0.0009168654440634861
1700,1.947449284285983,0.002246938011813985,0.01260448290920868,0.01421457634724502,0.0011268695291899904,0.07744936205221137,0.0008314098535385933,14.91756672312503,0.9969027715917614,4.522605483011315,0.0009760323187455224
1800,1.9474572554009486,0.0025910682604997266,0.01277811004499182,0.014969008140170716,0.0011268205085271177,0.07846811665637345,0.0008378250156494696,14.915219059624263,0.9967892645028809,4.505355347158261,0.0010409297007711576
1900,1.9472161899704286,0.002665292427942049,0.012710631690817018,0.014667558062892374,0.001130541255907291,0.08165689476783335,0.0008375421845959799,14.911388222752176,0.9967910695654965,4.478352560304103,0.0011101091746127838
2000,1.946855814760891,0.0029738327191620338,0.013174051165792004,0.015034320222563846,0.001129688977492689,0.08223682852908794,0.0008377127441335238,14.90664242102644,0.9965608109966093,4.437661581922991,0.0012024222605228488
2100,1.9466189258993518,0.003188099244973721,0.013432942179245675,0.0161685771079844,0.0011314584393374042,0.08490169691824447,0.0008528518823156711,14.89746307344341,0.9964979285548451,4.434861368934591,0.0012641281303437649
2200,1.9464371735820494,0.003498236703693455,0.013588256910252755,0.016972001166888795,0.0011386004111502341,0.08650609792838072,0.0008498805595358998,14.89473424141306,0.9963444292979282,4.389855778108807,0.0012533409300809475
2300,1.9463200864855108,0.003608373026419383,0.013699149028772825,0.017389883747156772,0.0011250787057388864,0.08738478103400038,0.0008555188353537507,14.894523766360965,0.9963835163481753,4.374112526519486,0.0013175283134273285
2400,1.945988503988236,0.00400173297634519,0.013823713837663315,0.01797916618748874,0.0011334503296436937,0.08972218829578031,0.0008504448970687769,14.887292627278276,0.9961868753693739,4.357474998466863,0.0014305036894842285
2500,1.9456916052883624,0.004172505071885631,0.014251010258349505,0.018039114236739342,0.0011354095303573023,0.08915487044377418,0.0008637565817203654,14.88094796239219,0.9961427409423813,4.338905374504909,0.0014626857101193989
2600,1.9456162346076247,0.004584173589002339,0.01449748345300064,0.019645552195473613,0.0011352338458044875,0.0918416584748032,0.0008651439610860419,14.87384369251395,0.9959265879354021,4.289692014832668,0.0015827426894212536
2700,1.945193533906506,0.004505429615130196,0.014701193016687918,0.020238555090927896,0.001137827411890802,0.09369328663865112,0.000868182575586084,14.86913869853056,0.9959049054959856,4.275334879239012,0.0015801486276888054
2800,1.944893550003571,0.00479814808509895,0.014877770238683986,0.020217361702424948,0.0011283372997138216,0.09572815819058889,0.0008700905103749534,14.870275043111812,0.9957757323995637,4.246757340732235,0.0017120696501386908
2900,1.9448455179713635,0.005387198696263062,0.015175188271239537,0.021875107435318796,0.0011310504266111357,0.09683348374727185,0.0008693548886281036,14.863689309928949,0.9955429744617529,4.225805514412409,0.001754582606334573
3000,1.9445385349585267,0.005419589585745252,0.015537761819294388,0.021849039603625643,0.0011386661022545971,0.09750820844249786,0.0008723484807639762,14.858823343822497,0.9954507880370523,4.225145178526645,0.0018368897867124022
3100,1.9441617072587787,0.005898129842135298,0.015917380730287384,0.023383186725965673,0.001129688803797625,0.09998179498924381,0.0008842930015482384,14.849673143269698,0.9953984709978239,4.207197106351319,0.001816324882139107
3200,1.943846830141563,0.005890029695345333,0.015955150739853517,0.023525592400211473,0.0011357215536011798,0.10070662563161066,0.0008885772195579859,14.849679559860506,0.9952293881871006,4.16776011605497,0.0019574261043382502
3300,1.943357836538408,0.006321820120339555,0.01625220100818454,0.025390299195981854,0.0011293636527789671,0.10251192947281444,0.0008884968901306466,14.840069576163025,0.9951264119389088,4.140926472389436,0.0019832121213657996
3400,1.9434176285203306,0.006568434965924873,0.01688521638897623,0.02589155534971578,0.0011380254897456058,0.10566203161651024,0.0008971674052410391,14.840416069769137,0.9951248687523462,4.123827179273805,0.002081409390770381
3500,1.9428995944888605,0.006796474965469022,0.016894984539716277,0.026992970480706282,0.0011377767535722734,0.1066288362332195,0.0008933617957405021,14.831069693404261,0.9949113251267168,4.104045041920615,0.0021375716005681386
3600,1.9424931057377322,0.00717455089924957,0.017495641354637888,0.027569826523551683,0.0011297271559329862,0.1084895409609058,0.0009001538563247059,14.826629968708557,0.9947943162949724,4.0693123665074955,0.0021358072470127787
3700,1.9421077458625107,0.007489343319901239,0.017698236774454906,0.029221912516982352,0.0011317643679553257,0.11031333968787645,0.0009030913589136701,14.825152450854743,0.9946329306509876,4.055733370714643,0.0022115443904366415
3800,1.9420241483758018,0.008023502942098082,0.017861155729307316,0.03073211227882518,0.0011413474829991836,0.11103489463231916,0.000903534917345592,14.820342802169426,0.9946781470000645,4.054668462122886,0.002273093909335254
3900,1.9415818855982916,0.008014191319656146,0.018270995111796116,0.030954775515710537,0.0011299232961345849,0.11315513410467228,0.0009086093207809819,14.81201268004483,0.9945381711265309,4.034952529885448,0.00239489784169813
4000,1.9412835505444348,0.008504296327871306,0.01875113274837397,0.03235289287545552,0.0011327865388010255,0.11376324499530253,0.0009139541767478686,14.80676675654113,0.9943649266077473,4.006550157667286,0.002403231827555283
4100,1.9410494387611312,0.008899396361333129,0.019175651738950163,0.03340941276424037,0.0011297097173093825,0.11514229752219014,0.0009099625363479326,14.803878556320027,0.9942255816302817,3.9800929958114755,0.002522811675778478
4200,1.9407083795877915,0.009186781476370606,0.01955084806563666,0.035658334207956895,0.0011434878769103823,0.11880526096243142,0.0009167418956295473,14.797894252588362,0.9941943853066617,3.9444544561529726,0.0025652782669807407
4300,1.940197849301023,0.009359678002167205,0.019819518565504856,0.036564023510481596,0.0011374781398591246,0.11982046248102109,0.0009269569584685881,14.794267892540939,0.9941006294380511,3.9315123936419685,0.002652342948219682
4400,1.9399580851269442,0.010032514053351047,0.020075963262941126,0.03817777557907281,0.0011409537026207885,0.12012193849650689,0.0009248639542365407,14.79122959672298,0.99387394303736,3.9285347808117517,0.002701985660627941
4500,1.939563501278599,0.010156727972139292,0.020628333601161498,0.04001032387793449,0.0011415699940158404,0.12291253944488113,0.0009305002727648187,14.785035166963263,0.9938664600170098,3.905969075894572,0.002800329900184005
4600,1.9391155183531144,0.010595583025845295,0.020977931771505448,0.040482321641156845,0.0011433060730840514,0.12370006051282013,0.0009257878376698303,14.781286690397005,0.9936655133644942,3.8799954874654454,0.0028116684654663254
4700,1.9386585114323236,0.011161085444586893,0.02110865712462622,0.042415508506610786,0.001145221674609376,0.12673454246540203,0.0009379489704480846,14.779412738323035,0.9935872079367061,3.8792320854028413,0.0029349324000063795
4800,1.9381126886169167,0.011504666250622428,0.021709217356868777,0.04372440844599338,0.0011425176050385204,0.12696024281417828,0.0009314617708162627,14.774416983809635,0.9934924798165451,3.8447814236829982,0.0029651062808384305
4900,1.9379503968741847,0.011810833607699302,0.022012560722446884,0.04586696097132762,0.0011339836813139602,0.128165183585945,0.0009467649082633788,14.76567751536456,0.9933418810586051,3.8182517518415215,0.0030730478672063217
5000,1.9376410593609477,0.012216538294514943,0.022277241107029964,0.047959322383155395,0.001132730167408677,0.13131219829941151,0.0009409090867962304,14.763169921063225,0.9932276082516348,3.819836769356922,0.0030706629355101295
