milliseconds,CDK2cycA,CyclinA,Cdk2,CDK2cycA_star_
0,0.0,4e-07,1e-07,0.0
100,1.502532061380083e-08,3.832726101680454e-07,8.327261016804539e-08,1.5740643132238184e-09
200,1.971598155000253e-08,3.764980788413778e-07,7.649807884137779e-08,3.472847872559278e-09
300,2.440664248620423e-08,3.6972354751471017e-07,6.972354751471017e-08,5.371631431894738e-09
400,2.821980471458119e-08,3.641920759483728e-07,6.419207594837278e-08,7.158712549052292e-09
500,2.9001449489394587e-08,3.629550350469023e-07,6.295503504690224e-08,8.559892353708308e-09
600,2.9783094264207982e-08,3.6171799414543176e-07,6.171799414543172e-08,9.961072158364324e-09
700,3.056473903902139e-08,3.6048095324396124e-07,6.048095324396118e-08,1.136225196302034e-08
800,3.134638381383478e-08,3.592439123424907e-07,5.924391234249065e-08,1.2763431767676356e-08
900,3.212802858864818e-08,3.580068714410202e-07,5.800687144102012e-08,1.4164611572332365e-08
1000,3.2909673363461586e-08,3.5676983053954967e-07,5.6769830539549595e-08,1.5565791376988383e-08
1100,3.369131813827498e-08,3.5553278963807914e-07,5.5532789638079045e-08,1.69669711816444e-08
1200,3.4472962913088376e-08,3.542957487366086e-07,5.429574873660852e-08,1.8368150986300415e-08
1300,3.525460768790178e-08,3.530587078351381e-07,5.3058707835137986e-08,1.976933079095643e-08
1400,3.603625246271518e-08,3.518216669336676e-07,5.182166693366745e-08,2.1170510595612453e-08
1500,3.681789723752858e-08,3.5058462603219705e-07,5.058462603219692e-08,2.2571690400268462e-08
1600,3.759954201234198e-08,3.493475851307265e-07,4.934758513072638e-08,2.3972870204924478e-08
1700,3.838118678715538e-08,3.4811054422925595e-07,4.811054422925585e-08,2.5374050009580494e-08
1800,3.9162831561968774e-08,3.4687350332778543e-07,4.6873503327785317e-08,2.677522981423651e-08
1900,3.994447633678217e-08,3.456364624263149e-07,4.563646242631478e-08,2.817640961889252e-08
2000,4.072612111159557e-08,3.443994215248444e-07,4.439942152484426e-08,2.9577589423548535e-08
2100,4.150776588640897e-08,3.4316238062337386e-07,4.316238062337372e-08,3.097876922820455e-08
2200,4.228941066122237e-08,3.4192533972190334e-07,4.192533972190319e-08,3.237994903286057e-08
2300,4.307105543603577e-08,3.406882988204328e-07,4.0688298820432654e-08,3.378112883751658e-08
2400,4.385270021084917e-08,3.3945125791896224e-07,3.945125791896212e-08,3.51823086421726e-08
2500,4.463434498566257e-08,3.382142170174917e-07,3.821421701749158e-08,3.6583488446828614e-08
2600,4.541598976047597e-08,3.369771761160212e-07,3.697717611602106e-08,3.798466825148463e-08
2700,4.6197634535289363e-08,3.3574013521455067e-07,3.574013521455052e-08,3.938584805614064e-08
2800,4.6979279310102765e-08,3.345030943130801e-07,3.4503094313079985e-08,4.078702786079666e-08
2900,4.776092408491617e-08,3.3326605341160957e-07,3.3266053411609455e-08,4.218820766545268e-08
3000,4.854256885972957e-08,3.3202901251013904e-07,3.202901251013892e-08,4.3589387470108694e-08
3100,4.9324213634542964e-08,3.307919716086685e-07,3.0791971608668396e-08,4.4990567274764697e-08
3200,5.010585840935636e-08,3.29554930707198e-07,2.9554930707197856e-08,4.639174707942072e-08
3300,5.088750318416976e-08,3.283178898057275e-07,2.8317889805727326e-08,4.7792926884076735e-08
3400,5.1669147958983156e-08,3.2708084890425695e-07,2.708084890425679e-08,4.919410668873275e-08
3500,5.245079273379656e-08,3.2584380800278643e-07,2.5843808002786257e-08,5.0595286493388767e-08
3600,5.323243750860996e-08,3.246067671013159e-07,2.4606767101315727e-08,5.1996466298044776e-08
3700,5.4014082283423355e-08,3.233697261998454e-07,2.3369726199845194e-08,5.339764610270079e-08
3800,5.4795727058236756e-08,3.2213268529837486e-07,2.2132685298374657e-08,5.479882590735681e-08
3900,5.562877972972466e-08,3.230453579657603e-07,2.3045357965760057e-08,5.604823002496646e-08
4000,5.646742468572796e-08,3.241918820583396e-07,2.4191882058339356e-08,5.728112358915178e-08
4100,5.7306069641731255e-08,3.25338406150919e-07,2.5338406150918708e-08,5.851401715333715e-08
4200,5.8144714597734505e-08,3.264849302434983e-07,2.6484930243498056e-08,5.974691071752247e-08
4300,5.8983359553737755e-08,3.276314543360776e-07,2.763145433607731e-08,6.097980428170775e-08
4400,5.982200450974106e-08,3.2877797842865694e-07,2.8777978428656707e-08,6.221269784589312e-08
4500,6.06606494657443e-08,3.299245025212363e-07,2.992450252123601e-08,6.344559141007839e-08
4600,6.14992944217476e-08,3.3107102661381564e-07,3.107102661381536e-08,6.467848497426376e-08
4700,6.23379393777509e-08,3.32217550706395e-07,3.221755070639471e-08,6.591137853844907e-08
4800,6.31765843337541e-08,3.3336407479897423e-07,3.336407479897396e-08,6.714427210263435e-08
4900,6.401522928975739e-08,3.345105988915536e-07,3.451059889155331e-08,6.837716566681967e-08
5000,6.485387424576069e-08,3.356571229841329e-07,3.565712298413266e-08,6.961005923100504e-08
