milliseconds,T_Tumor_Cells,L_CD8_T_Cells,D_Dendritic_Cells,H_CD4_T_Cells
0,1000000.0,10.0,10.0,5.0
100,1043999.1364917951,9.99948490905587,10.236534107137267,5.008385780611053
200,1089929.1341142035,9.99893887856526,10.478653836818317,5.016785573563043
300,1137876.464640791,9.998360421192357,10.726497986311875,5.02519942368565
400,1187931.1273037265,9.997747982561176,10.980203710975582,5.033627354913662
500,1240186.0151118964,9.99709995628614,11.239910078151615,5.042069391059568
600,1294736.6063248178,9.99641468992756,11.505758356446876,5.050525556037228
700,1351683.8950716741,9.995690432385057,11.77789400479156,5.058995873743685
800,1411130.886839908,9.99492539695115,12.056464436533785,5.067480368280367
900,1473187.65762197,9.99411767023911,12.341622150043353,5.075979063641621
1000,1537968.681716718,9.993265260276226,12.633522997250887,5.084491983921055
1100,1605593.374964027,9.992366086716265,12.932326530097898,5.093019153260631
1200,1676186.4629985634,9.991417974185618,13.238196110667385,5.101560595876877
1300,1749878.4933632093,9.990418643007448,13.551298972260843,5.110116336090449
1400,1826804.6270262066,9.989365731092368,13.871806061254675,5.118686398238985
1500,1907105.787336582,9.988256773163934,14.199892294148139,5.127270806733266
1600,1990931.9032634778,9.987089142234295,14.535737624682671,5.135869586121391
1700,2078434.4623389065,9.985860184003563,14.879524643595168,5.144482760927166
1800,2169772.5059295963,9.984567108688674,15.231440541380234,5.153110355771761
1900,2265115.200389026,9.98320694473758,15.591678066539922,5.161752395393552
2000,2364636.154236508,9.981776641234413,15.960433505356207,5.170408904574285
2100,2468518.640117501,9.980272973879435,16.337908561701504,5.1790799081893315
2200,2576952.489914783,9.978692600867513,16.724309215669773,5.187765431187865
2300,2690136.6065655067,9.97703201779653,17.119846633214824,5.196465498597444
2400,2808277.5735608507,9.975287582598819,17.524736658581038,5.205180135527728
2500,2931591.6321311067,9.973455480149086,17.939200490414123,5.213909367172931
2600,3060303.4150518607,9.971531744943587,18.363464250316248,5.222653218810376
2700,3194648.0924204364,9.969512222718837,18.797759688830013,5.231411715811078
2800,3334870.060174558,9.967392593951965,19.242323747593893,5.240184883632104
2900,3481224.9820871027,9.96516833737382,19.6973992197769,5.2489727478296135
3000,3633978.835864814,9.962834747087715,20.163234427921118,5.257775334051885
3100,3793409.4427995104,9.960386905274959,20.64008371140926,5.266592668049177
3200,3959807.123375052,9.957819670748474,21.1282075879488,5.275424775676632
3300,4133474.5998490984,9.955127680578718,21.627872743763454,5.284271682894127
3400,4314724.403152667,9.952305396073607,22.13935126155549,5.293133415751539
3500,4503886.201597917,9.949346973257773,22.662922749282345,5.3020100004304656
3600,4701303.986254281,9.946246312620143,23.198873522082692,5.310901463228207
3700,4907329.77065143,9.942997170379172,23.747494781182002,5.319807830521825
3800,5122335.305103589,9.939592952071523,24.309085960136407,5.328729128835494
3900,5346711.673681096,9.936026719803507,24.88395459689861,5.337665384838366
4000,5580857.964944082,9.932291391380291,25.472413137719272,5.34661662527884
4100,5825194.059732101,9.928379516223927,26.074782497242115,5.355582877059454
4200,6080161.467196338,9.924283261596372,26.691392231767033,5.364564167242673
4300,6346214.503469957,9.919994565002218,27.322578228946487,5.373560522996995
4400,6623828.623627995,9.915504990657091,27.96868485547849,5.382571971647854
4500,6913500.5933082625,9.910805728483874,28.630064851788628,5.3915985406792
4600,7215746.101366838,9.905887630778967,29.307079053049804,5.400640257717448
4700,7531102.746158716,9.900741164442438,30.000096891721803,5.40969715055086
4800,7860130.760045882,9.895356402180086,30.709496406855877,5.4187692471354385
4900,8203412.648734943,9.889723020211157,31.435664600324817,5.427856575589283
5000,8561554.712925859,9.883830278264133,32.178997504999295,5.4369591642043105
