milliseconds,s1,s2,s3
0,570584.0207399466,-1221.325941447036,150823.06710320662
100,581249.4262816042,-4590.862638344982,1923.7175322150404
200,582654.6832440818,3027.988503986744,-135221.5970006234
300,572987.1149121375,-3206.6370892970904,-85934.6981155124
400,589737.6588486796,-4192.384367900677,45460.56129816076
500,588158.6646425704,3672.6148681975633,5807.4867927624755
600,584858.6704594343,-4856.013895699937,35960.37402164913
700,567126.4931741328,-4417.6137048595665,89853.94339027826
800,569130.4436698946,7253.420274872749,-27404.840965420346
900,572384.4213598596,8015.81847607007,-19848.65087712786
1000,558883.2330812796,7335.2361644533175,203098.24620996928
1100,559453.5501646352,7660.29598582141,251379.65569108143
1200,551246.6417461343,17670.39903491362,103825.09536067609
1300,537466.7884059804,39656.372867141035,435127.93121563754
1400,507141.5284730051,70648.4386835796,857225.2180342438
1500,454177.32311055146,103571.31324148769,1158387.3114060047
1600,408257.76353128563,166716.24383186628,1843674.9720747909
1700,314012.0232291178,229010.82232051223,2803598.3899200456
1800,223526.74520614627,302161.0953138257,4116980.114823899
1900,137890.39290593358,378280.332258345,5591104.373114493
2000,65105.02833000948,411276.7968140031,6928780.667192167
2100,23528.329255339668,432126.86696875497,7901273.475924839
2200,13157.11819697702,422052.66051228275,8688490.932014525
2300,3134.8964348128266,406647.17448944756,8934326.13297528
2400,8177.33070564978,385098.4906618544,9318646.300841503
2500,-6497.615350105792,364513.82690225885,8974964.984604398
2600,4600.340877943368,344480.26276811125,8795484.948690498
2700,12533.345102014153,326797.3124308253,8475140.562444944
2800,-12834.783953707332,303120.81870182185,8222006.13985909
2900,6688.32755752847,280629.2479948427,7731264.252603072
3000,-7729.595654360088,269198.21300595504,7468804.915691828
3100,-4957.438988211261,256553.94247368607,7091602.813970932
3200,11817.250965150695,243349.0087759662,6559552.495693557
3300,10693.159205724996,227058.89856103942,6390689.620009744
3400,-9045.507676935154,212210.1623236207,5868822.785396846
3500,-7008.132506876816,198882.4881207208,5485990.03184788
3600,10241.823258427541,193808.27299979358,5084402.2071462525
3700,-9895.55280979726,177088.58212894248,5068458.391899652
3800,-3258.4632555223225,172917.22690291132,4705613.627638758
3900,-10.38600956431421,161359.49382217324,4260086.701000232
4000,-984.2572249760368,145852.49255267787,4112180.9202248417
4100,1549.3742380250098,144980.06203975488,3758877.5552602145
4200,-12319.331387311788,124907.05721366625,3756342.384988136
4300,10012.65502225331,127006.0015746407,3548528.604349961
4400,-4300.678304185309,120427.43639785064,3383626.782247894
4500,5726.546576684098,116530.12409354784,3091419.8537568096
4600,3844.3387388632104,101956.07269735078,2999911.9360030815
4700,-11684.323496238181,95707.16281236312,2664107.1205519787
4800,9050.546159668185,91301.29816368724,2607547.373525228
4900,-583.0308079720063,90559.44417963673,2516912.179211705
5000,-8178.759720215366,83960.0684159893,2356168.359696499
