milliseconds,s1,s2,s3
0,584213.023427768,-3958.4580653140433,-30656.99319114673
100,571276.8310546844,-4759.161142787018,157279.67025420044
200,590848.0224261614,4907.308989473812,-80614.8358284433
300,573278.6879788607,1469.546655906035,-114374.7288635926
400,580894.2900855258,6637.404593555893,-23323.240004803632
500,582013.4340483228,-2180.786225740769,-119307.96857119282
600,566429.4791289004,-4799.43638440119,-8876.583119904986
700,565843.2142697698,535.2444470056046,-74557.21612366891
800,570257.9105622905,4124.28092791994,165883.8911192177
900,586411.4517147178,2964.402946544091,66090.38126672112
1000,566426.5908505504,10217.926227549982,144843.5005290478
1100,572148.8710238375,9302.79094932496,217800.1916000934
1200,553983.8979001382,22901.477591091945,155516.42834925873
1300,527205.0275459706,45836.05891483466,523266.2980401935
1400,499757.0406561886,62985.83605730663,778847.6035118212
1500,473683.7491699817,99371.68273168558,1142607.579006974
1600,396050.55866684706,160000.7819649289,1752652.5134646948
1700,314247.0525286983,239184.7304722808,2859640.9749396234
1800,224177.09504493113,306548.4583174204,4087275.0064943912
1900,134514.70791053612,369268.19463671866,5594146.592657669
2000,67010.27199316307,408408.0188317959,6967102.894560951
2100,40403.43180644857,425989.44425499084,7843155.95120562
2200,26541.329035980023,420888.6941244198,8786925.97712174
2300,930.4257277944744,405554.00601520017,9171043.524406007
2400,11418.058973192357,385911.0593487528,9056986.529007902
2500,-4835.594527095967,366308.7343429518,9172419.065722357
2600,5242.645627829593,346062.36067660415,8930069.432447348
2700,-11450.54375915954,323173.6780283375,8392194.66127295
2800,-10048.22150181806,307221.6438166202,8280258.186389822
2900,11131.38629990218,285009.6138792181,7888359.574900128
3000,-2463.840630603598,275388.62681580975,7487270.098735826
3100,-4352.1930585557775,259154.46092775563,7028238.932416992
3200,4424.572410227689,239730.7267424881,6528994.702579501
3300,6001.309214892625,222096.88482617092,6384810.474891759
3400,-7368.005613807859,214341.5448942055,6018294.556762293
3500,-9801.461159313512,206042.1981765504,5421453.9858465595
3600,5058.781815933421,192336.09694024466,5211081.444750818
3700,-7578.889329673725,175384.03109814198,5068882.361358429
3800,1922.3293975273475,173017.2881285044,4679546.372012484
3900,1929.0768907050729,150939.69889450184,4467853.020524891
4000,9342.397057268041,143073.18270806185,3964525.4055051627
4100,-11107.080556941526,146345.3808030115,3773985.4073517304
4200,-12672.432427914988,134191.13027838862,3724180.7905850084
4300,6522.2877074735225,118067.92099464066,3300892.2245704937
4400,11434.84886829728,121710.53202572935,3199369.758718945
4500,-8753.243876510778,105369.6924224656,3159500.969634671
4600,7582.295657501036,109366.81028637673,2888012.653372608
4700,645.3879004270506,95791.49019932242,2807898.8806281313
4800,-6041.528652071807,94477.43354469567,2554514.4947897866
4900,-2514.2560443591824,92899.40155908959,2298153.719782258
5000,1865.927257201133,84156.72359460122,2177585.4911619737
