milliseconds,x,y,z
0,199866264.59809434,100034238.34450978,400088646.89496714
100,200020036.2261643,99949641.04644284,400014446.0429008
200,199714625.86704466,99919891.68957712,399599017.0276673
300,199734417.5240439,99947104.59774001,399329232.83480734
400,199556967.6499321,99882786.9753411,399362187.7431334
500,199206187.67196506,99893354.85232893,398940741.4409643
600,199095728.55361086,99820894.37674394,399189961.8450883
700,198994908.40296394,99813500.94502479,399000896.6266455
800,198931808.61382365,99774295.4541093,398399982.87275547
900,198727194.6805062,99780743.11250313,398567063.75528085
1000,198592934.70480663,99720577.94635491,398391977.89984745
1100,198651758.11177522,99722330.26841033,398277455.92293626
1200,198606375.92293432,99674726.35891819,397678642.086359
1300,198424605.61958253,99692646.74788636,397804460.7242718
1400,198146567.42919496,99615228.09250784,397710472.83889014
1500,198236958.55377686,99590995.5743613,397181842.16214234
1600,198131762.7018992,99613364.60433035,397245135.1727226
1700,197890959.5173265,99592964.57621816,396821284.22227085
1800,197661552.2728261,99538989.86392702,396838969.9758033
1900,197611176.83658847,99518455.62413536,396511587.2122633
2000,197718426.42322597,99503731.5257559,396462610.84161633
2100,197428310.38992506,99496704.51649772,396286342.171511
2200,197168278.84234944,99449616.86908326,396184595.3719104
2300,197027020.13746873,99463060.33856013,395925977.9465388
2400,196994111.39654392,99414175.03746726,395874230.24984
2500,196767958.28221408,99384138.1969115,395645489.945904
2600,196683376.8002309,99371991.72986801,395643813.1520514
2700,196748546.48777354,99368264.58815996,395547325.51802015
2800,196468313.7857758,99335721.49720055,395285973.1206296
2900,196626374.10813046,99287937.7531142,394791036.30332416
3000,196456983.48019886,99282651.26046802,394563638.8282371
3100,196050669.03681564,99266226.09973545,394624577.9047527
3200,195928717.13946095,99178888.27407074,394227007.0843201
3300,196039872.59679717,99207933.24894182,394368228.48438513
3400,195934075.64251253,99155491.15371363,393886889.0123887
3500,195772820.01013526,99135226.9856009,393959593.26186186
3600,195483988.88819146,99122892.57060914,393563057.8263612
3700,195468528.6292552,99104201.95351006,393635926.75059545
3800,195404097.73629072,99047766.05368562,393342294.3201578
3900,195357055.29883805,99071717.50236408,393182360.738169
4000,195074037.9922428,99036958.16109243,393179779.6733477
4100,194930687.6079023,98980895.16498457,393087631.2896697
4200,194836294.02115712,98972901.08349158,392790447.4735421
4300,194728261.34784847,98921592.52007517,392551127.4871517
4400,194571988.39935413,98923481.88974917,392442490.49695295
4500,194681792.11277854,98917410.9289506,392373005.5620281
4600,194412086.53050467,98877562.57039195,392112333.15905535
4700,194434764.24418783,98832107.3055225,391876762.36715895
4800,194284609.7616825,98833621.50670432,391581808.1171954
4900,194073628.70004103,98838785.46878698,391427500.21665645
5000,193946571.86562088,98803009.88147527,391485021.2822216
