milliseconds,UFPT,BiUFP,BiRE1,BiATF,BiPER,IRE1A,PERKA,mXbp1u,mXbp1s,Xbp1s,mBiPT,BiPT,ATF6T,ATF6GB,ATF6p50,mWFS1,WFS1,ATF4,mCHOP,CHOP,mGADD34,GADD34,BCL2T,BAXmT,BH3T,BAXmBCL2,BH3BCL2
0,0.6743892257778504,0.0254228409626993,0.00013131270425278217,-0.0016484514825801464,-0.0004540533779260439,0.00216556187774808,0.0021648894566722167,0.006226034443370849,-0.003045787997755027,0.04055632479183807,0.009274552015034385,-0.025448295776626714,-0.03224819582824126,-0.006300738818797075,0.044886554984423704,-0.03042363044930614,0.00143763891679225,-0.019046073966230672,-0.010885854733867988,-0.004091356295238582,0.0007808698826230187,0.00024607998145807357,0.08516108714556657,0.6549108942787615,-0.0058101069445705925,0.5275662202217156,0.006418277385584179
100,0.8638693494709535,0.016399821622444903,0.0005910251097591046,0.0023580382916634896,-0.00014269359490543315,0.1601899025627696,0.16044001919593606,0.010866794336376183,-0.002785342249739959,0.03940884143577839,0.01185954952157535,-0.04198928153255027,0.40403625637088586,0.012128736458911557,0.021925093148495032,-0.027339716013235798,-0.006002805985460535,0.15394440716114988,0.0007039869963163275,0.007247386057935751,-0.00043795150320921216,-0.0011607867272727947,1.7294827185794608,9.149447199340118,0.007603972525811285,0.7566169700225803,0.005475588348302761
200,2.855407010984213,-0.01912575876369539,-0.00016280693456970167,0.002830311314908294,0.00025014203693842646,0.16175116316381993,0.1623044405586821,0.02645388412809277,-0.0028386744181148078,-0.0348886838806144,0.04231959238518428,0.05463157690701237,0.8640874888369618,0.04473017050112738,0.3265048723588945,0.03016187410611622,-0.037183999901095124,0.3007234403541176,0.016676942957413773,0.020919793687493516,0.0007484199269936916,-0.0008703045571623451,1.2070220200442408,15.20987960087252,0.009609493830080678,1.2886593085350273,0.004021181410045495
300,5.228475809640682,-0.053954825123277934,0.0005821715224308055,0.003634598284370956,0.0005345853707488619,0.16043075590049088,0.159534946257881,0.044339880571800515,0.03019087431580705,-0.03141799496881366,0.02596631982857171,-0.03370024575679986,1.2506077998140521,0.08973610294996741,-0.023145342039030542,0.011942669607098756,-0.026734557000553123,0.40179468866756934,0.013708563890460285,-0.0331746040064277,0.0006724529203482597,-0.0011684281660957092,3.3088658760380874,21.36156669249339,0.04712963006758873,3.516194591475058,-0.006305193795303366
400,5.395626776541881,0.017532118046753198,0.0006006815091677834,0.0036055467029584704,0.0004846305498625703,0.16284290578397922,0.1618872128059045,0.04929037558082744,0.006669760071065074,0.02323090210582468,0.057823552520576485,-0.033300467471570935,1.6489559452344456,0.11717109047028862,0.3443310373019807,0.007344149512930191,0.061097035269859046,0.3955439074142236,0.015409815525353181,-0.02515880947821268,0.0005280189993348452,0.00027973287537259183,4.528447824019496,24.584267942019704,0.021585207171454235,3.6079621063369354,0.007458476916239602
500,5.265326749334016,0.06689248431920107,0.0008764489776524821,0.002972135281333975,0.0009668712631849704,0.15967469601217918,0.16063293912355583,0.07629796178416928,0.03410282273523311,-0.04576298850559131,0.08936280794462444,0.020694779986972618,1.9809727893197482,0.1581067653819219,0.6812924926254758,0.010513766739565077,-0.05645164768832644,0.5920170027159541,0.002155835281049837,0.021042529921084744,0.0011071846980668485,0.000182980906690235,3.7581487899436956,27.55661706239209,0.0581227975900909,4.972558450799759,0.006630297947375422
600,8.765416441520891,0.013979851610546275,0.0006009955709284746,0.0070282419435761,0.0014847020971143357,0.16158469903305975,0.16113562216711877,0.09301050824053939,0.04738066342103494,0.016621157070168372,0.0704221158328932,0.047320606128819304,2.2798656646124673,0.19198170154180105,0.7346739809920497,0.06233195854256834,-0.032323671465800737,0.4844691834385627,0.020848222452859798,0.025912956505047036,-0.000995627384812314,0.0003758342665643234,4.709408336597211,29.156260079734235,0.05874196089723346,4.833573013894868,-0.0044172446417728405
700,8.423973498325008,0.06716777873831647,0.0007344407446474036,0.006390961069452285,0.0009193452857062501,0.16176545424598465,0.16234203400347785,0.12533525602996878,0.07858686659887723,0.047425410360478724,0.08276055293550773,0.09785974347544335,2.493537039133303,0.22262037250915542,0.7996620405145453,0.10977434939701802,-0.008449202720984008,0.7633461464132938,0.02546149347388433,-0.030054556183338594,-0.0003442721215460239,-0.0010036262416463172,6.251732064172979,32.22275918576244,0.060217503623772047,7.70661937330582,0.007341499724446088
800,9.069526825585724,0.0920966414115477,0.0015338068779768175,0.011694748044622134,0.001844859746373728,0.16086663496650844,0.16170256928960794,0.1401422117997589,0.09156826740317714,0.025749525891205202,0.12187284507397976,0.045237704895738924,2.6824697792974357,0.2427022485216256,0.7187933730113052,0.15757351171911788,0.08468427943152877,0.8527608095449474,0.04194111891835314,0.015187794808615665,0.0010207841288764473,-0.0008095188784571641,7.306612949843366,34.270963117697335,0.09756858702305303,8.232324441920602,-0.00014349966260617875
900,10.443757097861365,0.08520072723064484,0.0020087257194109608,0.012184164954750354,0.001887501293109867,0.16232421873369934,0.1589443903431327,0.1594639846220499,0.09669943863548805,0.06892816847012706,0.13751715008736395,0.018250019383712977,2.784042334039775,0.26726015456549457,0.9184682558788119,0.15844328549550174,0.07392756421304642,0.7874711093180323,0.022607878273006074,0.036192226852962216,-0.0007064514533082134,-9.029377574834331e-05,7.907658415292432,34.54746660747524,0.08966548825574921,8.162580093743404,0.012588041912772574
