milliseconds,O,I1,I2,c,T
0,0.0,0.0,1.0,0.0,0.0
100,3.181796128263194e-14,3.248270321453835e-16,0.9980020044701997,0.0024998560770896133,0.1
200,2.881794468174851e-12,7.998139598173654e-14,0.9960079915511019,0.004998857328758406,0.2
300,1.977030319197726e-11,5.72165959759214e-13,0.9940179646248585,0.0074961455162490115,0.30000000000000004
400,9.84244270311652e-11,3.205037223125795e-12,0.9920319153161097,0.009990867951101715,0.4
500,3.539151866105558e-10,1.3347007475566494e-11,0.9900498343111036,0.012482176286197145,0.5
600,1.0156969442062144e-09,4.4049745243085086e-11,0.9880717134232427,0.01496922731298662,0.6
700,2.493223734108846e-09,1.2356542218657426e-10,0.9860975448221145,0.017451184934626607,0.7000000000000001
800,5.426571854403123e-09,3.037930273035472e-10,0.9841273206140985,0.01992722105257165,0.8
900,1.0759630568683898e-08,6.724018988102639e-10,0.982161032917178,0.02239651704863798,0.9
1000,1.9811508001223007e-08,1.3674597765531783e-09,0.9801986738668933,0.02485826500730609,1.0
1100,3.4349900779315245e-08,2.594719266995053e-09,0.9782402356149077,0.027311668895835244,1.1
1200,5.666987994658173e-08,4.648367053851961e-09,0.9762857103293724,0.029755945801800663,1.2000000000000002
1300,8.966478426454804e-08,7.933043011324933e-09,0.9743350901951239,0.03219032692883854,1.3000000000000003
1400,1.3690506354700992e-07,1.2989910299672796e-08,0.9723883674142277,0.03461405876216166,1.4000000000000001
1500,2.0270889680131277e-07,2.0523930851016116e-08,0.970445534206466,0.03702640402905192,1.5000000000000002
1600,2.922090327596007e-07,3.143271495048327e-08,0.9685065828099726,0.03942664259391725,1.6
1700,4.114241014203746e-07,4.683923903548768e-08,0.9665715054821649,0.041814072467705944,1.7000000000000002
1800,5.673117172508684e-07,6.8122479979564e-08,0.9646402945005471,0.04418801047301614,1.8000000000000003
1900,7.678303235337741e-07,9.695276873326083e-08,0.9627129421639766,0.0465477931303027,1.9000000000000001
2000,1.0219872163995373e-06,1.3532591701748455e-07,0.9607894407939307,0.04889277731453258,2.0
2100,1.3398732268844883e-06,1.8559491314995412e-07,0.9588697827357997,0.05122234071073638,2.1
2200,1.7327095819834767e-06,2.505075172040816e-07,0.9569539603606853,0.05353588255075464,2.2
2300,2.212894843564766e-06,3.332488579740057e-07,0.9550419660677505,0.05583282446624008,2.3000000000000003
2400,2.7939930411803718e-06,4.374635410397874e-07,0.9531337922855091,0.05811261026086351,2.4000000000000004
2500,3.490761960531849e-06,5.672907684732428e-07,0.9512294314741662,0.060374706491948996,2.5000000000000004
2600,4.319166689299124e-06,7.273989299186946e-07,0.9493288761281665,0.06261860286372724,2.6
2700,5.296378891219428e-06,9.230178291052107e-07,0.9474321187789003,0.06484381245119877,2.7
2800,6.4407667867739906e-06,1.1599644548258077e-06,0.9455391519972618,0.06704987180514939,2.8000000000000003
2900,7.771879834334312e-06,1.444672224807331e-06,0.9436499683969095,0.06923634107753655,2.9000000000000004
3000,9.310433881031324e-06,1.7842093563705848e-06,0.9417645606365765,0.0714028040688258,3.0000000000000004
3100,1.1078282189403483e-05,2.1863015550597963e-06,0.9398829214233347,0.07354886822002878,3.1
3200,1.3098375875847182e-05,2.659357281085567e-06,0.9380050435166973,0.0756741645642631,3.2
3300,1.5394722722945524e-05,3.2124841083922433e-06,0.9361309197322083,0.0777783476097633,3.3000000000000003
3400,1.7992344941523316e-05,3.855496858120978e-06,0.9342605429444135,0.0798610951643272,3.4000000000000004
3500,2.091722867455815e-05,4.598926069279848e-06,0.9323939060903002,0.08192210812165988,3.5000000000000004
3600,2.41962653931046e-05,5.454026758083183e-06,0.9305310021732287,0.08396111021091826,3.6
3700,2.785718858443286e-05,6.432782837029612e-06,0.9286718242668875,0.08597784769788176,3.7
3800,3.192850840991787e-05,7.547906775558114e-06,0.926816365519076,0.08797208904810601,3.8000000000000003
3900,3.643944259020774e-05,8.812836004619197e-06,0.9249646191554967,0.08994362455640349,3.9000000000000004
4000,4.1419849415319634e-05,1.024173264292529e-05,0.9231165784836496,0.09189226600481441,4.0
4100,4.690014361061709e-05,1.1849461620490281e-05,0.9212722368964923,0.09381784611739492,4.1
4200,5.2911227679809985e-05,1.365158974343626e-05,0.9194315878763597,0.09572021821430873,4.2
4300,5.9484405461007144e-05,1.5664360701494367e-05,0.9175946249985806,0.09759925564229895,4.3
4400,6.665130260367532e-05,1.79046763748045e-05,0.9157613419352275,0.09945485127698629,4.3999999999999995
4500,7.44437889923719e-05,2.0390080248606147e-05,0.9139317324587265,0.10128691704418594,4.5
4600,8.289389444211573e-05,2.3138728549075805e-05,0.9121057904453603,0.1030953833455573,4.6
4700,9.203372934125664e-05,2.616936233034444e-05,0.9102835098784815,0.10488019851354964,4.7
4800,0.00010189540361471409,2.950128274177848e-05,0.9084648848519877,0.10664132827320053,4.8
4900,0.00011251094584836402,3.315431257877157e-05,0.9066499095731544,0.10837875513396654,4.9
5000,0.0001239122256739417,3.714876282792496e-05,0.9048385783655465,0.11009247781717804,5.0
