miliseconds,mLiver,mKidneyPlasma,mRemainder,mPlasmaVenous,mHeart,mMuscle,mAdipose,mBrain,mFeces,mUrineExternal,mIntestineLumen,mPlasmaArterial,mLung,mPortalVein,mStomach,mEnterocytes,mKidneyTissue,mIntestineVascular,mStomachLumen,mRBC,mKidneyTubular
0,0.6726923177972398,-0.004195983329755863,0.02788326518517435,-0.03370155570031671,0.027065022383903244,0.06958393269136955,-0.021493281585190142,0.02298359953845135,-4.527512301920218,-9.559972726185082,8.157324040296146,0.04535824873816955,-0.08829971979421979,-0.03028365264519215,0.029996456683493253,-59.01596653483771,0.5530582110466811,-0.828785410017673,-4.396885919428189,0.009574495675721002,39.03717229474825
100,1.3236620809710173,0.04206699392933341,0.03610395359601608,0.09135123791404422,-0.054537523992124845,0.08864702193485888,-0.01990607699658207,0.03163206353137212,-3.143464627931243,-6.193164488162769,445.7058353371081,0.016495242920998146,0.17690101814269754,1.5503536763871013,0.1900383127300791,438.502594626416,0.6366742180265129,14.493071453688776,7765.336422837162,-0.00423207810058369,-36.03002711449026
200,8.34218791329166,0.4834409189514524,0.12513163429352958,0.2948181734041963,0.3914535087756524,0.11437915320395194,0.0215561297660082,0.24794518848965721,45.644817719273654,5.3543259094310285,699.6503158213674,0.3010004373552432,0.9862676988866763,4.274878239313458,0.4492894014482254,1202.0677434464424,1.3194842939797977,32.90602016795691,7160.678420401939,0.011771470911672091,-40.22252244611834
300,17.142999660533405,1.1852820625521128,0.2666187689072101,0.9243371402045225,1.226773650900305,0.42750379031039465,0.1396340854284014,0.5780290909448067,96.50684469684136,-6.045979114793209,841.5812669768277,0.8834495190093552,2.3745076169555,7.006227621351722,1.2029539152824766,2046.7891198988837,4.722716212869308,50.904932760421325,6356.995506649722,0.008001062382228788,50.106030728359954
400,27.80917245692456,2.0694540478606656,0.5188469225086645,1.4773648122027974,2.5725658467468744,0.43515565082428403,0.2070708405253651,1.0362229442992743,183.07071594593083,7.531277128223153,970.5854051010502,1.4749875206779435,4.604251423804339,9.141194760221996,2.2836565216320257,2578.684611421608,10.113890094665878,65.76179278682883,5841.996021116157,-0.001712690260474492,29.051022010703637
500,37.651631067753975,3.190085179333198,0.8677862435213213,2.1409008917032417,4.242648238209193,1.0495921854542036,0.3913200112134254,1.472067821856335,216.9432091986649,9.548031076032197,1030.001279253064,2.1722030784854676,6.576522256199064,10.807405560571537,4.422877340350563,3123.9946582736734,14.732469115120324,78.06062523030279,5320.802480467645,0.017375035903052054,114.16216013572696
600,44.853603853527886,4.003430180248127,1.25151448096654,2.8284070047993897,5.5784672000233115,1.3604361195773613,0.5135747976777212,2.011995597517686,280.3895344402923,-4.13668652268362,1031.1608415345554,2.7199522861465066,8.014081933114982,12.14752507967278,6.390543176356497,3628.6948586893477,21.00134164541303,85.8253751926312,4822.9420941024655,0.03157162408501527,140.34736701543207
700,51.4708628396847,5.048595209066857,1.6900663125233752,3.364710341672788,7.09611846811929,1.449639066600625,0.8240942270266691,2.526998499771,356.28077268515074,-3.17860989935404,1040.7858719431954,3.2758328043760385,9.984378602498571,13.047084158986165,8.260466544821753,3936.684208269212,25.37799285222364,92.62941238163998,4302.143529021739,0.035210808023083406,298.25576554566
800,57.963766156947244,5.8725741037837755,2.216229063387751,3.9448748782589496,8.52983689476217,2.5443963565268453,0.9975143761478817,2.900458080185511,418.92978306070285,9.492265277919596,1021.4346881613537,3.781412367734384,11.567213903360708,14.01274642580603,10.122258323269122,4184.159493915211,30.069026142978554,96.47872948785243,3843.216814395951,0.05123761419074919,385.0654294247839
900,63.649533195904404,6.609355230887686,2.6347419115806514,4.283473193086096,9.824133646904473,2.8783934908122637,1.2606016758308503,3.285913828069829,503.0910647909047,15.849168427009651,1008.7960187208213,4.379494627000453,13.165249119503565,14.291294470686772,11.574215372193542,4354.262149504251,35.677731030563834,98.8007537414902,3437.7085691113152,0.05964865367981847,434.41361197003357
