milliseconds,z,y
0,0.10828062630313134,1.4163215420751007
100,1.5481192849740792,0.6577597241750451
200,1.585679211280732,0.6548075224210032
300,1.5731777010645343,0.6593282349925755
400,1.5815333960793665,0.6583385658597034
500,1.5566120728416735,0.6619789558233875
600,1.4982406727731057,0.6693908354304465
700,1.5081763845374971,0.6676194154460757
800,1.4531880297026933,0.6550548869715834
900,1.44610138934756,0.6577596682935544
1000,1.3875961371449304,0.6584276887474898
1100,1.4009274617925815,0.6483830120595592
1200,1.358841073218384,0.6557777910938002
1300,1.3459634289392688,0.667795908236218
1400,1.2941200222663294,0.6654227867897984
1500,1.284555312089973,0.6742928933871909
1600,1.2587440290631,0.6704506117109386
1700,1.2198018705705431,0.6506289589890317
1800,1.2171429607413422,0.6672371159819739
1900,1.184660766029276,0.6518784268931657
2000,1.144556168448971,0.6625772033494917
2100,1.1661923468284112,0.6755201584927919
2200,1.105654897514924,0.6766112963275316
2300,1.1070882679652283,0.6552409304556711
2400,1.0924895230681488,0.6677241095065277
2500,1.0477910940402284,0.6775406040049512
2600,1.0663449834244663,0.6674700665439864
2700,1.0280941830225276,0.6927217884828624
2800,1.023027064372198,0.6857273250056053
2900,0.9817094510134002,0.6797873185160705
3000,0.9724976377846424,0.7025962915552413
3100,0.9438616664810646,0.7129206932800274
3200,0.9293634194693446,0.6894374338343211
3300,0.9013378496997656,0.7038673211456824
3400,0.8914329874845859,0.7325536840204616
3500,0.8661880341943392,0.7312009231328205
3600,0.857272550893857,0.7253500241244958
3700,0.8759988583189275,0.7500405169921047
3800,0.8562307929954389,0.7601516876804466
3900,0.8335501758784565,0.7368496993149167
4000,0.8283522973683844,0.7631145626969008
4100,0.8129029325629644,0.7833992011178146
4200,0.7942824253498211,0.7760623141175418
4300,0.7866551279819649,0.7733840113067588
4400,0.7642423385397987,0.792081926695814
4500,0.7493992915767806,0.8026678061409375
4600,0.7054318959027506,0.8184367705950049
4700,0.7124567359765506,0.8347892078549682
4800,0.6844956780451139,0.8593303845785126
4900,0.7032571373301764,0.8501818231650278
5000,0.6952034454482918,0.8792139031555324
