miliseconds,species_1,species_2,species_3
0,-0.008402482402576237,0.009624622420820173,0.33396114097379587
100,0.07554247073730312,0.08386502912503616,0.37392188561934286
200,0.16013098043575344,0.1492267113683249,0.4260323916086824
300,0.20710890753087602,0.2265448938423861,0.4649080478416652
400,0.2758432887252616,0.26697142896154935,0.5002654978619681
500,0.32907519250701434,0.3166252305349657,0.5354065258908376
600,0.36246312807149605,0.3674233026601293,0.573401092734354
700,0.40807087742355314,0.4035803117292067,0.6015785152544286
800,0.4609182013848545,0.43972197568010635,0.630110102251697
900,0.4813326074012363,0.4658067219183795,0.659032137411296
1000,0.5164606615967995,0.48985561302394853,0.6918661199542954
1100,0.5701452082833197,0.5193054579027444,0.7135494259336082
1200,0.5860157922185606,0.531752765062405,0.7392928225669732
1300,0.617700242648302,0.5480538765067539,0.7631480902557707
1400,0.6551924018627359,0.5662405983011951,0.7811313793637932
1500,0.6828496398721519,0.570726915228995,0.7908672992337412
1600,0.6823874515689258,0.5902600805025244,0.8121975610605644
1700,0.7201623479818382,0.579101824949015,0.8279316190353014
1800,0.7432118680680503,0.5974891319568609,0.831907483141505
1900,0.7583243337879645,0.6083682077759243,0.8436561272896391
2000,0.7828030867689494,0.6128528781332093,0.8435401649615635
2100,0.8101709812105069,0.6043624264561108,0.8391884830101307
2200,0.8283182361269831,0.6136509451777454,0.8441956391806409
2300,0.8496292126373023,0.6173257520299748,0.839340987457137
2400,0.8542185211624169,0.6175053236354515,0.8427771549000557
2500,0.8682195976347016,0.6088356299634918,0.8328675073798751
2600,0.8927497453145138,0.6250260124617671,0.821947236944367
2700,0.917374318743643,0.6348992264304,0.8181240275278109
2800,0.928192947677346,0.6328074895103765,0.795351228367675
2900,0.9272819147481963,0.6431195718961655,0.7827669968793912
3000,0.9464730014029646,0.6516206800671165,0.7691398276686039
3100,0.9699869802524397,0.6648405549794022,0.7535411053592318
3200,0.9726968555026402,0.6710912611049403,0.7412164643357222
3300,0.9927325969407403,0.6851404967330877,0.718651666444097
3400,1.0120228220142433,0.7047679207557692,0.6937490674725287
3500,1.0086777386869203,0.7112389195027232,0.6851657049379317
3600,1.005018531119286,0.7461856755168951,0.6565514825525512
3700,1.0032970318739067,0.7518538202013451,0.6425004517471706
3800,1.023994127273049,0.7811738559012896,0.6246404020764308
3900,1.0303081131336647,0.7984243614740277,0.5958363633384978
4000,1.02244040608654,0.813310162723041,0.5765179495420006
4100,1.0001589042113022,0.8420831414421415,0.5666911599018472
4200,0.999180213969216,0.8493177868613476,0.548990557074787
4300,0.9953111032829647,0.883800581922657,0.537857146791964
4400,0.9682848964803438,0.8993392890507789,0.5144912259593581
4500,0.9573221786549535,0.9126405064057523,0.505934286555621
4600,0.9372484134031028,0.931911755974726,0.4977113226056287
4700,0.9191054295760792,0.9665155722589942,0.4993155542583681
4800,0.9075862943112976,0.9922985349189425,0.4935132229399948
4900,0.8752939944084157,0.9972986147134751,0.503439214112455
5000,0.8631786537987665,1.0287526457964795,0.5075937760058769
