milliseconds,T,N
0,0.9649155461964669,0.9133543645722912
100,0.9404961896404963,1.0678664328275547
200,1.0708607570757909,0.9049158349109869
300,1.1317460404971182,1.1444424059020197
400,1.028758744932532,1.0276657514831786
500,1.1300557933360726,1.1822558502512293
600,1.0997877979186137,1.1866995953316835
700,1.30107403270743,1.445256604663163
800,1.2630981753943133,1.5438301174584916
900,1.3302704986380385,1.434028854132485
1000,1.2884032961970542,1.559730152400574
1100,1.4770101982576236,1.6457060718143248
1200,1.3972386573538675,1.7664066760522863
1300,1.4571091103316134,1.6047957840817437
1400,1.553613378032011,1.7973336964320825
1500,1.5963026803770874,1.7233032007107387
1600,1.6143732346700874,1.876165157615188
1700,1.6317301487994076,2.054404623576107
1800,1.6464932469880147,2.2203518678706256
1900,1.7730774393638478,2.113798046370886
2000,1.7919234380405191,2.4900610470467868
2100,1.8004539605227834,2.4449632985999687
2200,1.8893006730863167,2.600263676901698
2300,1.8986814834486285,2.5503756889649773
2400,2.112427009963284,2.58334114148078
2500,2.1315241475441513,2.8127767921619475
2600,2.1185416944639215,3.1717509622367634
2700,2.254792977054777,3.066715249470081
2800,2.2887983686767206,3.251140862022431
2900,2.3031456090474594,3.2198785764180493
3000,2.3681996990064227,3.383023181936666
3100,2.614322628155666,3.77899687150976
3200,2.5775098474702727,3.816582702433799
3300,2.743429918588191,4.175955849357633
3400,2.7348174217390913,4.413658223361541
3500,2.9251190487567404,4.457701485062236
3600,3.020885743901561,4.435049740413569
3700,2.925536337008986,4.597987724414076
3800,3.0303936390777015,4.825188330471001
3900,3.219628607289913,5.240920203834484
4000,3.2022670819992696,5.3614068528468195
4100,3.3413860268102287,5.730502105727615
4200,3.5810601468143517,5.806145584054061
4300,3.6688159557817897,6.216177388831659
4400,3.710965331716205,6.281191672931454
4500,3.777699870839265,6.613781308389835
4600,4.043440001904408,7.056695397636071
4700,4.071847647732638,7.424144896062728
4800,4.166460743403705,7.522529728421088
4900,4.275975797689436,7.941416437237303
5000,4.5195254854724585,8.114677774740628
