milliseconds,T,N
0,1.007427612029561,0.8756475055330454
100,0.9523989191086573,1.0830246988205714
200,1.0089758582880735,0.8888391480288627
300,1.1149046667080904,0.9751581616632043
400,1.0297476613034158,1.2017404956906876
500,1.1048636094008433,1.0349791544493405
600,1.199224949035286,1.4926405838366608
700,1.1344977966758707,1.305470209120958
800,1.2485360008691382,1.3374372066440183
900,1.2706398936094525,1.6645023435415491
1000,1.3174584079814537,1.491139205621353
1100,1.4257835295086871,1.6112609269121343
1200,1.459996007989977,1.516483243109611
1300,1.4188504600924154,1.8752323945145186
1400,1.456417206064385,1.611078977385944
1500,1.5820644263656942,1.8373002767120228
1600,1.6640525268964506,1.8920090836875565
1700,1.7099231930492444,2.2487964396992894
1800,1.7420054968277658,2.132541117129625
1900,1.709130343150665,2.275421654249264
2000,1.8973500903762779,2.2480224590041664
2100,1.8290017483421408,2.444712921153845
2200,1.8404929305805087,2.6168883597636396
2300,1.986506597578598,2.5035344533953854
2400,1.985580059865527,2.872855852990026
2500,2.1354212623767466,2.870881569025239
2600,2.2718750328390955,3.2070346703100605
2700,2.191782085302035,3.2963751901414327
2800,2.2340442108711076,3.29024333294324
2900,2.421974777237344,3.530842687042649
3000,2.548467307573264,3.6549887064170496
3100,2.5437933601081277,3.6817929860228533
3200,2.6616927390648835,4.043647096035933
3300,2.775206677281645,4.143459656939897
3400,2.732368280709157,4.135548488722629
3500,2.8367513664314146,4.372963807825786
3600,2.987459851738947,4.7071021142228755
3700,3.0934333217191394,4.817065439802777
3800,3.1358176560076285,5.105646421844815
3900,3.2706974840117917,5.05666193052368
4000,3.3260157523077747,5.289551735749429
4100,3.4443922749554696,5.488473542437456
4200,3.531056579004747,5.945816976228896
4300,3.572740810613626,6.24423188501159
4400,3.8212651862964826,6.4541571906114275
4500,3.934061936042257,6.776212161102349
4600,4.043391748172082,6.878366312896467
4700,3.9802240113615377,7.19780316361034
4800,4.226592167641908,7.513321472243113
4900,4.271467855250524,7.746846193088287
5000,4.522987508175008,8.01421131773771
