milliseconds,T,N
0,1.0346936855596955,0.9985280640100096
100,1.045511151277039,0.8904764242886101
200,1.0858326423563909,0.9218418845188283
300,1.0695756034748052,1.3450242184124817
400,1.048218088575514,0.9903722674346077
500,1.143909269766452,1.070197807358845
600,1.1961628784129876,1.1923111328043854
700,1.1856153107167584,1.5049475934709329
800,1.3396500090396657,1.2319635611980093
900,1.3181578284109303,1.514712530915168
1000,1.3596912145367164,1.424243112098632
1100,1.456013984094653,1.5038017567870265
1200,1.4062692921109525,1.5305719206912118
1300,1.3794308089157639,1.925049282336382
1400,1.4451694777928101,1.933336823626445
1500,1.654687429234198,1.775662700621869
1600,1.6282165850369552,1.8074615852471123
1700,1.7177583356729778,1.911480605783623
1800,1.773004724804436,2.0011693100536783
1900,1.7454306453686457,2.236767820161004
2000,1.7398717389872704,2.506168816187338
2100,1.821695697784287,2.636743273857579
2200,1.8313739934299849,2.705607288844827
2300,1.9858147231923438,2.630407282010709
2400,2.0418633763522807,2.757027124639901
2500,2.037830369585606,3.001067569616265
2600,2.2374540424511626,3.068540340853713
2700,2.2687441066083305,3.0149135701894147
2800,2.2942021530026886,3.3715401279043427
2900,2.4180863130248684,3.3886345031018386
3000,2.371200022093032,3.5509662920005702
3100,2.433605800070513,3.701269919337388
3200,2.6603946990360288,3.7499899683531166
3300,2.5860290736033695,4.089353928474985
3400,2.7899878087718646,4.1407118017411975
3500,2.873376651489283,4.225470324406131
3600,2.9744425475601983,4.747323613568469
3700,3.0638054991401478,4.611948455449381
3800,3.0181262158140423,5.040532755423442
3900,3.2799915948867904,5.0229584354743855
4000,3.253648725065128,5.551323973216256
4100,3.482342558076379,5.6505986405564075
4200,3.5144593002522675,5.7897338423762505
4300,3.703241448127337,6.311129927421169
4400,3.721014581584373,6.421188741882174
4500,3.8094294117066823,6.583576326848819
4600,3.9596112057802397,7.006392613268535
4700,4.161597184724422,7.345262085843631
4800,4.230367997218722,7.616215697576201
4900,4.304839595352004,7.912708125020045
5000,4.505093328661478,8.329407794743483
