milliseconds,T,N
0,1.0091082833527383,0.9317765133299093
100,1.0650846084876717,1.2093445086130594
200,1.1365304599607051,1.2632237788143759
300,1.074410233984534,0.9568758960375804
400,1.2242107443085797,1.2542888694352938
500,1.1937124360231752,1.4125138924672527
600,1.174379871513948,1.2077599137004762
700,1.1570432892482783,1.4583583394870756
800,1.260547341301912,1.3323724062176683
900,1.2931536781858801,1.3867926553749064
1000,1.2878469889415134,1.6455027059266998
1100,1.392400578269626,1.6449798878666744
1200,1.5315681735885465,1.6512331857015348
1300,1.5112348852568265,1.8981594079763484
1400,1.5142352419472225,1.8575284933330556
1500,1.638597229438937,1.8672827666478726
1600,1.5585177090101168,1.9426132459305177
1700,1.5630608162781736,2.121695798524999
1800,1.7529671860774603,2.1704625913038624
1900,1.8261652042221603,2.3811000052469478
2000,1.7322942625125466,2.4911298462907716
2100,1.8561243749245029,2.451044389879824
2200,1.8560013993254896,2.5733450924263708
2300,1.9967559715409708,2.578884871167812
2400,2.1201866686160096,2.7741558176699352
2500,2.0197999046459048,3.071396728232304
2600,2.191916807477772,3.138099723627441
2700,2.333450797677581,3.0969951363097095
2800,2.406294479990875,3.3528370475727973
2900,2.3719746912373108,3.592742127326601
3000,2.431462041339358,3.628869167707053
3100,2.460881599528011,3.851420300505632
3200,2.611647976752945,3.7356732521773868
3300,2.768157167515568,4.199275380139978
3400,2.7890420050882385,4.226979700830474
3500,2.8184502733031014,4.2772267067688565
3600,2.9507132242965395,4.422531302099121
3700,2.956815928120238,4.728022734572801
3800,3.1469610279847138,4.9980848893467265
3900,3.1404364046587947,5.129870277502035
4000,3.286282252285276,5.3229746069062625
4100,3.378914100973494,5.488525237195861
4200,3.5572855499564198,5.97484271795867
4300,3.5502670226837134,6.122089509040428
4400,3.6361883738245564,6.4875789868884555
4500,3.8418080237165713,6.867105368497152
4600,3.951495994120493,6.830442746200624
4700,4.08156510827193,7.37478296633727
4800,4.254470250071102,7.708719255289483
4900,4.278413737195646,7.814231087290752
5000,4.543609401182051,8.137447971640507
