milliseconds,EGF,I,RE,Rd,Rp,GS,Rp_GS,Shc,Rp_Shc,Rp_pShc,pShc,Rp_pShc_GS,PI3K,Rp_PI3K,RasGAP,Rp_RasGAP,IRL,IRp,IRp_PI3K,IRp_RasGAP,IRS,IRp_IRS,IRp_IRSp,IRSp,iSrc,mIRS,mIRSp,mIRSp_GS,mIRSp_PI3K,SHP2,mIRSp_SHP2,GAB,mGAB,mGABp,mGABp_GS,mGABp_PI3K,mGABp_SHP2,mGABp_pSHP2,PIP3,dRas,Raf,aRaf,Mek,Erk,pErk,PDK1,Akt,pAkt,mTOR,Null,aaRaf,PKA,pShc_GS,ppMek,mGABp_pSHP2_GS,R,ppErk,IR,mPDK1,tRas,tRas_PI3K,ppAkt,mGABp_RasGAP,amTOR,iGS,imGAB,imIRS,aSrc,Ri,IRi,iPX,aPX,aPX_GS,IRSp_PI3K,IRSp_GS,IRSp_SHP2,GABp,GABp_PI3K,GABp_GS,GABp_RasGAP,GABp_SHP2,GABp_pSHP2,GABp_pSHP2_GS,imGABp,bRasGAP,phosphorylated_Akt
0,1.0,0.0,0.0,0.0,0.0,200.0,0.0,270.0,0.0,0.0,0.0,0.0,200.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,518.0,0.0,0.0,0.0,0.0,300.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,100.0,0.0,200.0,400.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0
100,0.9803039542488626,0.0,0.6686852601041703,0.0004852482126739545,4.187191534550036e-06,199.99999998845072,1.1515905980974356e-08,269.9999996902021,3.080462765745862e-07,1.7119285337186272e-09,6.396586523112062e-12,3.32299140433037e-11,199.99999983897456,1.6102559408914306e-07,49.99999999997123,2.8792381598221668e-11,0.0,0.0,0.0,0.0,299.99999999965513,0.0,0.0,7.740280674950697e-23,517.9999995303518,3.4506642951851336e-10,1.4093141309958047e-19,1.0255440643545069e-22,1.575636063951605e-21,300.0,2.338923184343199e-22,224.99999999997414,2.5901871923223487e-11,2.0856493778674186e-17,7.008380449203558e-20,4.659420511173632e-19,3.4805535778781625e-20,1.0249479498746836e-30,1.1743458871396373e-08,149.99999999921303,99.99999999999977,2.2906620635810296e-13,200.0,400.0,2.868038881798387e-28,99.99999999988586,99.99999999999906,9.54513757204092e-13,100.0,5.915987338404044e-10,3.063746606684804e-22,100.0,1.771633120901596e-13,2.57804108910284e-25,1.3739631837458235e-32,99.33033444446134,4.579701246256078e-58,150.0,1.1414353042459262e-10,7.869566130727977e-10,0.0,8.755454053382789e-32,8.714618540452915e-23,1.8341555870978153e-15,5.096056574452926e-63,2.410438024199084e-75,2.6682116555506794e-30,4.6964816430593426e-07,2.2993402531347494e-07,0.0,200.0,0.0,0.0,8.1617141549085565e-25,5.408422055158719e-26,1.22722960434162e-25,1.1442954830950801e-20,2.410868738680374e-22,3.626220559145776e-23,4.510173597764614e-26,1.8270087252356618e-23,4.583298932299369e-34,6.0026483090294375e-36,4.457610467629503e-81,1e-05,9.54513757204092e-13
200,0.9611998212109438,0.0,1.3116714054421603,0.003691978369455217,5.582922203582744e-05,199.9999996800977,3.161929853572051e-07,269.999991512623,8.389872822012288e-06,9.311496031146615e-08,6.799335070639616e-10,3.67064363559808e-09,199.99999558728487,4.412715328067675e-06,49.999999999209386,7.906291447506326e-10,0.0,0.0,0.0,0.0,299.9999999635916,0.0,0.0,3.9823562500030263e-19,517.9999871336861,3.6408585212900655e-08,3.765578170908465e-16,4.0142454173212183e-19,8.238368280881094e-18,300.0,1.2112684825234184e-18,224.99999999726472,2.735287292120175e-09,5.500048023431071e-14,3.6207127224177013e-16,2.406626304343437e-15,1.788591899091319e-16,1.2502929535568703e-25,6.047238826069899e-07,149.99999995560324,99.99999999997381,2.6177522947210615e-11,200.0,400.0,6.038100232892717e-24,99.99999998805092,99.99999999982617,1.7381922382509568e-10,99.99999999999932,6.122576972985804e-08,1.812079328245315e-18,100.0,3.875216594410739e-11,2.8986060999953635e-21,2.8841638985549963e-27,98.68079392117207,1.0091092873511569e-49,150.0,1.1949112948258588e-08,4.4396733414669825e-08,0.0,9.61587430277155e-27,4.48042023428105e-19,6.796062755799152e-13,1.463579938067977e-54,7.021648208836588e-65,1.7545357258469395e-25,1.2866313739869864e-05,6.312216184043735e-06,0.0,200.0,0.0,0.0,8.09828491463128e-21,4.0890525697467576e-22,1.2201788703944602e-21,5.80705062906192e-17,2.3616991893668985e-18,3.553012860399333e-19,4.399469944066769e-22,1.8035977801272348e-19,9.632726005358837e-29,2.1350496620625004e-30,2.9035240332589596e-69,1e-05,1.7381922382509568e-10
300,0.9426640557920967,0.0,1.9250582033936101,0.011815913178327022,0.000237951532646592,199.9999978676459,2.0770102311444353e-06,269.9999443744736,5.465323407812199e-05,9.072342487366531e-07,9.714271862183522e-09,5.448695089839997e-08,199.99997107197035,2.892802950337347e-05,49.99999999480602,5.193999135113364e-09,0.0,0.0,0.0,0.0,299.9999994823341,0.0,0.0,5.3561894694357216e-17,517.999915679504,5.176659383762342e-07,3.3851620978708967e-14,4.3186290309686794e-17,1.1269128315895574e-15,300.0,1.6402395447139656e-16,224.99999996107294,3.892183227697696e-08,4.879345552065198e-12,4.893132007839426e-14,3.2515879930959667e-13,2.4035560052810377e-14,1.1786610152795476e-22,5.59676427245798e-06,149.9999995492598,99.99999999959648,4.034485648171082e-10,200.0,400.0,2.0553775448431968e-21,99.99999983147849,99.99999999675005,3.2499404084575237e-09,99.99999999998056,8.679558533515549e-07,2.763956400280647e-16,100.0,8.569155928788484e-10,6.626430413990223e-19,3.959439495964686e-24,98.05057789693124,1.1072707157504353e-44,150.0,1.6852152431754974e-07,4.5074014256157105e-07,0.0,7.709962505217142e-24,6.023937959898025e-17,1.94564890365167e-11,2.1384999242301747e-49,1.9523985695779944e-58,1.0729148758473245e-22,8.432049574258861e-05,4.145618450561323e-05,0.0,200.0,0.0,0.0,1.6475888530136687e-18,6.618047606196038e-20,2.4875222193574437e-19,7.702288003591434e-15,4.742647716105074e-16,7.136587635395026e-17,8.795086792886866e-20,3.650916118503757e-17,1.3241279198665194e-25,4.22697460989207e-27,4.6262616835799135e-62,1e-05,3.2499404084575315e-09
400,0.9246737572503584,0.0,2.5059021136844986,0.026487082240458062,0.0006385971864461599,199.99999201251046,7.623766246884344e-06,269.9997962981564,0.0001988933593767495,4.3836032938512925e-06,6.11589800872798e-08,3.5629863648376297e-07,199.99989403844984,0.00010596154054829877,49.99999998093325,1.9066759589079023e-08,0.0,0.0,0.0,0.0,299.99999674870264,0.0,0.0,1.5997273821209836e-15,517.9996912374572,3.251296665742347e-06,7.549244775818903e-13,1.0690759735202407e-15,3.4254836638344635e-14,299.9999999999993,4.933392813670815e-15,224.99999975528138,2.4459913401086536e-07,1.0737710142266406e-10,1.4693887089246394e-12,9.761868537234947e-12,7.175000686428747e-13,1.3899466248854833e-20,2.5772601365776047e-05,149.9999977206834,99.99999999725145,2.7484332489197236e-09,200.0,400.0,1.2567657659263418e-19,99.99999895036271,99.99999997586637,2.413364389226393e-08,99.99999999980366,5.448984012504872e-06,9.325356487069118e-15,100.0,7.423224919707823e-09,3.01417567252673e-17,6.29608241271004e-22,97.43890774651216,4.297738383816525e-41,150.0,1.0496372989257834e-06,2.2793165391802197e-06,0.0,7.889096522399365e-22,1.7991929567996653e-15,1.963521165563563e-10,1.1273208073661007e-45,7.649539083991059e-54,9.283668961602861e-21,0.0003087625424757309,0.00015213797742771006,0.0,200.0,0.0,0.0,6.688898185198603e-17,2.205114063053338e-18,1.0119373140393744e-17,2.268285299613583e-13,1.9001913029705814e-14,2.8600298239118737e-15,3.507116497117036e-18,1.4748396111966458e-15,2.1086437231498328e-23,9.038422813850219e-25,6.323203273687618e-57,1e-05,2.4133643892264717e-08
500,0.90720672770117,0.0,3.0521970012129236,0.04880059529400146,0.0013334414105998784,199.99997808628214,2.038627702083772e-05,269.99945658679894,0.0005271919595794766,1.4447665294895388e-05,2.4615467604577894e-07,1.4888945640172202e-06,199.9997172590388,0.00028274083239134413,49.99999994900932,5.099066632772213e-08,0.0,0.0,0.0,0.0,299.9999869158781,0.0,0.0,2.0891872819556862e-14,517.9991763869858,1.3084113527699123e-05,7.856921935319368e-12,1.1903345791103756e-14,4.554852624061161e-13,299.9999999999906,6.488869171868291e-14,224.99999901423058,9.845064644241526e-07,1.1028290437223194e-09,1.9303745891898355e-11,1.2820968748362347e-10,9.368132981995836e-12,5.164094649076257e-19,8.121042461137724e-05,149.99999210617804,99.99999998799744,1.2002319898451258e-08,200.0,400.0,2.9562163912104264e-18,99.99999581189532,99.99999989132162,1.0867839646004976e-07,99.99999999887581,2.1935333057678018e-05,1.374965422118952e-13,100.0,3.852691872939081e-08,5.617712949600067e-16,2.959457338746838e-20,96.84502874183974,2.2628446477495633e-38,150.0,4.1881046921869e-06,7.89382195901503e-06,0.0,2.587304868916665e-20,2.3504200176850153e-14,1.124201231455248e-09,7.30034323593579e-43,1.8021902473495834e-50,2.7244023414459047e-19,0.0008236130140530272,0.0004067423740461292,0.0,200.0,0.0,0.0,1.1141223413226748e-15,3.092862449881602e-17,1.6888287855412864e-16,2.9209885244871303e-12,3.123643691380999e-13,4.702648873930175e-14,5.736842140977514e-17,2.4445915187200387e-14,9.926690949102473e-22,5.378638999138814e-23,3.692339909115682e-53,1e-05,1.0867839646007563e-07
600,0.8902415268528617,0.0,3.562812974247849,0.07936677484151097,0.0023792681286084667,199.99995048576253,4.4677503602887154e-05,269.9988119743866,0.001145015974623564,3.74256264833815e-05,7.474295114685968e-07,4.6918170275570814e-06,199.9993817180897,0.0006182809035321172,49.9999998882393,1.1176052586783003e-07,0.0,0.0,0.0,0.0,299.999960193262,0.0,0.0,1.6205257354050895e-13,517.9981995737019,3.9806683072799974e-05,5.0659852627899046e-11,8.04511310652303e-14,3.5982052811675652e-12,299.9999999999268,5.069386633066819e-13,224.99999699793975,2.9937936505150342e-06,7.016782533097539e-09,1.5067014223072727e-10,1.0004273001452351e-09,7.265973206718714e-11,9.322223920259806e-18,0.0002017345797508842,149.99997843387726,99.99999996036037,3.963833147488722e-08,200.0,400.0,3.795476911816864e-17,99.99998736890701,99.99999964191822,3.5808179695998674e-07,99.99999999548739,6.677835150716984e-05,1.2049498411785594e-12,100.0,1.447656652057263e-07,5.963996640447378e-15,6.467807588788462e-19,96.26821191299726,3.6654485860965986e-36,150.0,1.2631093004430703e-05,2.156612275358684e-05,0.0,4.1773263420584394e-19,1.8240135135640998e-13,4.512643961991023e-09,1.398602539946116e-40,1.0652750613591334e-47,4.067312327302352e-18,0.0018004262980826752,0.0008912092168893163,0.0,200.0,0.0,0.0,1.0569450465784598e-14,2.522015333211575e-16,1.605165289066354e-15,2.234154676082421e-11,2.924853511831965e-12,4.404496875114762e-13,5.344678984327645e-16,2.3079907290570133e-13,2.1727338853143726e-20,1.4218759019849155e-21,4.548661653159876e-50,1e-05,3.580817969604045e-07
700,0.8737575187576329,0.0,4.0374042248357025,0.11837462182497795,0.003812609393874655,199.99990195812288,8.542845698935954e-05,269.997733987313,0.0021693625441536286,8.21675174420644e-05,1.8700316021950304e-06,1.2176961779976846e-05,199.99882043233228,0.00117956216541538,49.99999978627654,2.1372246549903653e-07,0.0,0.0,0.0,0.0,299.99990001715014,0.0,0.0,8.796634889696708e-13,517.9965663033074,9.99825906641551e-05,2.352785764389932e-10,3.868340534739998e-13,1.989818671978058e-11,299.9999999996016,2.7717060224932754e-12,224.99999245200885,7.509019292054265e-06,3.2147084901969324e-08,8.231225717709989e-10,5.463833266674135e-09,3.943709927144414e-10,1.025328126857581e-16,0.0004259379374579424,149.99994989809514,99.99999989189433,1.0809818248924928e-07,199.99999999999997,400.0,3.2237849447510995e-16,99.99996855526635,99.99999904636576,9.536342747942368e-07,99.999999985788,0.00016786345882571657,7.392392595504667e-12,100.0,4.356320470538717e-07,4.308533652144072e-14,8.38912574922898e-18,95.70775563775948,2.6294339770363978e-34,150.0,3.144473365785175e-05,5.0101904861495045e-05,0.0,4.158182452472771e-18,9.905743450865177e-13,1.4212030192209614e-08,1.1673554531702256e-38,2.2795214029187317e-45,3.824811468711142e-17,0.003433696692366369,0.0017037202969803348,0.0,200.0,0.0,0.0,6.821152326932695e-14,1.4206404434798403e-15,1.0377716054180564e-14,1.195615014785369e-10,1.862911200424316e-11,2.8060757319596045e-12,3.3865160206834647e-15,1.4822010665706783e-12,2.822554642701e-19,2.1736619029096325e-20,1.7800222331894349e-47,1e-05,9.53634274798395e-07
800,0.857734907774587,0.0,4.476297307545988,0.1656625334910859,0.00565090599924552,199.9998235246954,0.00014792394301459518,269.99608619115145,0.003721281756485997,0.00015991603568242093,4.063177478588966e-06,2.743295963975337e-05,199.99796221480773,0.0020377620062051803,49.999999629881884,3.7011395265763814e-07,0.0,0.0,0.0,0.0,299.9997815223653,0.0,0.0,3.682340271481155e-12,517.9940701588108,0.00021847667197819696,8.607754723960471e-10,1.4533843821377131e-12,8.488216637971717e-11,299.99999999833096,1.1687065880627065e-11,224.99998348927352,1.6366030187220276e-05,1.1595925033706638e-07,3.4676862669552662e-09,2.3011376693604467e-08,1.6503321523150708e-09,7.857181144498606e-16,0.0007993509826815704,149.9998965163731,99.99999974347352,2.564913947896609e-07,199.99999999999977,400.0,2.0267676798674028e-15,99.99993190750196,99.9999978224035,2.1775965398779373e-06,99.99999996245715,0.0003671411040020293,3.498668266092938e-11,100.0,1.1149192900690194e-06,2.351674542219433e-13,7.436332349393671e-17,95.16298686433592,1.0544843303767694e-32,150.0,6.80924980395712e-05,0.00010348362690181301,0.0,2.9154940012566537e-17,4.147700597346882e-12,3.7542873729205956e-08,5.426597535277733e-37,2.3656152060987027e-43,2.571316737081719e-16,0.00592984118911875,0.00294940754234854,0.0,200.0,0.0,0.0,3.325035910885119e-13,6.118664480517537e-15,5.067304081308166e-14,4.932327088153295e-10,8.960045774130368e-11,1.3500091386105824e-11,1.620127841089656e-14,7.1880191704333316e-12,2.506010540334486e-18,2.228850859993308e-19,3.121055857687359e-45,1e-05,2.177596539907092e-06
900,0.8421547622876927,0.0,4.880370464262228,0.22079081714932117,0.007894889307791109,199.9997044103163,0.00023756307685709715,269.9937306848358,0.005919388800292727,0.00028398108871218705,7.93071390354582e-06,5.549192031231351e-05,199.99673504732746,0.0032648724955751094,49.999999405520285,5.944654083097096e-07,0.0,0.0,0.0,0.0,299.9995704331324,0.0,0.0,1.2652404770904289e-11,517.9905026719736,0.000429563883532006,2.6276923457664106e-09,4.530824193432601e-12,2.972859286220774e-10,299.99999999426507,4.044999431093277e-11,224.9999675022908,3.204965359154425e-05,3.487581291306683e-07,1.1988522264694475e-08,7.9530471434703e-08,5.666402304229644e-09,4.565751968887512e-15,0.0013722307470619571,149.9998044729029,99.99999945228394,5.475800221548346e-07,199.99999999999898,400.0,1.0129246318250862e-14,99.9998673432851,99.9999955722568,4.427743249951538e-06,99.99999991317354,0.0007225737730450437,1.3592780276675236e-10,100.0,2.522641012709282e-06,1.0368259550531141e-12,4.921397608563936e-16,94.63326191778152,2.616116303945452e-31,150.0,0.0001326567148859503,0.00019552709714660256,0.0,1.5665424908782457e-16,1.4249617834298714e-11,8.682647899347097e-08,1.5313339588578038e-35,1.2622246721418592e-41,1.3391420187747353e-15,0.009497328026469328,0.004735560970609596,0.0,200.0,0.0,0.0,1.309216452357928e-12,2.1502726700807413e-14,1.9984113987666401e-13,1.669237060270137e-09,3.479771747031521e-10,5.24445875890556e-11,6.25756102356101e-14,2.8146465424927666e-11,1.66122814914794e-17,1.6805260461036063e-18,2.5327687967558346e-43,1e-05,4.427743250108192e-06
