miliseconds,T,B,E,R,V
0,3.0259109184012694,0.000638891513118053,99.31558313762068,1.0854276894589967,0.0
100,3.0158909362488773,0.0024486569565045748,114.75611688402184,1.1560743819955828,0.0
200,3.0924957099077486,0.002585957999805765,124.36463320116893,1.3192150719883857,0.0
300,3.155666710350841,0.002906038253371,131.69670087323968,1.4880908719137291,0.0
400,3.276195718565134,0.0033627800075412685,139.58571074210408,1.430102672708082,0.0
500,3.3547422860802403,0.003164326311548337,144.69053635861778,1.5661138683674123,0.0
600,3.3806397798427623,0.005249639451196703,149.5211259896166,1.6719634921418616,0.0
700,3.393683909716399,0.007552933689577961,153.93292799816294,2.0647689559871574,0.0
800,3.5607183609431745,0.009044858619018646,157.48979435146296,2.1097259621063684,0.0
900,3.510357306856235,0.011017565120105904,161.14826098270152,2.264159857395027,0.0
1000,3.576415973360044,0.01102180797399894,162.35637386669387,2.452213368122893,0.0
1100,3.6529455981200116,0.010654638806348553,166.1980700662923,2.669915531297912,0.0
1200,3.808309528053699,0.014474532129103431,167.9993444478,2.625147796717187,0.0
1300,3.820976261815389,0.012965753713665712,170.09763134578682,2.98164664660351,0.0
1400,3.8855655032544107,0.014705880484754687,172.41574862925214,3.117145230292898,0.0
1500,3.9492654243400396,0.017574457297471348,175.0060241538732,3.239541625970475,0.0
1600,4.079158746265458,0.020077038055487263,175.93006413026592,3.4169051046409753,0.0
1700,4.212649596820975,0.019998978151280673,177.8696571487769,3.728844760483775,0.0
1800,4.184764799113534,0.022312089016165673,178.28186372590164,3.9048824794513526,0.0
1900,4.368585517158542,0.024908622837369884,179.86000695982602,3.8276779690940477,0.0
2000,4.35328025785152,0.02681022143505486,181.39166276300884,4.179887120493346,0.0
2100,4.448210447101152,0.029043002207097213,182.356118114016,4.368482696760102,0.0
2200,4.6456710864294495,0.029728984512074202,183.16013363698784,4.433596895755433,0.0
2300,4.728166552085564,0.03213469900080334,184.21279407085743,4.678000166135426,0.0
2400,4.758475558057588,0.03253434912276533,185.36410347571038,4.775508663502437,0.0
2500,4.81489231402502,0.03624946221679814,186.01793566526854,4.9672858388732255,0.0
2600,5.003631593188813,0.0366583204809565,187.55584983589432,5.367447046117974,0.0
2700,5.009840174367374,0.040954555151218104,189.48420065309546,5.315090009037924,0.0
2800,5.149288066050904,0.04116295762565664,188.58663595972763,5.534376313580841,0.0
2900,5.200933789955482,0.04409745157070861,188.751367542276,5.744742526246954,0.0
3000,5.335301297699543,0.04647431579029229,189.59097470622478,6.142375365390078,0.0
3100,5.418531460178459,0.04863333849419423,190.95334891439182,6.143451789335778,0.0
3200,5.525035196817367,0.05408365917342926,192.34226787692546,6.483736749845819,0.0
3300,5.602423033004557,0.055555395491977,192.25915707940263,6.70294890275471,0.0
3400,5.765800828655073,0.06027062850433364,193.21506339501676,6.736428209858159,0.0
3500,5.932000242015481,0.0621873758436121,192.46243090645478,7.0097287824649674,0.0
3600,6.034030243152968,0.06491869790379286,193.95109310447134,7.091219794756479,0.0
3700,6.071647103934323,0.06813529675829452,194.42257107638602,7.447024231378654,0.0
3800,6.200736807870466,0.07235427079251322,194.09817542574189,7.604755033516015,0.0
3900,6.4024413332051235,0.07502472553216166,194.7026873598429,7.817642850989518,0.0
4000,6.495527655804679,0.07874547288072786,196.01289356365476,7.913405139695101,0.0
4100,6.570445344313156,0.08212002981484137,194.9996667898117,8.012158009958306,0.0
4200,6.710436795337619,0.08697846015142542,195.4510674098388,8.23873612320306,0.0
4300,6.807976839731419,0.09024035836414913,195.00481552822495,8.486866740888185,0.0
4400,7.0213154118434185,0.0946080753503258,195.7064373243548,8.799952962833917,0.0
4500,7.131695142193563,0.09805858672954398,196.95752605410271,8.791614070607121,0.0
4600,7.19324768427746,0.10424890353384648,197.58339220921704,8.984980224810789,0.0
4700,7.311755927570648,0.10824257760460475,197.49482039103734,9.39608223193909,0.0
4800,7.471183446760329,0.11123203231458115,197.05240506200002,9.552414636861183,0.0
4900,7.6179542930142405,0.11841539551544698,197.3885040188056,9.80877644189493,0.0
5000,7.772171949689853,0.12266150680049738,197.27552111445638,10.024937442491092,0.0
