milliseconds,S4,S10,S12,S19,S20,S23,S18,S3,S13,S24,S26,S5,S17,S22,S25,S27,S16,S2,S14,S11,S21,S15,S1,S28
0,0.419217685830366,203.29682953773732,2.4183985933276267e-06,-0.0008999849701953362,0.0005249501481212411,0.03202832537451418,-0.0004853609218111874,6.151348977296358,-0.001204723587045971,-0.00011652553382511686,-0.0009600591819773512,0.9999999853073002,8.418671088043265e-10,3.3074690524542305e-09,1.4195977728842255e-09,6.525290809617048e-10,1.526330933854889e-07,0.05994865394387895,-0.0007255882081163645,-0.07677343863564039,-0.019776527286981174,0.0015882778316821844,25.52466552126678,4.854715508627598e-09
100,0.424923216263862,663.2080767905071,6.394512121837571e-05,0.00023450529461188733,0.0011379464538392248,0.918561264231726,0.0542588261698002,4.819141091717944,0.12976401138528856,-9.762668814792305e-05,0.00013038484520909698,0.9999976111322868,7.61021249612352e-07,5.690607443738855e-07,3.502467489641156e-07,1.5494095289130383e-07,1.7428816251405057e-07,0.023703703293006848,0.03782264640136937,0.3699628947613767,0.019034913578571115,0.002027098105298861,30.347495545189425,5.314206161230146e-08
200,0.42910521539063634,1730.6416280957053,8.552249671251408e-05,0.0006527151155042542,0.002113300206727288,1.5422594705997348,0.04887335042505974,4.21543238330131,0.0925804049387743,-0.00010386065386996682,0.00220999455180964,0.9999961184665411,7.349423345823379e-07,7.26107039201559e-07,6.943893992171411e-07,5.753281972373221e-07,2.786311491955516e-07,0.025463820539726522,0.03620642079499983,0.39581001405143945,-0.009299969954446348,0.0028217059528479636,36.41886027773999,4.0504453527530336e-07
300,0.43493757873173616,2283.229727404452,0.00010433600384375947,0.0013775915944494426,0.003758589241984015,1.8117736890273874,0.04268660079557019,3.7212696138000725,0.07347341225126978,0.00011273354238184901,0.0003861040732636541,0.9999943586430108,6.445953190126431e-07,6.562067314238219e-07,6.849336181311838e-07,6.87868795321373e-07,2.16507894434062e-07,0.027761735945507727,0.0332234851517417,0.42366427399279044,0.0015574967043421658,0.000850325334472261,41.117356000261275,6.451602136152817e-07
400,0.442774981822875,2962.104823561947,9.650248449028667e-05,0.0019724698234326607,0.0045203355139596295,2.052714362110021,0.03642878851176244,3.433834569323082,0.05713829887161758,7.315542549372149e-05,0.004626556755101622,0.9999937743000182,5.168208428242549e-07,5.831281832810131e-07,5.990603271802403e-07,6.49755268176072e-07,4.5322673415527914e-07,0.028714774850536688,0.031774405078117095,0.5724882716267743,0.014236928898900835,0.004447601558793159,44.7981741705607,6.666194185256854e-07
500,0.4479550029492926,3637.941063327964,0.00011572727915229392,0.004631784106024238,0.00541205413558871,2.13997047046106,0.031356362645819105,3.218101390888158,0.0439114856387106,7.404959542393941e-05,2.965707561147085e-05,0.999992830644714,4.509600665796775e-07,4.853599663715822e-07,5.015720390660402e-07,5.669291248617265e-07,7.682167721896097e-07,0.03028782820738613,0.03230979734353317,0.7532597405348358,-0.0067792976437599985,0.012161711621763837,48.589129139710124,5.920455903577317e-07
600,0.4618590001693165,4053.851573608448,0.00012116083019719042,0.004782082012370741,0.005869794367588312,2.202177677377899,0.029719101118156472,3.060842097683277,0.03615461566193556,-5.7061635877903204e-05,0.0009792011538149736,0.9999917041766184,3.886224160628844e-07,4.055792460721862e-07,4.3959199139465256e-07,4.824707473943733e-07,8.260028644475065e-07,0.031496583269234206,0.03104651948459696,0.7789393610327007,-0.003261061459355486,0.014393363413869776,50.877164554288306,5.19123102179449e-07
700,0.4632200799401447,4321.346632162244,0.00014529301829606264,0.00688798406026144,0.005100056288550712,2.261160496400072,0.025586245567383224,2.930446544518386,0.03259767858449891,7.678017305850449e-05,0.009112142439707234,0.999990244841343,3.452477438258505e-07,3.4767976267136005e-07,3.7564471248311386e-07,4.077180427766021e-07,1.1387363599074707e-06,0.03195577595045656,0.030899377898116195,0.9664110128815935,0.00392185623306969,0.01843961212413775,52.5700812297354,4.296701401547265e-07
800,0.4683241645778784,5083.648843117132,0.000146643348812575,0.006307216148462394,0.0065058975555092385,2.2429587328402167,0.023361862598612667,2.903980566712508,0.02795552917740103,0.00015688289937751512,0.0034660328746960066,0.9999902114310458,2.888587851041846e-07,2.980787203406512e-07,3.4007866685436237e-07,3.3650733366345195e-07,1.10959127942493e-06,0.03279209906773867,0.03092627632447923,1.0783801737634695,0.015593302014893541,0.018712447913172496,53.47919132260998,3.863397883984187e-07
900,0.47021773109062714,5354.008012708322,0.0001682811129281265,0.00922060126461009,0.007664258512434295,2.2004888833157183,0.02122656251266782,2.833559490193873,0.023643897735670518,0.00015221684796329436,0.011216857124009003,0.999989431587582,2.621548338030519e-07,2.639349754230433e-07,3.041273318036127e-07,2.9617572446769506e-07,1.620271916856321e-06,0.03287666214377991,0.02966927595921761,1.0827662732116765,0.024256520197925204,0.02216151693608167,54.60133432813767,3.4004781233189814e-07
1000,0.47426080349476724,5528.0193417722785,0.0001583570950677835,0.007749297178409447,0.007284967750528829,2.20334561773868,0.018963009241889192,2.622508982308566,0.023717619803411586,0.00029850594001335276,0.01226901863409741,0.9999886152610304,2.2887794461920017e-07,2.3920318647881977e-07,2.531206186708445e-07,2.83879304937995e-07,1.4327121610633367e-06,0.032852014830762125,0.030258515021254692,1.1858372536296693,0.07886684643338625,0.026236650579467183,54.36096472588317,2.8112932740277954e-07
1100,0.4894027516734115,5685.242455307306,0.0001657701727530043,0.010402120330264658,0.006967541809628586,2.1662320062892553,0.017505188482363713,2.471582384861359,0.01821298754375612,0.00031174493707934086,0.015958653575045414,0.9999880547988284,2.241468730189027e-07,2.459263282834956e-07,2.538984949276746e-07,2.385898432845442e-07,1.5838507141982497e-06,0.03261666164124031,0.031143772833998894,1.3117548988687961,0.08510300279108005,0.030526355431240878,52.845680912602816,2.523370402840808e-07
1200,0.4955634356488623,6097.072932266501,0.0001936927698574094,0.012001371883435683,0.0071661743905493515,2.1121904388329784,0.016429396080926775,2.484987738276092,0.01889118848965948,0.0002157507571644102,0.016158715537729067,0.999987374022373,2.204268743659327e-07,2.2570975025747157e-07,2.3623091645569923e-07,2.206352805206079e-07,2.249794186644578e-06,0.03295256710264956,0.03161216996492042,1.3927947859922196,0.11089829656532853,0.03314678689107289,52.08413829052393,2.4426113807295674e-07
1300,0.4983162535057001,6480.468264960019,0.00019085926391219864,0.011728353273678247,0.007625660384166616,2.130873217235597,0.014918633860135071,2.461573386383211,0.01546372216625525,0.00039105725981736667,0.0143022952647189,0.9999868756688143,1.824755712665365e-07,2.0352895407105885e-07,1.9706483247984204e-07,2.092812275870028e-07,1.9796078367906973e-06,0.03273970967031219,0.03085359803524192,1.4512664449355823,0.12063351672233932,0.034388605943811865,51.390205396200486,2.2916942008264367e-07
1400,0.501655132334587,6635.173316835352,0.00020253828450177803,0.012751374987538667,0.009525502381867838,2.049575487804296,0.014380685882977924,2.390540909090555,0.013077180978997195,0.0004324220088686191,0.01822914245439415,0.9999871690506236,1.6812682466362178e-07,2.0072659769780744e-07,2.0267517553610585e-07,1.892368253520901e-07,2.166377013939975e-06,0.03215994617747637,0.031133698769956024,1.6003777008072977,0.1821298168583724,0.03856048399842631,50.799126711421195,2.0857562822685162e-07
1500,0.4972673604092492,6917.958301722913,0.00021007334973370203,0.014543326699664487,0.01013066149672007,2.0781602973250854,0.013527823574184403,2.352629398107725,0.016648537475026252,0.0005090803397607241,0.021699814780926814,0.9999864577120605,1.886307846739794e-07,1.657009142862052e-07,1.7798239715127344e-07,1.901490313546852e-07,2.505766882991942e-06,0.03235168649427671,0.03192646526347652,1.5077546655903469,0.20465459067429292,0.04064121184162569,49.416819615753944,1.9701402445427438e-07
1600,0.5045672419314375,7066.574890831334,0.00021032853435885206,0.014132100379037775,0.010763968970627279,2.0237626022480057,0.013438543468975892,2.2738923504574338,0.011790862003180342,0.0004361728083932492,0.02948380689705217,0.9999861060045423,1.743789885042065e-07,1.647400056620902e-07,1.616301853247497e-07,1.8899897094874867e-07,2.6414808490943594e-06,0.032031982358617164,0.0331037783930609,1.692062804026779,0.20753345432941403,0.040989877045927,48.48610080025647,1.829874634985172e-07
1700,0.5185518436049043,7052.448940204163,0.00022762110486690935,0.014837240708133945,0.009700280483168162,2.0169114610450194,0.011201054214527812,2.080072739775942,0.01443318868749377,0.0006169156126184549,0.025568251483029134,0.9999852445759149,1.616331454110691e-07,1.7392723821588203e-07,1.588712847769847e-07,1.53478867448751e-07,2.8243524599117226e-06,0.031307905508799715,0.03461181279318112,1.6617845993077098,0.2362855967010708,0.04256010696386662,46.1804240982142,1.6460903785338163e-07
1800,0.5222875583002837,7235.09628949635,0.000247664895099586,0.015691268543988907,0.010840369380985792,1.9642350742755816,0.010597452433259779,2.0327662429719076,0.014083374547191085,0.0007471326816016043,0.033668756756911396,0.999985802427651,1.4662822158249774e-07,1.5507771049988556e-07,1.562344681199258e-07,1.6430377150670994e-07,3.3584226122492007e-06,0.03137900516200171,0.03505242133193294,1.8379084494007594,0.27361678383564403,0.04287536852351223,45.99219899666806,1.6512520985126357e-07
1900,0.515643356288382,7377.073322914657,0.0002475854063859435,0.017514458382784884,0.01098817170929009,1.9558458416894704,0.010786132505649079,2.1618090633424267,0.009651313698566439,0.0006228966848891561,0.03044506901877779,0.9999846104829097,1.5690203435752795e-07,1.340161592184313e-07,1.3802116670035845e-07,1.4802697179599925e-07,3.3244649938545534e-06,0.03085392878684002,0.034846726724220276,1.9438027465328303,0.29628096495503653,0.04512744698551077,43.06290421377571,1.43436488406598e-07
2000,0.5253496089186912,7460.575323948177,0.00023816866406654573,0.017625490914513358,0.01153344190171043,1.873741587864996,0.009576231132987025,2.012769922678414,0.012236376797630816,0.0008974657516024395,0.038314592217815496,0.9999844722343981,1.3845705632660547e-07,1.5186674458426492e-07,1.5207755444316395e-07,1.6279064561645205e-07,3.545644666010181e-06,0.030900619588438236,0.036220562014846074,1.9817886943069367,0.3176520627045063,0.04769031220613997,42.22043546680897,1.5758418242519496e-07
