milliseconds,infected_nontested_0,infected_tested_0,uninfected_nontested_0,uninfected_tested_0,symptoms_tested_0,symptoms_nontested_0,recovered_tested_0,recovered_nontested_0,dead_corona_tested_0,dead_corona_nontested_0,dead_noncorona_0
0,2.0,1.0,630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2.062803572403355,0.9702514544924328,629949.4774744462,50.39789117952357,0.08943000516718384,0.0012435482202314278,0.00029550606923745357,8.042707706810854e-06,0.0002058310919296756,0.00040648658913065876,2.0726997963901246
200,2.127667299032886,0.9413976787753711,629898.9551639331,100.79156431226865,0.18047901774617225,0.0012826499634875997,0.0011994457405614706,1.6504728199580235e-05,0.0004239646440333201,0.0008257514463848771,4.145399178180479
300,2.19465605694168,0.9134120811745962,629848.4329405298,151.18101875861333,0.2720278518769865,0.0013230326858991663,0.002715040861928304,2.523297310181704e-05,0.0006546731402879913,0.0012582085081926729,6.218098133997146
400,2.263837445295903,0.8862688508087048,629797.9106716493,201.56625383746953,0.364163610649964,0.0013647372099908992,0.004845918711643754,3.423615532836066e-05,0.0008982360588405681,0.001704289516101143,8.2907966520561
500,2.3352813070059284,0.8599429628389512,629747.3882203776,251.94726882268716,0.4569741173297964,0.0014078056393886952,0.007596301477406085,4.352327025815585e-05,0.001154945496283169,0.002164440208056169,10.36349472013314
600,2.409059779950098,0.8344101529336843,629696.8654453731,302.3240629417096,0.550547989042932,0.0014522814622764996,0.010971007381576857,5.310360234660443e-05,0.0014251063703484158,0.002639120646533396,12.436192325555048
700,2.4852473539234152,0.8096469032532102,629646.3422007563,352.69663537415545,0.644974699835058,0.0014982095836948556,0.014975456049575979,6.29867324306214e-05,0.0017090366734666385,0.0031288055805056406,14.50888945518944
800,2.563920922601905,0.7856303966971742,629595.8183360083,403.06498525025734,0.7403446816665024,0.0015456363566099223,0.01961566396408769,7.318254452596858e-05,0.002007067639378221,0.0036339847822569327,16.581586095436222
900,2.645159873484283,0.7623384985591676,629545.2936957962,453.4291116485943,0.8367494190045068,0.001594609638459459,0.02489825402773757,8.3701237348895e-05,0.002319544150985917,0.004155163618319623,18.65428223221158
1000,2.7290461758118987,0.7397497388835288,629494.768119802,503.7890135938513,0.9342815409132598,0.0016451788429904164,0.030830464992799615,9.455333557830827e-05,0.002646825139577167,0.004692863607530988,20.72697785093216
1100,2.815664458963659,0.717843296072142,629444.2414425715,554.1446900548004,1.0330349040401363,0.001697394987453927,0.037420159679083236,0.00010574969990051251,0.002989283939474623,0.005247622918770551,22.799672936500926
1200,2.905102130715022,0.6965989743542739,629393.7134932842,604.4961399412535,1.1331047149034068,0.0017513107640173722,0.04467583799992754,0.00011730154215307347,0.003347308827325042,0.0058199971213713795,24.8723674732858
1300,2.9974494201240316,0.6759971954722039,629343.1840956704,654.8433621029453,1.2345875744302999,0.001806980565617823,0.05260664164431033,0.00012922043081735094,0.003721303217372995,0.006410559457286598,26.945061445111897
1400,3.092799500410157,0.6560189712438723,629292.6530677726,705.1863553262388,1.337581610338283,0.001864460560044641,0.06122236645586897,0.00014151830677076136,0.004111686213844879,0.007019901621646351,29.01775483523939
1500,3.1912484929541094,0.6366459028816472,629242.1202219387,755.5251183340273,1.4421864811644682,0.0019238086923510434,0.07053346289665133,0.000154207483798642,0.004518892629348657,0.0076486337881217555,31.090447626362845
1600,3.292895685656247,0.6178601415340148,629191.5853643974,805.8596497798837,1.548503599254861,0.0019850848164762714,0.0805510607082259,0.00016730067654954688,0.004943373984716294,0.00829738599416886,33.16313980057168
1700,3.397843531117127,0.5996443858797541,629141.0482952626,856.189948248117,1.656636132510058,0.0020483506941577404,0.0912869679230265,0.00018081100031309692,0.0053855984953100145,0.008966808130020166,35.235831339350604
1800,3.5061978588909746,0.5819818539932328,629090.5088081221,906.5160122480077,1.7666892076785832,0.002113670122882733,0.10275369776086817,0.00019475199815405836,0.0058460520628890065,0.009657571283237116,37.308522223541
1900,3.6180679174159307,0.564856268346502,629039.9666899563,956.8378402127335,1.8787699629518175,0.0021811089611644295,0.11496447124040145,0.00020913764630934464,0.0063252384530872174,0.010370368006141733,39.38121243333345
2000,3.733566509006481,0.5482518524376196,628989.4217208768,1007.155430495589,1.992987658135623,0.002250735209921026,0.12793323844013596,0.00022398237138939763,0.006823679954595066,0.011105913168184458,41.453901948242795
