milliseconds,s53,s57,s58,s60,s61,s68,s72,s73,s81,s83,s85,s88,s89,s96,s98,s100,s101,s107,s109,s111,s122,s124,s135,s142,s144,s146,s147
0,0.004437762464406225,4.999625220737388,0.0048617428364067525,5.0,100.0,4.997840442937335,-0.02028618693987144,0.0020873004712012653,5.032843900812109,5.017430664981889,-0.025906466805993886,5.0,0.0,4.99918655730747,4.98584831921898,0.03990508345346385,100.0,5.0062193428084445,5.003147073951394,-0.01848531855138238,5.07318991956903,4.9191082235417,-0.02536843348010139,5.000917992387381,4.923400081991273,-0.00429814866014949,100.0
100,0.004452737725287326,5.0002496477270775,0.0012319110046912374,5.0,100.0,4.997230830347656,0.052608470836950305,0.4358714871705296,3.381563293955179,3.3559641260941215,1.5470772598158178,5.0,0.0,4.996131103769654,4.989133926241913,0.01864365709832918,100.0,3.4418519977208963,3.396465774041089,1.6311241271368195,4.8965400502092296,5.018150094916127,0.04390418483142165,4.975486843843675,4.554867218868752,0.020297326980401625,100.0
200,0.0009796565374323718,4.98708334472071,0.005180683465004556,5.0,100.0,5.001320044225627,0.040450004622785155,0.7055530729225088,2.703852521893363,2.7025052297847423,2.303391793163812,5.0,0.0,4.9561914080975376,4.95387767864016,0.12059683527240368,100.0,2.6618148480637336,2.6827219156435147,2.31391464206981,4.811989417000497,4.837773172978524,0.15356562347701216,4.960880687768549,4.1487265788682,0.03748297743316417,100.0
300,0.01987432209648555,4.985305931638567,0.0076450612314630465,5.0,100.0,5.004269841888723,0.11378134865853655,0.856290487427739,2.3108940745323956,2.362300847027314,2.662265030372485,5.0,0.0,4.918665692434855,4.900361790268148,0.21790953378518801,100.0,2.3598075276137958,2.273670925685225,2.7120117765192306,4.561773262365798,4.635156339021583,0.3465655553513628,4.947211408741926,3.816766815194157,0.061369067377729805,100.0
400,0.020621707629391278,4.983893533923747,0.01901680521740367,5.0,100.0,5.014364374266335,0.1952709793990132,1.0103557084896349,2.0709165578786695,2.1034512620324017,2.900056088560454,5.0,0.0,4.8892096542045165,4.886848539893109,0.31196432845388095,100.0,2.1468774533856276,2.079535635411091,2.927045060768895,4.54526779787083,4.440531329594441,0.5774403670384569,4.926499523439588,3.5521480743453298,0.0651751575339837,100.0
500,0.03914376427947627,4.981663459412876,0.023424788881453176,5.0,100.0,5.015193789936828,0.30083838482479536,1.0661391499364636,1.9668236080201391,2.0355486004812557,2.980874882193756,5.0,0.0,4.8792892627913815,4.903009296660738,0.35701591501673924,100.0,1.968020466398538,1.9572017431351014,2.979355971935612,4.3045992584743376,4.355296062847743,0.7661762067365574,4.923518691565049,3.23069957517952,0.08074588639707095,100.0
600,0.05448233417408273,4.9781608264458415,0.029275148504186818,5.0,100.0,5.024125343256156,0.33660696073115765,1.1327749222309378,1.9641902558887305,1.888789224809392,3.0598251542801607,5.0,0.0,4.8772921424228715,4.833543453809163,0.5101616699131765,100.0,1.8741372069042155,1.9135570491596816,3.080087106901696,4.1198747125525195,3.9983547546278175,0.9178947621354253,4.9134476886294385,3.005959419899427,0.08872001887954865,100.0
700,0.06633142631866171,4.972103028077598,0.023646704440528202,5.0,100.0,5.038957858546143,0.41753004116598935,1.1958781137238907,1.8520790988742637,1.8703731175715923,3.143167422566354,5.0,0.0,4.8386825351231515,4.853004858677878,0.5494006767902216,100.0,1.906911924885711,1.9027032757225286,3.0808678177483393,3.918358729791933,3.957528258947615,1.0111338437910347,4.902690601177868,2.951140797304089,0.09041293993127086,100.0
800,0.07939511043052772,4.970991150344255,0.027879472506710065,5.0,100.0,5.046582837849289,0.5153466882541055,1.2134621131610435,1.8205078662642056,1.8832977014998937,3.1667805513303664,5.0,0.0,4.828387972662315,4.798688547973926,0.6045210469224601,100.0,1.8649936945431718,1.8242395267964935,3.1354250137432595,3.82272678210538,3.7540617171377137,1.2232957711516732,4.900446633824357,2.7313957659608885,0.099522462124928,100.0
900,0.08954109902945478,4.9628083432575965,0.03221443078499771,5.0,100.0,5.056032290939464,0.5571235479202097,1.204049981166431,1.8443081624609725,1.7909309146167507,3.1736257498798084,5.0,0.0,4.784323833163697,4.771094158064668,0.7162332809054877,100.0,1.7914063717270898,1.7886275673236707,3.1744614610428497,3.4700725110590898,3.5539261604707555,1.3801514963687285,4.8914558505246175,2.4972600851328,0.10644506394990491,100.0
