miliseconds,PC3,XIAP,C9,PC9,C3,C9P,XIAP_C3,XIAP_C9,XIAP_C9_C3,XIAP_p2frag,XIAP_p2frag_C3,BIR12,BIR12_C3,BIR3R,BIR3R_C9,BIR3R_p2frag,XIAP_2SMAC,BIR12_SMAC,BIR3R_SMAC,SMAC,APAF1,XIAP_p2frag_2SMAC,Substrate,ClvgPrds,SMAC_mito,CytC_mit,CytC_cell
0,0.12001199802073105,0.0628473980862011,-8.031334604077344e-06,0.03006315831643097,-3.2278288984467047e-06,-1.481494106240675e-06,2.071360673994202e-05,0.0002712531579318292,7.533703219084456e-09,-5.024169142109094e-07,-1.0994965035999332e-07,-2.735847090901322e-07,-1.3736042860884974e-07,-3.745583751093121e-06,-2.8973005868208105e-06,1.927786930272281e-09,0.00020615262913523902,-3.309122188796294e-08,-2.654827343143178e-09,2.9791330554244526e-06,3.371674575673144,-5.913759230221248e-10,0.9999342636186166,-3.6788869807341957e-06,0.12583875450262907,10.02339714550423,-0.02402036715693244
100,0.12003441571623934,0.06301396366305476,0.0005680799895324673,0.029200984758413272,1.834217651049781e-05,1.5548938466580237e-07,-2.370495878729288e-05,0.0003705026530435824,2.180054158190526e-05,-8.476395021752099e-07,3.187018572206552e-08,7.880170967319202e-06,-2.0402853944143786e-08,3.2274925417238807e-06,-2.754110604141331e-06,8.987978220360778e-09,6.867468858213039e-05,-1.1349226350537555e-08,-3.8417814061054566e-08,0.0012785085286392852,3.3713726532703805,-1.4544484415076985e-09,1.000120857194958,-0.00011145894933161125,0.1250395340107192,9.588170062748668,0.35781010862428064
200,0.11992597613861435,0.06171469515315083,0.0007778839042795117,0.028202945712401065,3.5504164543138274e-05,-1.1436581597464854e-06,3.117703546025653e-05,0.0008671923730504065,1.1846861796992981e-06,1.5256061542964335e-06,6.347271179257259e-08,9.114661900119478e-06,5.026882411402541e-07,2.0005641606549496e-06,-5.114253180306502e-07,6.654512381881267e-09,0.00013800727284003783,-3.0643793408430085e-08,-8.298277372496387e-09,0.002599270891975787,3.3704396773965715,7.237832085071213e-10,0.9999357207163085,-7.512668819652491e-05,0.12402899992952249,9.043146021154953,0.7574296061774639
300,0.11989401738920893,0.060970694319999685,0.000843727668017504,0.027471668507816596,5.728547405894693e-05,9.407052842613507e-07,6.719349907289422e-05,0.0019717409045248873,2.0487785792234997e-05,-3.607444562638677e-07,-6.319103930962099e-08,4.420784155266499e-06,-8.867351727223362e-08,1.979047825552363e-06,-1.3371467782526292e-06,1.1434736899262279e-08,-3.377996317102291e-06,-1.8919679204091735e-08,1.499632250386257e-08,0.003809148878108174,3.3696224391187473,4.223792552699381e-10,0.9998288319506523,8.816975004331518e-05,0.12282541645468711,8.687056724466247,1.174746656351203
400,0.1197683927467722,0.06036802410692629,0.000866155732396081,0.026447524496271888,6.0241440895625166e-05,3.3883335600200283e-07,0.00015263499530912582,0.0022382701377856896,-1.4820152685233813e-05,-8.027279772104347e-07,-1.1584085678932624e-07,3.853348314584527e-06,1.7819715437704223e-07,6.061932744776348e-06,2.517216695215081e-06,2.459329307111604e-09,4.648741300064894e-05,2.8191137806311406e-08,5.9244639523304836e-08,0.004842196308044358,3.368475987073966,-7.597530968926922e-10,0.9998621653985111,0.00025441491852848196,0.12040739901922554,8.421988510554225,1.7991872860924853
500,0.11977953915152123,0.05908740985361385,0.000878986359702377,0.025583643255565496,6.636282234973688e-05,2.7450045099642764e-06,0.00018531476060601308,0.003404180704548489,5.9718282218936985e-06,1.774802027529517e-07,6.679710017788676e-08,1.0919078580579357e-05,-3.303490398311028e-07,1.3932102036259052e-05,-1.6356528416291468e-06,-6.1539627547583e-09,0.0003061200771859606,-1.4244208753880155e-08,-3.531231402864143e-08,0.005766193753756752,3.367917249523649,-8.008376549245168e-10,0.9997923063970042,0.00019558201698729544,0.11994269981787727,7.901431313045575,2.176687628476621
600,0.1196488818497772,0.0583114884973456,0.0008784069238956403,0.024825334826911304,6.683262453643561e-05,2.9521643279860876e-06,0.0002560015064939199,0.003891766284265499,2.9585582359475613e-05,1.577797757581163e-06,-6.39600178690077e-08,1.5358688819108385e-05,-4.344345740180443e-07,1.5650063318740866e-05,-9.961876567501015e-08,-5.39760393853421e-09,0.0003575001838060386,4.027508745782826e-08,-3.191079436144572e-08,0.006646273305154166,3.3667674744378853,1.020133545794332e-09,0.9996985972664119,0.0003220295354987021,0.11864241420742341,7.5024402568954764,2.520140670919979
700,0.11963695992668794,0.057755497355025574,0.0008975119332272001,0.023960935010442233,7.431257034238273e-05,3.018232973301051e-06,0.00031221918045261046,0.004927703322095299,1.6726477148760223e-05,-6.13492671447556e-07,1.4785003734801965e-07,2.4458082228992582e-05,6.110456911535386e-09,2.0760982873146164e-05,3.0954422072600285e-06,-5.335249413126284e-09,0.0001595492385802178,6.39153335376789e-08,1.0639295632939173e-08,0.0076802319467482024,3.366033279994617,-1.13595298124513e-09,0.9996983669026657,0.0003107276487555864,0.11765609462753648,7.168337957309665,2.8338002169219725
800,0.11954590765801383,0.05648587841751024,0.0008984681438721033,0.023530574560099837,7.210520234813609e-05,3.124716720105825e-06,0.00036535369710997544,0.005417737978641149,3.3562262288128704e-05,9.892586364686458e-07,2.8033008177580606e-08,3.2960224612155694e-05,-3.23508446537028e-08,3.124612010227974e-05,5.364827956872069e-06,-1.0977092111812176e-08,0.00046013359966061646,5.401084991402927e-09,6.198692207986501e-08,0.008554632543073282,3.3655758898164954,-7.952134127250076e-10,0.9994099647420863,0.00041862892546187564,0.11584078325298618,6.827462657737642,2.9836759249072986
900,0.11940540388023017,0.05617486717565511,0.0009046599979421667,0.022805974812497753,7.292150545743513e-05,5.849137417731732e-07,0.00039376825893021615,0.006223761511279151,2.826400916443122e-05,3.8796241166592147e-07,1.2902097488874653e-07,3.129293074804264e-05,4.972434956278413e-07,2.8711979131154376e-05,8.300894294947464e-07,-1.4185365793724353e-08,0.0005083617108105251,1.974396811850822e-08,3.769926034452085e-08,0.00928616052788468,3.3650500444394202,1.792586695324331e-09,0.9993179224161926,0.0006434894074873459,0.11461740442110331,6.6098127565493865,3.3399467770811304
