milliseconds,PolyQ,Proteasome,NatP,MisP,MisP_Proteasome,AggP1,AggP2,AggP3,AggP4,AggP5,AggPolyQ1,AggPolyQ2,AggPolyQ3,AggPolyQ4,AggPolyQ5,SeqAggP,AggP_Proteasome,mRFPu,mRFPu_Proteasome,PolyQ_Proteasome,ROS,p38_P,p38,p38death,PIdeath
0,1000.0,1000.0,19500.0,-2.4345974636700934e-29,2.259267536002363e-46,-2.7234325019400503e-53,-4.878271631663841e-89,-5.976197249806638e-125,-1.6856586826191884e-160,0.0,-8.07932231906967e-31,3.6365855771914503e-48,2.1626256214375255e-65,1.2322217430669495e-83,6.039905552039068e-100,-5.610998091218533e-116,-8.269933904313388e-49,300.0,-9.821571784636304e-30,-1.4873094038612362e-30,10.0,3.414765079768866e-31,100.0,-5.242884479494033e-51,-1.843474523812523e-69
100,1000.0,1000.0,19500.0,7.899590823692346e-30,2.4102896978011565e-46,-2.4724952030737925e-53,9.130980073617942e-90,4.3843853783592236e-125,4.640403354813678e-161,0.0,1.0767845841297369e-32,3.5635979761614545e-48,9.640871756082098e-66,6.202439020743556e-83,-2.3114677047343e-101,-4.1868447924125583e-116,7.569520659443889e-49,300.0,1.298086775322007e-30,2.8029414598208075e-30,10.0,1.6735037198819081e-31,100.0,3.9521264461899023e-51,-1.932390594355586e-69
200,1000.0,1000.0,19500.0,-1.861271630637987e-29,-2.4349056268267724e-46,1.5685024658959854e-53,-3.0273215677173156e-89,-1.5840433880437418e-125,1.6347416677436072e-160,0.0,-4.036014550336592e-31,1.212337180760362e-48,-4.40535764271056e-66,1.091389176728275e-82,-3.4897544119703037e-100,5.386211625889486e-117,3.4739108254614956e-49,300.0,2.8207744099026505e-30,2.4760471768740032e-31,10.0,1.6347747463531716e-31,100.0,-9.643553380965251e-52,-2.583661912334298e-69
300,1000.0,1000.0,19500.0,2.3706227826997624e-29,-1.3333533290293717e-46,-2.2004770458525874e-53,-4.292710991476631e-89,7.597785431345546e-125,-1.0477032872938015e-160,0.0,-2.297823896020402e-31,-3.8777335829502024e-48,-6.940679838299058e-66,1.2651036453899679e-82,-7.375457070028527e-101,-1.8079657430394574e-116,9.330218013655752e-49,300.0,6.622309252444637e-30,2.0283954866010252e-30,10.0,3.099484850701955e-32,100.0,1.717709176017997e-51,3.839170392627785e-69
400,1000.0,1000.0,19500.0,1.4529435183481008e-29,2.344505002261053e-46,4.548068739215466e-55,-2.9925858823540993e-89,2.888198355522982e-125,2.333906202544582e-161,0.0,-2.4491276925476886e-31,-1.9229343154810855e-48,-2.4913204108901897e-65,8.820418563173756e-83,7.495819541091111e-100,5.0431049638429337e-116,-4.7876258094687455e-49,300.0,-3.700736628808931e-30,-5.8852590537998594e-31,10.0,-6.784428809772493e-32,100.0,-6.4817005428173265e-53,-2.372765074962858e-69
500,1000.0,1000.0,19500.0,7.703298826897731e-30,-1.387882949716664e-46,-1.910335821796909e-53,-3.221055102380107e-89,2.4102569312820487e-125,1.5301078167720824e-160,0.0,2.0536699484104325e-31,4.9903329262756464e-49,4.40355967395967e-66,4.695908489234893e-83,-3.249503354574625e-100,4.7760963014817964e-116,7.694979303015401e-49,300.0,-8.788402009719545e-30,1.5040133890058393e-30,10.0,1.6280432625453016e-31,100.0,-2.028670074121303e-52,-5.945692602570264e-70
600,1000.0,1000.0,19500.0,-2.0592158611018583e-29,-2.7588789897510154e-46,-1.1049416377499912e-54,-1.038846761744447e-89,2.1104249628171878e-125,7.560212357578956e-161,0.0,-2.8802884842878844e-31,2.9765169553539003e-49,-1.2803980610995427e-65,-1.2614103547344175e-82,-4.655652936350663e-100,-1.8938206651364346e-116,-6.075826100794188e-49,300.0,8.315701965276783e-30,-1.5888750518046326e-31,10.0,-3.4120707267425633e-31,100.0,6.731449546767425e-51,-1.6457316497964533e-69
700,1000.0,1000.0,19500.0,-2.5252642568988066e-29,3.2186913667950123e-47,5.291394840304182e-54,-1.507492085566675e-89,3.8740549074206854e-125,1.646972993896872e-160,0.0,-2.9748453600786873e-31,4.5748250092587e-48,-7.324227992123576e-66,8.005107469586738e-83,-3.9368569591044803e-100,-3.045034702681332e-116,3.155270462207163e-49,300.0,-7.506516247702113e-30,2.3014069271580055e-30,10.0,-2.14442255376071e-31,100.0,3.6225058937512707e-51,3.8349124150607796e-69
800,1000.0,1000.0,19500.0,-1.0901061938205293e-29,2.2542315514265214e-46,1.8813991078426543e-53,-4.4511711836034426e-89,-5.100824366212273e-125,-1.0423840101761812e-160,0.0,1.8674219513554434e-31,1.5832941291552208e-48,2.159876528333873e-65,5.434511494935391e-83,-4.964150642329652e-100,-4.897852731026734e-116,-5.0569816234227236e-51,300.0,8.703479210296122e-30,2.8986244406661082e-30,10.0,-3.0218293176523882e-31,100.0,4.250785161214577e-51,-4.071923379632981e-69
900,1000.0,1000.0,19500.0,1.8387830247705048e-29,1.4437741265909069e-46,1.6794490580953206e-53,-3.982707405140338e-91,-1.0367666125208397e-124,-1.218685761073176e-160,0.0,5.30804958635797e-31,-4.269486294484159e-48,6.793966934961071e-66,1.9331174813382514e-83,5.629174137857201e-100,1.9502784058631124e-116,8.895226838986264e-49,300.0,6.586286974192129e-30,-1.0394731659638118e-30,10.0,-1.4267979674085795e-31,100.0,-4.971649824944871e-51,-1.6501445924331854e-69
