milliseconds,I,N,T
0,0.9994284561857109,0.978098669651748,1.2373854011734415
100,0.9501020300953559,0.8627326278639734,1.3732864278345147
200,0.912562074380825,0.7810695222969303,1.5440454999260431
300,0.8881294182560948,0.6771931284584325,1.6737748795658949
400,0.8679624650798435,0.5961311307685919,1.8038065883598373
500,0.8441496249711127,0.4937481795460627,1.9108197416072141
600,0.8284179372299466,0.4176946203708877,2.0047090300852153
700,0.8239188886852653,0.32638775216981614,2.106454997530303
800,0.8100548254810064,0.2595453131546288,2.159276397657681
900,0.8015076408002537,0.20968985937860635,2.2204678743887656
1000,0.803378058545535,0.19412659545084693,2.2602801036666884
1100,0.7994337758259912,0.16191347632050193,2.3021934491484912
1200,0.7957419425555361,0.11596581321740419,2.2981181586993373
1300,0.7979302607745065,0.1119949792699441,2.323326046496917
1400,0.7960216634455776,0.08678044100021352,2.3245346404518457
1500,0.792900550822419,0.057007703198795695,2.315253531277578
1600,0.7912287825934269,0.06270647110783627,2.33294481056426
1700,0.7993152282838379,0.02656173547057034,2.3033953598143477
1800,0.798785419189078,0.05085895504672781,2.2823924887431124
1900,0.803144676534414,0.05098317846409593,2.274867826643262
2000,0.7995107608140779,0.011079216780072641,2.301407911097606
2100,0.8081752478287978,0.012366613197666257,2.2674806924979283
2200,0.8033800655225943,0.01331417800360163,2.2389075602002153
2300,0.809594629765938,0.009824380994026239,2.2228828435385197
2400,0.8165406119431111,0.017473386631728892,2.2169412792174024
2500,0.8193298301185102,-0.015689378512487716,2.2267238257432806
2600,0.8161826709202933,0.01432549038200179,2.200630642308345
2700,0.823660373176019,-0.004921211008098032,2.189492446614742
2800,0.8279375761950435,0.008005844046851934,2.175806285138255
2900,0.8326352402241768,0.02686482098396013,2.1793420031633435
3000,0.8325771299850547,-0.005116885663815534,2.1741215564414893
3100,0.8349794176781385,0.007479899210419312,2.1563604569012838
3200,0.8402282878255801,-0.011717586058487444,2.1485560571539626
3300,0.845986534196603,-0.015550879688494291,2.1144846366335712
3400,0.8448361348675774,-0.003932636473647125,2.130283283926679
3500,0.8500111831249785,0.013220275759144681,2.074769907082144
3600,0.8519399951114135,0.004007786120725945,2.087875726646649
3700,0.8640875085243368,0.017461668748837443,2.0729439576213418
3800,0.8635018391070219,-0.02287999192906122,2.0514628296760855
3900,0.8670635473571657,0.008342889259626758,2.0619961562815634
4000,0.8726601015796688,0.002839324286355858,2.0598643804189822
4100,0.8761564988654565,0.0013633198973212004,2.0263150800944625
4200,0.8741546115193504,0.014445709536781306,2.0450105017498776
4300,0.8828384322639272,-0.014383156594261997,1.9986619128699121
4400,0.8888889966944443,0.01095124817444182,2.0233489275359884
4500,0.8861592235652264,0.0012713989078435373,2.0138032912670725
4600,0.8960992752338369,-0.024025219802468405,2.0121720230515194
4700,0.8974962966017551,0.01804157715084751,1.9672366118044782
4800,0.8959484101711209,-0.01610030364158081,1.9887426474220462
4900,0.9032758973265557,0.0021341093357230283,1.985948245662945
5000,0.9081962433037136,0.008244813568011405,1.9692638233394484
