milliseconds,T_Tumour_Cells,N_Natural_Killer_Cells,L_CD8_T_Cells,C_Lymphocytes,M_Chemotherapy_Drug,I_IL_2
0,8428497.45514091,250000316.2180549,523858.62842886423,2250000000.0,0.0,1077.5217819891434
100,8839097.069459464,250006153.98134345,232249.1195924151,2250000000.0,0.0,733.641695362707
200,10910776.894421654,250009636.7814682,177013.33105637052,2250000000.0,0.0,416.16246157667126
300,10404899.367915662,250011556.97728825,166902.71024276258,2250000000.0,0.0,258.21560683741376
400,11655369.464588197,250012110.4875249,156129.63867929403,2250000000.0,0.0,172.1540644309853
500,13495552.577180728,250012869.14402294,153470.00296451143,2250000000.0,0.0,114.15512486053693
600,11168070.109705716,250012653.97158426,163583.7451547516,2250000000.0,0.0,81.25547118485358
700,11705683.126173196,250013307.9413932,167822.75262186019,2250000000.0,0.0,103.44062300398338
800,15492219.332018806,250013552.93060717,170309.1354816631,2250000000.0,0.0,67.91361383355209
900,12979573.986208897,250013154.56298256,171630.9563702799,2250000000.0,0.0,66.99458424175002
1000,16315334.866924353,250013562.4972943,176601.10688063205,2250000000.0,0.0,76.95517034778668
1100,14988300.002716986,250014077.9257789,179976.0753855212,2250000000.0,0.0,68.14471991407878
1200,15928363.67306394,250014280.39746952,189912.3963888866,2250000000.0,0.0,77.26899523455262
1300,16486797.561684346,250014259.27571565,192714.6242866294,2250000000.0,0.0,99.02630202120686
1400,16184469.218052553,250013998.582307,197801.1250802914,2250000000.0,0.0,88.50608704763819
1500,18236736.75568243,250014063.87717515,204072.07593926086,2250000000.0,0.0,103.10901096243732
1600,20374288.300053116,250014099.0591873,209864.98183096605,2250000000.0,0.0,108.90449986515357
1700,20968804.150943246,250014970.3289032,203054.4031441742,2250000000.0,0.0,82.06342382057265
1800,23036963.658665754,250015100.76488972,210904.90413946199,2250000000.0,0.0,97.21781784113139
1900,21020525.47204464,250015373.5388242,213403.05942251187,2250000000.0,0.0,109.76060669364733
2000,25071098.26422386,250015275.386564,217891.7907742032,2250000000.0,0.0,106.31035921946852
2100,24593453.485236164,250015146.82348946,221990.59781171745,2250000000.0,0.0,92.29867625216069
2200,25588319.086067714,250016034.27231556,226105.09130936844,2250000000.0,0.0,117.90577909775985
2300,27473502.202289965,250015588.7438521,230684.28225366076,2250000000.0,0.0,108.05726775842831
2400,29103460.15414606,250016043.58841676,238004.44973673328,2250000000.0,0.0,109.01509205710131
2500,30132037.437122695,250016582.33411375,237231.69882523717,2250000000.0,0.0,124.73379188604801
2600,30393262.00383775,250016566.97367704,243205.8450252646,2250000000.0,0.0,113.88379786207604
2700,30718179.167388268,250016641.8733493,249937.86536716053,2250000000.0,0.0,127.27633190922595
2800,32791362.985140216,250017021.4471916,248154.76697785285,2250000000.0,0.0,129.9039108302157
2900,35730594.11062021,250017044.4177861,255902.00706265162,2250000000.0,0.0,137.41228828624682
3000,35165635.749498315,250017644.7504026,258109.51195645952,2250000000.0,0.0,109.2550132734616
3100,35988679.897809476,250017615.52658117,262486.9744733365,2250000000.0,0.0,139.34346996017035
3200,39995645.89243504,250018471.99182144,260641.84019762,2250000000.0,0.0,118.73625502554117
3300,38315117.747915536,250018195.9405466,270258.7442995865,2250000000.0,0.0,121.06677120995796
3400,41431625.52755752,250018823.45909628,263496.37464448216,2250000000.0,0.0,124.31615491287539
3500,43873735.73783557,250019025.86436695,268957.8699077247,2250000000.0,0.0,136.96813986534787
3600,44662927.4524557,250018820.8284066,279164.8140183686,2250000000.0,0.0,125.65637384220373
3700,46696604.23372345,250019502.61365762,282360.9414184763,2250000000.0,0.0,146.4384516338845
3800,47746453.3331115,250020178.40497804,278409.0658945598,2250000000.0,0.0,144.57435556990282
3900,49495025.499549255,250020024.60806468,287012.6163848812,2250000000.0,0.0,147.29310865892813
4000,52943377.15730126,250020351.9315744,282761.63936993893,2250000000.0,0.0,155.29524356359656
4100,54786160.18547961,250020812.15549076,285266.78331677866,2250000000.0,0.0,165.7907902699147
4200,60040469.97329717,250021234.07929897,298529.8841060013,2250000000.0,0.0,169.28916563959396
4300,59298057.95378301,250021739.72194874,293581.9217157611,2250000000.0,0.0,166.0238566995739
4400,63219321.63592938,250022150.3001885,296547.7939305597,2250000000.0,0.0,167.97765471130944
4500,66134313.55594325,250022420.99042442,305192.4205410686,2250000000.0,0.0,179.24174237124845
4600,67201918.76221502,250022596.8087337,299419.2671041479,2250000000.0,0.0,182.31672870813452
4700,72204392.09942618,250023321.6173069,313310.2343432277,2250000000.0,0.0,184.53903878656487
4800,72549423.48568313,250023490.3402158,316868.04589836235,2250000000.0,0.0,201.92318744327994
4900,77042551.34183927,250023680.97350046,319101.7809282488,2250000000.0,0.0,197.30335063911176
5000,78543240.96142793,250024578.6546047,318622.0809022561,2250000000.0,0.0,184.71629895014834
