milliseconds,T_Tumour_Cells,N_Natural_Killer_Cells,L_CD8_T_Cells,C_Lymphocytes,M_Chemotherapy_Drug,I_IL_2
0,10020569.39813418,250000362.9390776,521441.3196269707,2250000000.0,0.0,1073.370603304591
100,8990098.021228528,250006410.5288067,233708.19560176702,2250000000.0,0.0,756.7358066750558
200,9435735.175961914,250009644.96129525,180515.28980322907,2250000000.0,0.0,433.387064952452
300,12359795.278068082,250011697.6928526,156650.37502197767,2250000000.0,0.0,252.09888805620096
400,9993012.275040712,250012584.9184084,161944.57942612958,2250000000.0,0.0,160.05207741793143
500,11892166.949952273,250012443.66795722,155646.79096557575,2250000000.0,0.0,125.94048369512743
600,14757151.44330955,250012712.1038751,153419.34973616587,2250000000.0,0.0,109.49290597606222
700,15325141.445685858,250013438.74636376,160594.44267835983,2250000000.0,0.0,71.5378146739879
800,12253546.341965895,250013114.63312307,166742.96527841975,2250000000.0,0.0,93.77263599878027
900,13440875.572618254,250013513.63946807,170735.95301596035,2250000000.0,0.0,90.50461326292246
1000,14682951.356309477,250013736.15173373,182647.41605789785,2250000000.0,0.0,82.4583576011495
1100,14670553.407669168,250013537.9442659,187263.10769781843,2250000000.0,0.0,79.99132341592448
1200,14733747.724296246,250013743.0193395,188668.2317814784,2250000000.0,0.0,87.26770458225106
1300,18293649.77169722,250013834.6241968,189056.41354634325,2250000000.0,0.0,92.31533041083523
1400,17343932.166955687,250014390.25208896,196730.89345410003,2250000000.0,0.0,101.872315603361
1500,18954805.88791773,250014718.10423538,204418.0949037395,2250000000.0,0.0,87.99653797217118
1600,19579845.636886656,250014871.94861898,202338.08818532777,2250000000.0,0.0,76.86305967816472
1700,21527997.62046838,250014851.1563916,209050.30472563938,2250000000.0,0.0,88.72710346157214
1800,23141810.18141524,250014634.49152485,215351.26080315284,2250000000.0,0.0,82.40013920689253
1900,22678126.45694399,250014884.3789817,218920.36097010714,2250000000.0,0.0,95.39429023373613
2000,24634825.937836275,250015318.3292844,224133.58331138222,2250000000.0,0.0,108.58525051896513
2100,25575304.62350597,250015845.50661823,228623.24779813326,2250000000.0,0.0,97.57560304357791
2200,25021408.31041702,250016083.16673055,225765.40200175924,2250000000.0,0.0,91.86146391975106
2300,26062352.184054196,250015905.87726298,228801.56679403395,2250000000.0,0.0,95.06277149088027
2400,28994516.680794075,250016252.86345467,229567.77591679085,2250000000.0,0.0,107.76827544253612
2500,28705249.420076214,250016561.35790166,244279.01914199875,2250000000.0,0.0,111.82556208316097
2600,30511954.625799377,250016297.54369372,238775.57121720005,2250000000.0,0.0,110.88571591711472
2700,32439276.47649713,250016934.37815413,240157.915364706,2250000000.0,0.0,128.622333950483
2800,31438529.63463625,250016748.56477803,246535.21804344174,2250000000.0,0.0,112.77145775144177
2900,32218852.954822678,250017221.52467456,247961.63472950037,2250000000.0,0.0,120.34548381349381
3000,36304943.38813231,250017149.43006256,249643.85422106204,2250000000.0,0.0,135.54906610851023
3100,36559402.512578055,250018079.28829676,256683.12999161403,2250000000.0,0.0,143.39296253254147
3200,38024499.384984374,250017624.62736052,267719.45003383985,2250000000.0,0.0,139.87164348255223
3300,38745861.26873356,250018565.05966166,258539.91985414393,2250000000.0,0.0,117.05980106311314
3400,42939868.11585818,250018442.4026056,273842.25713447534,2250000000.0,0.0,119.95873083047917
3500,42963908.56138079,250018613.99686727,274880.68766317004,2250000000.0,0.0,126.58637991347192
3600,45743145.26022184,250019336.5075852,278791.5585565387,2250000000.0,0.0,133.9746252861188
3700,46210811.67468887,250019418.9851317,278729.8985462403,2250000000.0,0.0,140.67853294705276
3800,49267070.13691182,250019925.71840215,277789.45206513786,2250000000.0,0.0,145.03024312998593
3900,52185911.23333313,250019751.30875954,288134.12597779324,2250000000.0,0.0,148.61980439014582
4000,51750686.19315841,250020192.69451123,281868.4599508332,2250000000.0,0.0,144.07441320607722
4100,57021213.15118077,250020406.83890876,284267.40419017035,2250000000.0,0.0,166.00331156321596
4200,58828668.79375973,250020874.98536056,288046.58278474014,2250000000.0,0.0,150.43021029540762
4300,60795307.362547114,250021727.7938881,296928.4600271053,2250000000.0,0.0,162.87289119802944
4400,63819519.11134128,250022106.16250315,301416.0273766605,2250000000.0,0.0,169.01306434068735
4500,65815452.35430068,250022322.31045398,299481.00600311847,2250000000.0,0.0,158.15784426808008
4600,66344727.17446154,250022328.38172656,302445.6703238236,2250000000.0,0.0,184.3357521131515
4700,71705297.59339887,250023274.1497428,303588.645069524,2250000000.0,0.0,175.4467030523486
4800,72661978.15605684,250023071.12606424,313819.56521124736,2250000000.0,0.0,199.275514359818
4900,77437281.65632492,250023840.45389843,315579.81310901936,2250000000.0,0.0,183.5096228120046
5000,80799695.56820695,250024310.55333823,314772.5363108049,2250000000.0,0.0,187.04246639104204
